Date,High,Low,Commodity
2024-01-04,90,70,Calamansi
2024-01-09,120,70,Calamansi
2024-01-10,120,8,Calamansi
2024-01-11,120,60,Calamansi
2024-01-12,120,60,Calamansi
2024-01-15,120,60,Calamansi
2024-01-16,120,60,Calamansi
2024-01-17,120,60,Calamansi
2024-01-18,100,60,Calamansi
2024-01-19,100,80,Calamansi
2024-01-23,100,60,Calamansi
2024-02-27,120,100,Calamansi
2024-02-28,120,80,Calamansi
2024-03-07,120,65,Calamansi
2024-03-18,120,55,Calamansi
2024-03-19,80,70,Calamansi
2024-03-21,120,50,Calamansi
2024-03-22,120,50,Calamansi
2024-03-25,120,50,Calamansi
2024-03-27,90,55,Calamansi
2024-04-01,100,55,Calamansi
2024-04-02,120,55,Calamansi
2024-04-03,140,50,Calamansi
2024-04-09,100,50,Calamansi
2024-04-11,80,50,Calamansi
2024-04-25,105,60,Calamansi
2024-04-26,90,65,Calamansi
2024-04-30,105,60,Calamansi
2024-05-02,100,55,Calamansi
2024-05-03,115,55,Calamansi
2024-05-06,120,60,Calamansi
2024-05-07,120,60,Calamansi
2024-05-08,160,120,Calamansi
2024-05-09,140,80,Calamansi
2024-05-10,140,80,Calamansi
2024-05-13,90,70,Calamansi
2024-05-16,140,80,Calamansi
2024-05-20,140,100,Calamansi
2024-05-24,120,100,Calamansi
2024-05-25,150,100,Calamansi
2024-05-27,160,100,Calamansi
2024-05-28,160,100,Calamansi
2024-05-29,160,100,Calamansi
2024-05-30,160,90,Calamansi
2024-05-31,160,90,Calamansi
2024-06-03,140,80,Calamansi
2024-06-04,140,80,Calamansi
2024-06-05,140,80,Calamansi
2024-06-06,140,85,Calamansi
2024-06-07,140,85,Calamansi
2024-06-08,150,90,Calamansi
2024-06-11,140,80,Calamansi
2024-06-12,140,90,Calamansi
2024-06-13,140,80,Calamansi
2024-06-14,130,70,Calamansi
2024-06-17,130,80,Calamansi
2024-06-18,140,80,Calamansi
2024-06-19,140,80,Calamansi
2024-06-20,140,80,Calamansi
2024-06-21,140,80,Calamansi
2024-06-22,130,80,Calamansi
2024-06-26,140,82,Calamansi
2024-06-27,140,80,Calamansi
2024-06-28,140,80,Calamansi
2024-06-29,140,80,Calamansi
2024-07-01,150,100,Calamansi
2024-07-02,150,100,Calamansi
2024-07-03,150,100,Calamansi
2024-07-05,130,90,Calamansi
2024-07-08,190,100,Calamansi
2024-07-09,160,100,Calamansi
2024-07-12,180,90,Calamansi
2024-07-15,160,120,Calamansi
2024-07-16,170,120,Calamansi
2024-07-17,170,120,Calamansi
2024-07-19,170,100,Calamansi
2024-07-22,160,100,Calamansi
2024-07-23,160,100,Calamansi
2024-07-24,160,110,Calamansi
2024-07-25,180,100,Calamansi
2024-07-26,180,110,Calamansi
2024-07-27,180,100,Calamansi
2024-07-29,180,80,Calamansi
2024-07-30,180,80,Calamansi
2024-07-31,180,85,Calamansi
2024-08-01,130,85,Calamansi
2024-08-02,160,80,Calamansi
2024-08-03,140,100,Calamansi
2024-08-05,160,90,Calamansi
2024-08-06,160,80,Calamansi
2024-08-07,160,80,Calamansi
2024-08-08,160,90,Calamansi
2024-08-09,160,90,Calamansi
2024-08-10,140,100,Calamansi
2024-08-12,160,70,Calamansi
2024-08-13,160,70,Calamansi
2024-08-14,160,70,Calamansi
2024-08-15,160,70,Calamansi
2024-08-16,160,60,Calamansi
2024-08-17,150,70,Calamansi
2024-08-20,140,70,Calamansi
2024-08-21,120,80,Calamansi
2024-08-29,140,45,Calamansi
2024-08-30,140,45,Calamansi
