Date,High,Low,Commodity
4 01 2024,200,,Mango (Carabao)
9 01 2024,220,,Mango (Carabao)
10 01 2024,260,120,Mango (Carabao)
11 01 2024,260,120,Mango (Carabao)
12 01 2024,200,140,Mango (Carabao)
15 01 2024,250,140,Mango (Carabao)
16 01 2024,260,120,Mango (Carabao)
17 01 2024,240,190,Mango (Carabao)
18 01 2024,260,180,Mango (Carabao)
19 01 2024,250,120,Mango (Carabao)
27 02 2024,180,,Mango (Carabao)
28 02 2024,240,130,Mango (Carabao)
7 03 2024,220,120,Mango (Carabao)
18 03 2024,230,120,Mango (Carabao)
19 03 2024,160,,Mango (Carabao)
21 03 2024,220,120,Mango (Carabao)
22 03 2024,220,120,Mango (Carabao)
25 03 2024,220,120,Mango (Carabao)
27 03 2024,150,100,Mango (Carabao)
1 04 2024,150,100,Mango (Carabao)
2 04 2024,150,100,Mango (Carabao)
3 04 2024,200,50,Mango (Carabao)
9 04 2024,180,100,Mango (Carabao)
11 04 2024,130,100,Mango (Carabao)
25 04 2024,180,130,Mango (Carabao)
26 04 2024,120,,Mango (Carabao)
30 04 2024,180,,Mango (Carabao)
2 05 2024,180,,Mango (Carabao)
3 05 2024,150,130,Mango (Carabao)
6 05 2024,120,100,Mango (Carabao)
7 05 2024,120,100,Mango (Carabao)
8 05 2024,180,,Mango (Carabao)
9 05 2024,160,,Mango (Carabao)
10 05 2024,170,120,Mango (Carabao)
13 05 2024,100,,Mango (Carabao)
16 05 2024,140,110,Mango (Carabao)
20 05 2024,160,,Mango (Carabao)
24 05 2024,140,,Mango (Carabao)
25 05 2024,180,140,Mango (Carabao)
27 05 2024,180,100,Mango (Carabao)
28 05 2024,150,100,Mango (Carabao)
29 05 2024,150,140,Mango (Carabao)
30 05 2024,150,110,Mango (Carabao)
31 05 2024,150,,Mango (Carabao)
3 06 2024,150,100,Mango (Carabao)
4 06 2024,150,110,Mango (Carabao)
5 06 2024,150,110,Mango (Carabao)
6 06 2024,180,110,Mango (Carabao)
7 06 2024,150,110,Mango (Carabao)
8 06 2024,180,110,Mango (Carabao)
10 06 2024,150,110,Mango (Carabao)
11 06 2024,150,100,Mango (Carabao)
12 06 2024,160,100,Mango (Carabao)
13 06 2024,180,110,Mango (Carabao)
14 06 2024,180,80,Mango (Carabao)
17 06 2024,160,,Mango (Carabao)
18 06 2024,180,80,Mango (Carabao)
19 06 2024,160,,Mango (Carabao)
20 06 2024,180,80,Mango (Carabao)
21 06 2024,180,80,Mango (Carabao)
22 06 2024,160,80,Mango (Carabao)
26 06 2024,160,,Mango (Carabao)
27 06 2024,180,100,Mango (Carabao)
28 06 2024,180,100,Mango (Carabao)
29 06 2024,180,100,Mango (Carabao)
1 07 2024,180,,Mango (Carabao)
2 07 2024,200,140,Mango (Carabao)
3 07 2024,180,100,Mango (Carabao)
5 07 2024,140,,Mango (Carabao)
8 07 2024,200,120,Mango (Carabao)
9 07 2024,200,120,Mango (Carabao)
12 07 2024,200,120,Mango (Carabao)
15 07 2024,200,120,Mango (Carabao)
16 07 2024,240,120,Mango (Carabao)
17 07 2024,240,160,Mango (Carabao)
19 07 2024,200,150,Mango (Carabao)
22 07 2024,240,120,Mango (Carabao)
23 07 2024,240,120,Mango (Carabao)
24 07 2024,200,,Mango (Carabao)
25 07 2024,200,,Mango (Carabao)
26 07 2024,240,120,Mango (Carabao)
27 07 2024,240,150,Mango (Carabao)
29 07 2024,240,120,Mango (Carabao)
30 07 2024,240,120,Mango (Carabao)
31 07 2024,240,120,Mango (Carabao)
1 08 2024,170,120,Mango (Carabao)
2 08 2024,240,120,Mango (Carabao)
3 08 2024,180,,Mango (Carabao)
5 08 2024,250,120,Mango (Carabao)
6 08 2024,280,120,Mango (Carabao)
7 08 2024,280,120,Mango (Carabao)
8 08 2024,280,120,Mango (Carabao)
9 08 2024,280,120,Mango (Carabao)
10 08 2024,200,120,Mango (Carabao)
12 08 2024,280,120,Mango (Carabao)
13 08 2024,200,,Mango (Carabao)
14 08 2024,280,120,Mango (Carabao)
15 08 2024,280,200,Mango (Carabao)
16 08 2024,300,120,Mango (Carabao)
17 08 2024,280,120,Mango (Carabao)
20 08 2024,250,,Mango (Carabao)
21 08 2024,280,230,Mango (Carabao)
29 08 2024,350,250,Mango (Carabao)
30 08 2024,350,280,Mango (Carabao)
