Date,High,Low,Commodity
4 01 2024,460,410,Beef Rump
9 01 2024,460,410,Beef Rump
10 01 2024,560,380,Beef Rump
11 01 2024,500,380,Beef Rump
12 01 2024,460,403,Beef Rump
15 01 2024,480,410,Beef Rump
16 01 2024,500,410,Beef Rump
17 01 2024,460,430,Beef Rump
18 01 2024,490,430,Beef Rump
19 01 2024,470,410,Beef Rump
23 01 2024,500,410,Beef Rump
27 02 2024,470,450,Beef Rump
28 02 2024,460,410,Beef Rump
7 03 2024,460,450,Beef Rump
18 03 2024,500,160,Beef Rump
19 03 2024,430,410,Beef Rump
21 03 2024,430,410,Beef Rump
22 03 2024,500,380,Beef Rump
25 03 2024,480,380,Beef Rump
27 03 2024,470,410,Beef Rump
2 04 2024,470,410,Beef Rump
3 04 2024,470,380,Beef Rump
9 04 2024,460,400,Beef Rump
11 04 2024,420,400,Beef Rump
25 04 2024,480,420,Beef Rump
26 04 2024,420,400,Beef Rump
30 04 2024,480,400,Beef Rump
2 05 2024,470,410,Beef Rump
3 05 2024,470,410,Beef Rump
6 05 2024,420,400,Beef Rump
7 05 2024,460,400,Beef Rump
8 05 2024,460,400,Beef Rump
9 05 2024,480,430,Beef Rump
10 05 2024,500,430,Beef Rump
13 05 2024,260,410,Beef Rump
16 05 2024,480,410,Beef Rump
20 05 2024,480,390,Beef Rump
24 05 2024,490,390,Beef Rump
25 05 2024,500,390,Beef Rump
27 05 2024,500,390,Beef Rump
28 05 2024,480,410,Beef Rump
29 05 2024,500,390,Beef Rump
30 05 2024,480,410,Beef Rump
31 05 2024,480,410,Beef Rump
3 06 2024,480,400,Beef Rump
4 06 2024,490,410,Beef Rump
5 06 2024,480,410,Beef Rump
6 06 2024,490,390,Beef Rump
7 06 2024,480,390,Beef Rump
8 06 2024,460,400,Beef Rump
10 06 2024,490,390,Beef Rump
11 06 2024,490,390,Beef Rump
12 06 2024,500,390,Beef Rump
13 06 2024,490,390,Beef Rump
14 06 2024,490,400,Beef Rump
17 06 2024,480,410,Beef Rump
18 06 2024,490,400,Beef Rump
19 06 2024,480,410,Beef Rump
20 06 2024,500,400,Beef Rump
21 06 2024,500,410,Beef Rump
22 06 2024,490,410,Beef Rump
26 06 2024,460,410,Beef Rump
27 06 2024,490,400,Beef Rump
28 06 2024,490,400,Beef Rump
29 06 2024,500,430,Beef Rump
1 07 2024,490,400,Beef Rump
2 07 2024,480,430,Beef Rump
3 07 2024,490,430,Beef Rump
5 07 2024,480,410,Beef Rump
8 07 2024,490,430,Beef Rump
9 07 2024,490,410,Beef Rump
12 07 2024,480,400,Beef Rump
15 07 2024,500,410,Beef Rump
16 07 2024,500,410,Beef Rump
17 07 2024,480,430,Beef Rump
19 07 2024,500,400,Beef Rump
22 07 2024,500,400,Beef Rump
23 07 2024,500,400,Beef Rump
24 07 2024,490,410,Beef Rump
25 07 2024,490,400,Beef Rump
26 07 2024,500,410,Beef Rump
27 07 2024,490,410,Beef Rump
29 07 2024,490,400,Beef Rump
30 07 2024,490,400,Beef Rump
31 07 2024,490,400,Beef Rump
1 08 2024,440,400,Beef Rump
2 08 2024,490,400,Beef Rump
3 08 2024,450,400,Beef Rump
5 08 2024,500,400,Beef Rump
6 08 2024,500,400,Beef Rump
7 08 2024,490,400,Beef Rump
8 08 2024,490,400,Beef Rump
9 08 2024,490,400,Beef Rump
10 08 2024,490,400,Beef Rump
12 08 2024,500,400,Beef Rump
13 08 2024,490,410,Beef Rump
14 08 2024,490,400,Beef Rump
15 08 2024,490,400,Beef Rump
16 08 2024,490,410,Beef Rump
17 08 2024,490,410,Beef Rump
20 08 2024,440,430,Beef Rump
21 08 2024,460,430,Beef Rump
29 08 2024,480,400,Beef Rump
30 08 2024,480,400,Beef Rump
