Date,High,Low,Commodity
4 01 2024,180,140,Whole Chicken
9 01 2024,200,150,Whole Chicken
10 01 2024,200,140,Whole Chicken
11 01 2024,200,150,Whole Chicken
12 01 2024,190,130,Whole Chicken
16 01 2024,190,140,Whole Chicken
17 01 2024,180,150,Whole Chicken
18 01 2024,220,150,Whole Chicken
19 01 2024,220,140,Whole Chicken
27 02 2024,190,170,Whole Chicken
28 02 2024,180,150,Whole Chicken
7 03 2024,190,160,Whole Chicken
19 03 2024,180,155,Whole Chicken
21 03 2024,180,145,Whole Chicken
22 03 2024,200,145,Whole Chicken
25 03 2024,220,150,Whole Chicken
27 03 2024,190,150,Whole Chicken
1 04 2024,200,150,Whole Chicken
3 04 2024,200,150,Whole Chicken
9 04 2024,190,140,Whole Chicken
11 04 2024,150,140,Whole Chicken
25 04 2024,190,150,Whole Chicken
26 04 2024,145,135,Whole Chicken
30 04 2024,190,140,Whole Chicken
2 05 2024,190,140,Whole Chicken
3 05 2024,200,150,Whole Chicken
6 05 2024,170,160,Whole Chicken
7 05 2024,200,165,Whole Chicken
8 05 2024,220,220,Whole Chicken
10 05 2024,200,160,Whole Chicken
13 05 2024,200,190,Whole Chicken
16 05 2024,200,170,Whole Chicken
20 05 2024,200,200,Whole Chicken
24 05 2024,220,175,Whole Chicken
25 05 2024,200,170,Whole Chicken
27 05 2024,210,170,Whole Chicken
28 05 2024,200,170,Whole Chicken
29 05 2024,200,160,Whole Chicken
30 05 2024,200,165,Whole Chicken
31 05 2024,190,160,Whole Chicken
3 06 2024,200,165,Whole Chicken
4 06 2024,220,160,Whole Chicken
5 06 2024,200,170,Whole Chicken
6 06 2024,220,160,Whole Chicken
7 06 2024,220,160,Whole Chicken
8 06 2024,200,160,Whole Chicken
10 06 2024,220,160,Whole Chicken
11 06 2024,220,165,Whole Chicken
13 06 2024,220,160,Whole Chicken
17 06 2024,190,160,Whole Chicken
18 06 2024,220,165,Whole Chicken
19 06 2024,200,170,Whole Chicken
20 06 2024,220,170,Whole Chicken
21 06 2024,220,160,Whole Chicken
22 06 2024,220,180,Whole Chicken
26 06 2024,205,180,Whole Chicken
27 06 2024,220,180,Whole Chicken
28 06 2024,220,175,Whole Chicken
29 06 2024,200,170,Whole Chicken
1 07 2024,220,180,Whole Chicken
2 07 2024,220,180,Whole Chicken
3 07 2024,220,180,Whole Chicken
5 07 2024,210,185,Whole Chicken
8 07 2024,250,180,Whole Chicken
9 07 2024,250,185,Whole Chicken
12 07 2024,250,185,Whole Chicken
15 07 2024,250,195,Whole Chicken
16 07 2024,250,195,Whole Chicken
17 07 2024,250,200,Whole Chicken
19 07 2024,250,190,Whole Chicken
22 07 2024,250,190,Whole Chicken
23 07 2024,250,190,Whole Chicken
24 07 2024,250,190,Whole Chicken
25 07 2024,250,200,Whole Chicken
26 07 2024,250,200,Whole Chicken
27 07 2024,250,200,Whole Chicken
29 07 2024,250,190,Whole Chicken
30 07 2024,230,180,Whole Chicken
31 07 2024,230,180,Whole Chicken
1 08 2024,210,170,Whole Chicken
2 08 2024,230,180,Whole Chicken
3 08 2024,220,190,Whole Chicken
5 08 2024,230,170,Whole Chicken
6 08 2024,230,180,Whole Chicken
7 08 2024,230,180,Whole Chicken
8 08 2024,230,180,Whole Chicken
9 08 2024,230,180,Whole Chicken
10 08 2024,230,190,Whole Chicken
12 08 2024,230,180,Whole Chicken
13 08 2024,240,180,Whole Chicken
14 08 2024,240,180,Whole Chicken
15 08 2024,240,185,Whole Chicken
16 08 2024,240,180,Whole Chicken
17 08 2024,240,185,Whole Chicken
20 08 2024,220,180,Whole Chicken
21 08 2024,230,220,Whole Chicken
29 08 2024,230,170,Whole Chicken
30 08 2024,230,175,Whole Chicken
