Date,High,Low,Commodity
2024-01-04,160,120,White Potato
2024-01-09,160,100,White Potato
2024-01-10,160,100,White Potato
2024-01-11,160,100,White Potato
2024-01-12,150,100,White Potato
2024-01-15,160,95,White Potato
2024-01-16,150,100,White Potato
2024-01-17,160,100,White Potato
2024-01-18,160,100,White Potato
2024-01-19,140,90,White Potato
2024-01-23,150,90,White Potato
2024-02-27,140,120,White Potato
2024-02-28,140,100,White Potato
2024-03-07,150,100,White Potato
2024-03-18,120,100,White Potato
2024-03-19,120,100,White Potato
2024-03-21,150,12,White Potato
2024-03-22,150,100,White Potato
2024-03-25,140,100,White Potato
2024-03-27,130,100,White Potato
2024-04-01,130,90,White Potato
2024-04-02,130,90,White Potato
2024-04-03,150,90,White Potato
2024-04-09,150,90,White Potato
2024-04-11,100,80,White Potato
2024-04-25,140,80,White Potato
2024-04-26,100,80,White Potato
2024-04-30,120,80,White Potato
2024-05-02,130,80,White Potato
2024-05-03,130,80,White Potato
2024-05-06,140,85,White Potato
2024-05-07,120,85,White Potato
2024-05-08,140,120,White Potato
2024-05-09,120,80,White Potato
2024-05-10,130,80,White Potato
2024-05-13,120,110,White Potato
2024-05-16,130,80,White Potato
2024-05-20,120,80,White Potato
2024-05-24,180,90,White Potato
2024-05-25,140,90,White Potato
2024-05-27,140,85,White Potato
2024-05-28,120,90,White Potato
2024-05-29,140,90,White Potato
2024-05-30,150,90,White Potato
2024-05-31,140,90,White Potato
2024-06-03,170,100,White Potato
2024-06-04,180,120,White Potato
2024-06-05,170,120,White Potato
2024-06-06,180,100,White Potato
2024-06-07,160,100,White Potato
2024-06-08,160,100,White Potato
2024-06-10,160,100,White Potato
2024-06-11,160,100,White Potato
2024-06-12,150,120,White Potato
2024-06-13,160,100,White Potato
2024-06-14,150,100,White Potato
2024-06-17,160,110,White Potato
2024-06-18,160,110,White Potato
2024-06-19,160,110,White Potato
2024-06-20,160,100,White Potato
2024-06-21,160,100,White Potato
2024-06-22,150,100,White Potato
2024-06-26,140,80,White Potato
2024-06-27,150,80,White Potato
2024-06-28,150,80,White Potato
2024-06-29,140,90,White Potato
2024-07-01,150,80,White Potato
2024-07-02,150,80,White Potato
2024-07-03,150,80,White Potato
2024-07-05,120,75,White Potato
2024-07-08,160,70,White Potato
2024-07-09,140,70,White Potato
2024-07-12,140,70,White Potato
2024-07-15,140,70,White Potato
2024-07-16,130,80,White Potato
2024-07-17,130,70,White Potato
2024-07-19,140,60,White Potato
2024-07-22,130,60,White Potato
2024-07-23,140,80,White Potato
2024-07-24,130,80,White Potato
2024-07-25,140,80,White Potato
2024-07-26,140,60,White Potato
2024-07-27,150,90,White Potato
2024-07-29,150,90,White Potato
2024-07-30,150,85,White Potato
2024-07-31,150,80,White Potato
2024-08-01,120,70,White Potato
2024-08-02,140,70,White Potato
2024-08-03,140,70,White Potato
2024-08-05,140,65,White Potato
2024-08-06,140,65,White Potato
2024-08-07,140,70,White Potato
2024-08-08,160,55,White Potato
2024-08-09,160,60,White Potato
2024-08-10,140,70,White Potato
2024-08-12,140,60,White Potato
2024-08-13,140,60,White Potato
2024-08-14,140,60,White Potato
2024-08-15,140,60,White Potato
2024-08-16,120,60,White Potato
2024-08-17,120,60,White Potato
2024-08-20,120,65,White Potato
2024-08-21,120,80,White Potato
2024-08-29,140,60,White Potato
2024-08-30,120,50,White Potato
