Date,High,Low,Commodity
2024-01-04,200,170,Bangus
2024-01-09,220,180,Bangus
2024-01-10,260,160,Bangus
2024-01-11,260,140,Bangus
2024-01-12,260,160,Bangus
2024-01-15,260,160,Bangus
2024-01-16,260,160,Bangus
2024-01-17,250,170,Bangus
2024-01-18,220,150,Bangus
2024-01-19,250,170,Bangus
2024-01-23,250,150,Bangus
2024-02-27,220,180,Bangus
2024-02-28,250,180,Bangus
2024-03-07,250,170,Bangus
2024-03-18,260,140,Bangus
2024-03-21,220,140,Bangus
2024-03-22,260,140,Bangus
2024-03-25,220,150,Bangus
2024-03-27,220,150,Bangus
2024-04-01,220,140,Bangus
2024-04-02,160,150,Bangus
2024-04-03,240,140,Bangus
2024-04-09,260,140,Bangus
2024-04-11,160,140,Bangus
2024-04-26,150,120,Bangus
2024-04-30,240,135,Bangus
2024-05-02,240,140,Bangus
2024-05-03,250,140,Bangus
2024-05-06,150,130,Bangus
2024-05-07,180,130,Bangus
2024-05-09,220,160,Bangus
2024-05-10,260,150,Bangus
2024-05-13,180,180,Bangus
2024-05-16,250,130,Bangus
2024-05-20,215,180,Bangus
2024-05-24,220,140,Bangus
2024-05-25,240,160,Bangus
2024-05-27,240,160,Bangus
2024-05-28,220,140,Bangus
2024-05-29,215,170,Bangus
2024-05-30,250,160,Bangus
2024-06-03,200,140,Bangus
2024-06-04,250,140,Bangus
2024-06-05,250,140,Bangus
2024-06-06,250,140,Bangus
2024-06-07,250,140,Bangus
2024-06-08,250,140,Bangus
2024-06-10,250,140,Bangus
2024-06-11,240,140,Bangus
2024-06-12,260,140,Bangus
2024-06-13,250,140,Bangus
2024-06-14,220,140,Bangus
2024-06-17,220,140,Bangus
2024-06-18,250,140,Bangus
2024-06-19,215,140,Bangus
2024-06-20,250,140,Bangus
2024-06-21,250,140,Bangus
2024-06-22,200,140,Bangus
2024-06-26,250,140,Bangus
2024-06-27,250,140,Bangus
2024-06-28,220,140,Bangus
2024-06-29,250,140,Bangus
2024-07-01,230,140,Bangus
2024-07-02,250,160,Bangus
2024-07-03,250,130,Bangus
2024-07-05,200,140,Bangus
2024-07-08,250,140,Bangus
2024-07-09,220,140,Bangus
2024-07-12,230,140,Bangus
2024-07-15,215,140,Bangus
2024-07-16,215,140,Bangus
2024-07-17,250,180,Bangus
2024-07-19,230,140,Bangus
2024-07-22,250,135,Bangus
2024-07-23,250,135,Bangus
2024-07-24,220,135,Bangus
2024-07-25,240,140,Bangus
2024-07-26,250,140,Bangus
2024-07-27,250,140,Bangus
2024-07-29,250,140,Bangus
2024-07-30,250,140,Bangus
2024-07-31,250,135,Bangus
2024-08-01,220,170,Bangus
2024-08-02,250,130,Bangus
2024-08-03,220,170,Bangus
2024-08-05,250,140,Bangus
2024-08-06,250,135,Bangus
2024-08-07,240,135,Bangus
2024-08-08,240,130,Bangus
2024-08-09,240,135,Bangus
2024-08-10,200,170,Bangus
2024-08-12,240,135,Bangus
2024-08-13,230,140,Bangus
2024-08-14,240,135,Bangus
2024-08-15,240,135,Bangus
2024-08-16,240,135,Bangus
2024-08-17,200,140,Bangus
2024-08-20,220,170,Bangus
2024-08-21,240,230,Bangus
2024-08-29,240,135,Bangus
2024-08-30,240,135,Bangus
