Date,High,Low,Commodity
10 01 2024,320,240,Galunggong (Local)
11 01 2024,320,,Galunggong (Local)
12 01 2024,300,,Galunggong (Local)
15 01 2024,300,,Galunggong (Local)
16 01 2024,300,,Galunggong (Local)
17 01 2024,300,,Galunggong (Local)
18 01 2024,300,280,Galunggong (Local)
19 01 2024,300,280,Galunggong (Local)
23 01 2024,320,,Galunggong (Local)
27 02 2024,280,200,Galunggong (Local)
28 02 2024,260,200,Galunggong (Local)
7 03 2024,240,200,Galunggong (Local)
18 03 2024,280,150,Galunggong (Local)
21 03 2024,220,180,Galunggong (Local)
22 03 2024,300,180,Galunggong (Local)
25 03 2024,280,200,Galunggong (Local)
27 03 2024,280,220,Galunggong (Local)
1 04 2024,300,200,Galunggong (Local)
2 04 2024,220,,Galunggong (Local)
3 04 2024,280,180,Galunggong (Local)
9 04 2024,260,200,Galunggong (Local)
11 04 2024,200,,Galunggong (Local)
25 04 2024,240,140,Galunggong (Local)
26 04 2024,240,200,Galunggong (Local)
30 04 2024,200,,Galunggong (Local)
2 05 2024,200,180,Galunggong (Local)
3 05 2024,240,180,Galunggong (Local)
6 05 2024,240,200,Galunggong (Local)
7 05 2024,240,180,Galunggong (Local)
8 05 2024,200,,Galunggong (Local)
9 05 2024,200,,Galunggong (Local)
10 05 2024,250,160,Galunggong (Local)
13 05 2024,200,160,Galunggong (Local)
20 05 2024,280,,Galunggong (Local)
24 05 2024,240,180,Galunggong (Local)
25 05 2024,240,200,Galunggong (Local)
27 05 2024,280,,Galunggong (Local)
28 05 2024,280,200,Galunggong (Local)
29 05 2024,244,180,Galunggong (Local)
30 05 2024,280,180,Galunggong (Local)
31 05 2024,240,200,Galunggong (Local)
3 06 2024,280,200,Galunggong (Local)
4 06 2024,240,180,Galunggong (Local)
5 06 2024,240,180,Galunggong (Local)
6 06 2024,240,200,Galunggong (Local)
7 06 2024,260,200,Galunggong (Local)
8 06 2024,240,200,Galunggong (Local)
10 06 2024,240,180,Galunggong (Local)
11 06 2024,280,180,Galunggong (Local)
12 06 2024,280,180,Galunggong (Local)
13 06 2024,260,180,Galunggong (Local)
14 06 2024,280,180,Galunggong (Local)
17 06 2024,280,220,Galunggong (Local)
18 06 2024,280,200,Galunggong (Local)
19 06 2024,240,200,Galunggong (Local)
20 06 2024,250,160,Galunggong (Local)
21 06 2024,260,200,Galunggong (Local)
22 06 2024,240,200,Galunggong (Local)
26 06 2024,260,220,Galunggong (Local)
27 06 2024,280,200,Galunggong (Local)
28 06 2024,280,180,Galunggong (Local)
29 06 2024,240,200,Galunggong (Local)
1 07 2024,260,180,Galunggong (Local)
2 07 2024,280,200,Galunggong (Local)
3 07 2024,260,200,Galunggong (Local)
5 07 2024,240,,Galunggong (Local)
8 07 2024,280,200,Galunggong (Local)
9 07 2024,280,180,Galunggong (Local)
12 07 2024,280,170,Galunggong (Local)
15 07 2024,280,200,Galunggong (Local)
16 07 2024,280,200,Galunggong (Local)
17 07 2024,280,200,Galunggong (Local)
19 07 2024,280,200,Galunggong (Local)
22 07 2024,280,200,Galunggong (Local)
23 07 2024,300,220,Galunggong (Local)
24 07 2024,300,200,Galunggong (Local)
25 07 2024,300,,Galunggong (Local)
26 07 2024,320,220,Galunggong (Local)
27 07 2024,300,,Galunggong (Local)
29 07 2024,300,220,Galunggong (Local)
30 07 2024,300,220,Galunggong (Local)
31 07 2024,320,220,Galunggong (Local)
1 08 2024,280,,Galunggong (Local)
2 08 2024,280,200,Galunggong (Local)
3 08 2024,260,,Galunggong (Local)
5 08 2024,280,200,Galunggong (Local)
6 08 2024,280,200,Galunggong (Local)
7 08 2024,280,200,Galunggong (Local)
8 08 2024,280,180,Galunggong (Local)
9 08 2024,280,200,Galunggong (Local)
10 08 2024,280,,Galunggong (Local)
12 08 2024,280,120,Galunggong (Local)
13 08 2024,240,,Galunggong (Local)
14 08 2024,280,200,Galunggong (Local)
15 08 2024,280,200,Galunggong (Local)
16 08 2024,280,200,Galunggong (Local)
17 08 2024,280,200,Galunggong (Local)
20 08 2024,260,,Galunggong (Local)
21 08 2024,240,230,Galunggong (Local)
29 08 2024,280,200,Galunggong (Local)
30 08 2024,280,200,Galunggong (Local)
