Date,High,Low,Commodity
4 01 2024,380,300,Pork Belly
9 01 2024,380,290,Pork Belly
10 01 2024,400,290,Pork Belly
12 01 2024,380,300,Pork Belly
15 01 2024,380,290,Pork Belly
17 01 2024,380,290,Pork Belly
18 01 2024,400,290,Pork Belly
19 01 2024,400,300,Pork Belly
23 01 2024,390,300,Pork Belly
27 02 2024,400,370,Pork Belly
28 02 2024,380,320,Pork Belly
7 03 2024,400,315,Pork Belly
18 03 2024,420,310,Pork Belly
19 03 2024,360,310,Pork Belly
21 03 2024,360,310,Pork Belly
22 03 2024,420,310,Pork Belly
25 03 2024,420,310,Pork Belly
27 03 2024,420,310,Pork Belly
1 04 2024,400,310,Pork Belly
2 04 2024,380,320,Pork Belly
3 04 2024,400,310,Pork Belly
9 04 2024,400,325,Pork Belly
11 04 2024,340,325,Pork Belly
25 04 2024,400,360,Pork Belly
26 04 2024,340,325,Pork Belly
30 04 2024,390,325,Pork Belly
2 05 2024,390,325,Pork Belly
3 05 2024,390,325,Pork Belly
6 05 2024,360,325,Pork Belly
7 05 2024,380,325,Pork Belly
8 05 2024,400,390,Pork Belly
9 05 2024,390,320,Pork Belly
13 05 2024,380,360,Pork Belly
16 05 2024,400,325,Pork Belly
24 05 2024,420,340,Pork Belly
25 05 2024,400,330,Pork Belly
27 05 2024,400,330,Pork Belly
28 05 2024,410,350,Pork Belly
29 05 2024,420,330,Pork Belly
30 05 2024,410,330,Pork Belly
31 05 2024,400,330,Pork Belly
3 06 2024,420,330,Pork Belly
4 06 2024,400,330,Pork Belly
5 06 2024,400,330,Pork Belly
6 06 2024,400,320,Pork Belly
7 06 2024,400,330,Pork Belly
8 06 2024,420,320,Pork Belly
10 06 2024,410,330,Pork Belly
11 06 2024,420,370,Pork Belly
12 06 2024,400,320,Pork Belly
13 06 2024,420,320,Pork Belly
14 06 2024,420,320,Pork Belly
17 06 2024,400,330,Pork Belly
18 06 2024,420,180,Pork Belly
19 06 2024,400,330,Pork Belly
20 06 2024,410,330,Pork Belly
21 06 2024,410,325,Pork Belly
22 06 2024,410,330,Pork Belly
26 06 2024,400,325,Pork Belly
27 06 2024,410,325,Pork Belly
28 06 2024,420,325,Pork Belly
29 06 2024,410,360,Pork Belly
1 07 2024,420,330,Pork Belly
2 07 2024,410,325,Pork Belly
3 07 2024,410,350,Pork Belly
5 07 2024,400,330,Pork Belly
8 07 2024,410,320,Pork Belly
9 07 2024,410,320,Pork Belly
12 07 2024,420,320,Pork Belly
15 07 2024,410,325,Pork Belly
16 07 2024,410,325,Pork Belly
17 07 2024,400,360,Pork Belly
19 07 2024,420,320,Pork Belly
22 07 2024,420,320,Pork Belly
23 07 2024,420,320,Pork Belly
24 07 2024,400,320,Pork Belly
25 07 2024,400,320,Pork Belly
26 07 2024,410,320,Pork Belly
27 07 2024,400,320,Pork Belly
29 07 2024,410,310,Pork Belly
30 07 2024,410,310,Pork Belly
31 07 2024,410,310,Pork Belly
1 08 2024,410,310,Pork Belly
2 08 2024,400,310,Pork Belly
3 08 2024,400,320,Pork Belly
5 08 2024,400,310,Pork Belly
6 08 2024,400,310,Pork Belly
7 08 2024,400,310,Pork Belly
8 08 2024,400,310,Pork Belly
9 08 2024,400,310,Pork Belly
10 08 2024,395,320,Pork Belly
12 08 2024,400,305,Pork Belly
13 08 2024,395,300,Pork Belly
14 08 2024,400,300,Pork Belly
15 08 2024,400,300,Pork Belly
16 08 2024,400,300,Pork Belly
17 08 2024,395,300,Pork Belly
20 08 2024,380,310,Pork Belly
21 08 2024,390,360,Pork Belly
29 08 2024,400,290,Pork Belly
