Date,High,Low,Commodity,
2024-01-04,58,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-01-09,57,54,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-01-10,63,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-01-11,63,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-01-12,60,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-01-15,62,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-01-16,60,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-01-17,60,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-01-18,63,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-01-19,63,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-01-23,60,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-02-27,63,52,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-02-28,62,52,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-03-07,56,52,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-03-18,63,51,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-03-19,55,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-03-21,58,53,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-03-22,63,51,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-03-25,63,54,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-03-27,63,54,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-04-01,60,52,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-04-02,60,55,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-04-03,60,51,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-04-09,58,52,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-04-11,58,54,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-04-25,58,51,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-04-26,60,52,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-04-30,60,53,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-05-02,60,51,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-05-03,60,52,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-05-06,60,52,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-05-07,60,51,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-05-08,56,53,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-05-09,58,55,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-05-10,58,52,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-05-13,54,51,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-05-16,60,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-05-20,58,55,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-05-24,58,53,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-05-25,57,54,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-05-27,58,52,COMMERCIAL (LOCAL) Premium (Yellow tagged),
