Date,High,Low,Commodity
9 01 2024,50,50,COMMERCIAL (LOCAL) Regular Milled
10 01 2024,53,53,COMMERCIAL (LOCAL) Regular Milled
11 01 2024,53,53,COMMERCIAL (LOCAL) Regular Milled
12 01 2024,53,53,COMMERCIAL (LOCAL) Regular Milled
15 01 2024,53,53,COMMERCIAL (LOCAL) Regular Milled
16 01 2024,53,53,COMMERCIAL (LOCAL) Regular Milled
17 01 2024,50,50,COMMERCIAL (LOCAL) Regular Milled
18 01 2024,45,45,COMMERCIAL (LOCAL) Regular Milled
19 01 2024,52,52,COMMERCIAL (LOCAL) Regular Milled
23 01 2024,53,53,COMMERCIAL (LOCAL) Regular Milled
7 03 2024,50,50,COMMERCIAL (LOCAL) Regular Milled
18 03 2024,53,53,COMMERCIAL (LOCAL) Regular Milled
19 03 2024,50,50,COMMERCIAL (LOCAL) Regular Milled
21 03 2024,50,50,COMMERCIAL (LOCAL) Regular Milled
22 03 2024,53,50,COMMERCIAL (LOCAL) Regular Milled
25 03 2024,50,50,COMMERCIAL (LOCAL) Regular Milled
27 03 2024,50,50,COMMERCIAL (LOCAL) Regular Milled
1 04 2024,50,50,COMMERCIAL (LOCAL) Regular Milled
3 04 2024,52,50,COMMERCIAL (LOCAL) Regular Milled
9 04 2024,52,52,COMMERCIAL (LOCAL) Regular Milled
25 04 2024,52,52,COMMERCIAL (LOCAL) Regular Milled
30 04 2024,52,52,COMMERCIAL (LOCAL) Regular Milled
3 05 2024,52,52,COMMERCIAL (LOCAL) Regular Milled
9 05 2024,50,50,COMMERCIAL (LOCAL) Regular Milled
10 05 2024,53,53,COMMERCIAL (LOCAL) Regular Milled
16 05 2024,53,53,COMMERCIAL (LOCAL) Regular Milled
20 05 2024,52,52,COMMERCIAL (LOCAL) Regular Milled
24 05 2024,50,50,COMMERCIAL (LOCAL) Regular Milled
25 05 2024,50,50,COMMERCIAL (LOCAL) Regular Milled
27 05 2024,52,52,COMMERCIAL (LOCAL) Regular Milled
29 05 2024,52,52,COMMERCIAL (LOCAL) Regular Milled
30 05 2024,52,52,COMMERCIAL (LOCAL) Regular Milled
3 06 2024,50,50,COMMERCIAL (LOCAL) Regular Milled
4 06 2024,52,52,COMMERCIAL (LOCAL) Regular Milled
5 06 2024,52,52,COMMERCIAL (LOCAL) Regular Milled
6 06 2024,52,52,COMMERCIAL (LOCAL) Regular Milled
7 06 2024,52,52,COMMERCIAL (LOCAL) Regular Milled
8 06 2024,50,50,COMMERCIAL (LOCAL) Regular Milled
10 06 2024,52,52,COMMERCIAL (LOCAL) Regular Milled
11 06 2024,50,50,COMMERCIAL (LOCAL) Regular Milled
12 06 2024,52,52,COMMERCIAL (LOCAL) Regular Milled
