Date,High,Low,Commodity
4 01 2024,150,80,Carrots
9 01 2024,140,60,Carrots
10 01 2024,130,60,Carrots
11 01 2024,140,60,Carrots
12 01 2024,130,70,Carrots
15 01 2024,120,50,Carrots
16 01 2024,120,60,Carrots
17 01 2024,130,60,Carrots
18 01 2024,130,60,Carrots
19 01 2024,110,70,Carrots
23 01 2024,120,70,Carrots
27 02 2024,140,100,Carrots
28 02 2024,140,80,Carrots
7 03 2024,140,100,Carrots
18 03 2024,140,80,Carrots
19 03 2024,100,80,Carrots
21 03 2024,140,80,Carrots
25 03 2024,130,90,Carrots
27 03 2024,130,85,Carrots
1 04 2024,120,80,Carrots
2 04 2024,140,100,Carrots
3 04 2024,140,85,Carrots
9 04 2024,130,70,Carrots
11 04 2024,120,70,Carrots
25 04 2024,120,70,Carrots
26 04 2024,120,85,Carrots
30 04 2024,120,85,Carrots
2 05 2024,120,80,Carrots
3 05 2024,130,70,Carrots
6 05 2024,140,80,Carrots
7 05 2024,120,85,Carrots
8 05 2024,140,75,Carrots
9 05 2024,120,75,Carrots
10 05 2024,130,80,Carrots
13 05 2024,120,70,Carrots
16 05 2024,120,80,Carrots
20 05 2024,120,70,Carrots
24 05 2024,140,75,Carrots
25 05 2024,120,70,Carrots
27 05 2024,140,70,Carrots
28 05 2024,120,80,Carrots
29 05 2024,120,70,Carrots
30 05 2024,120,70,Carrots
31 05 2024,130,80,Carrots
4 06 2024,140,80,Carrots
5 06 2024,130,12,Carrots
6 06 2024,140,70,Carrots
8 06 2024,160,12,Carrots
10 06 2024,120,70,Carrots
11 06 2024,120,70,Carrots
12 06 2024,120,80,Carrots
13 06 2024,140,80,Carrots
14 06 2024,140,70,Carrots
17 06 2024,120,80,Carrots
18 06 2024,150,80,Carrots
19 06 2024,130,90,Carrots
20 06 2024,160,90,Carrots
21 06 2024,140,12,Carrots
22 06 2024,140,90,Carrots
26 06 2024,150,90,Carrots
27 06 2024,150,70,Carrots
28 06 2024,170,80,Carrots
29 06 2024,140,100,Carrots
1 07 2024,150,90,Carrots
2 07 2024,160,90,Carrots
3 07 2024,160,90,Carrots
5 07 2024,160,120,Carrots
8 07 2024,160,90,Carrots
9 07 2024,180,100,Carrots
12 07 2024,180,100,Carrots
15 07 2024,200,100,Carrots
16 07 2024,170,100,Carrots
17 07 2024,170,120,Carrots
19 07 2024,170,130,Carrots
22 07 2024,200,130,Carrots
23 07 2024,190,150,Carrots
24 07 2024,180,160,Carrots
25 07 2024,180,160,Carrots
26 07 2024,240,120,Carrots
27 07 2024,300,120,Carrots
29 07 2024,250,140,Carrots
30 07 2024,250,120,Carrots
31 07 2024,220,100,Carrots
1 08 2024,150,100,Carrots
2 08 2024,200,100,Carrots
3 08 2024,180,100,Carrots
5 08 2024,200,100,Carrots
6 08 2024,200,100,Carrots
7 08 2024,200,100,Carrots
8 08 2024,180,110,Carrots
9 08 2024,190,90,Carrots
10 08 2024,160,120,Carrots
12 08 2024,160,90,Carrots
13 08 2024,160,90,Carrots
14 08 2024,160,90,Carrots
15 08 2024,160,90,Carrots
16 08 2024,160,90,Carrots
17 08 2024,160,90,Carrots
20 08 2024,120,120,Carrots
21 08 2024,140,100,Carrots
29 08 2024,140,12,Carrots
30 08 2024,140,60,Carrots
