Date,High,Low,Commodity
4 01 2024,120,80,Eggplant
9 01 2024,140,100,Eggplant
10 01 2024,140,100,Eggplant
11 01 2024,160,100,Eggplant
12 01 2024,160,100,Eggplant
15 01 2024,140,90,Eggplant
16 01 2024,140,80,Eggplant
17 01 2024,140,100,Eggplant
18 01 2024,140,100,Eggplant
19 01 2024,140,80,Eggplant
23 01 2024,140,80,Eggplant
27 02 2024,80,70,Eggplant
28 02 2024,100,60,Eggplant
7 03 2024,120,70,Eggplant
18 03 2024,120,60,Eggplant
19 03 2024,80,,Eggplant
21 03 2024,100,60,Eggplant
22 03 2024,120,60,Eggplant
25 03 2024,120,60,Eggplant
27 03 2024,100,60,Eggplant
1 04 2024,120,70,Eggplant
2 04 2024,120,70,Eggplant
3 04 2024,140,70,Eggplant
9 04 2024,120,40,Eggplant
11 04 2024,100,40,Eggplant
25 04 2024,100,50,Eggplant
26 04 2024,100,70,Eggplant
30 04 2024,100,70,Eggplant
2 05 2024,100,70,Eggplant
3 05 2024,100,50,Eggplant
6 05 2024,100,60,Eggplant
7 05 2024,100,60,Eggplant
8 05 2024,110,90,Eggplant
9 05 2024,120,70,Eggplant
10 05 2024,100,80,Eggplant
13 05 2024,120,70,Eggplant
16 05 2024,120,80,Eggplant
20 05 2024,120,100,Eggplant
24 05 2024,100,70,Eggplant
25 05 2024,120,80,Eggplant
27 05 2024,120,60,Eggplant
28 05 2024,120,60,Eggplant
29 05 2024,120,65,Eggplant
30 05 2024,120,70,Eggplant
31 05 2024,120,80,Eggplant
4 06 2024,130,70,Eggplant
5 06 2024,120,70,Eggplant
6 06 2024,140,60,Eggplant
7 06 2024,120,60,Eggplant
10 06 2024,120,40,Eggplant
11 06 2024,120,60,Eggplant
12 06 2024,120,60,Eggplant
13 06 2024,120,60,Eggplant
14 06 2024,120,50,Eggplant
17 06 2024,120,60,Eggplant
18 06 2024,120,60,Eggplant
19 06 2024,120,50,Eggplant
20 06 2024,120,50,Eggplant
21 06 2024,160,50,Eggplant
22 06 2024,110,45,Eggplant
26 06 2024,120,50,Eggplant
27 06 2024,120,50,Eggplant
28 06 2024,120,60,Eggplant
29 06 2024,120,70,Eggplant
1 07 2024,120,60,Eggplant
2 07 2024,110,50,Eggplant
3 07 2024,110,50,Eggplant
5 07 2024,120,60,Eggplant
8 07 2024,140,60,Eggplant
9 07 2024,140,60,Eggplant
12 07 2024,130,80,Eggplant
15 07 2024,130,80,Eggplant
16 07 2024,130,70,Eggplant
17 07 2024,130,70,Eggplant
19 07 2024,150,75,Eggplant
22 07 2024,130,70,Eggplant
23 07 2024,140,80,Eggplant
24 07 2024,140,90,Eggplant
25 07 2024,140,90,Eggplant
26 07 2024,150,80,Eggplant
27 07 2024,160,90,Eggplant
29 07 2024,170,90,Eggplant
30 07 2024,180,100,Eggplant
31 07 2024,200,100,Eggplant
1 08 2024,140,90,Eggplant
2 08 2024,160,100,Eggplant
3 08 2024,150,120,Eggplant
5 08 2024,160,100,Eggplant
6 08 2024,160,100,Eggplant
7 08 2024,160,100,Eggplant
8 08 2024,160,80,Eggplant
9 08 2024,180,100,Eggplant
10 08 2024,180,120,Eggplant
12 08 2024,180,110,Eggplant
13 08 2024,180,120,Eggplant
14 08 2024,160,100,Eggplant
15 08 2024,160,100,Eggplant
16 08 2024,150,90,Eggplant
17 08 2024,160,90,Eggplant
20 08 2024,120,80,Eggplant
21 08 2024,100,100,Eggplant
29 08 2024,100,45,Eggplant
30 08 2024,100,40,Eggplant
