Date,High,Low,Commodity
4 01 2024,90,85,Banana (Lakatan)
9 01 2024,130,,Banana (Lakatan)
10 01 2024,130,100,Banana (Lakatan)
11 01 2024,130,110,Banana (Lakatan)
12 01 2024,120,80,Banana (Lakatan)
15 01 2024,140,80,Banana (Lakatan)
16 01 2024,140,80,Banana (Lakatan)
17 01 2024,140,90,Banana (Lakatan)
18 01 2024,130,90,Banana (Lakatan)
19 01 2024,140,80,Banana (Lakatan)
23 01 2024,140,70,Banana (Lakatan)
27 02 2024,110,,Banana (Lakatan)
28 02 2024,130,80,Banana (Lakatan)
7 03 2024,110,90,Banana (Lakatan)
18 03 2024,130,12,Banana (Lakatan)
19 03 2024,100,,Banana (Lakatan)
21 03 2024,110,70,Banana (Lakatan)
22 03 2024,130,70,Banana (Lakatan)
25 03 2024,130,80,Banana (Lakatan)
27 03 2024,120,80,Banana (Lakatan)
1 04 2024,120,80,Banana (Lakatan)
2 04 2024,110,80,Banana (Lakatan)
3 04 2024,120,80,Banana (Lakatan)
9 04 2024,130,80,Banana (Lakatan)
11 04 2024,100,80,Banana (Lakatan)
25 04 2024,130,90,Banana (Lakatan)
26 04 2024,100,,Banana (Lakatan)
30 04 2024,120,,Banana (Lakatan)
2 05 2024,120,100,Banana (Lakatan)
3 05 2024,130,120,Banana (Lakatan)
6 05 2024,100,,Banana (Lakatan)
7 05 2024,100,,Banana (Lakatan)
8 05 2024,130,,Banana (Lakatan)
9 05 2024,120,,Banana (Lakatan)
10 05 2024,120,100,Banana (Lakatan)
13 05 2024,100,,Banana (Lakatan)
16 05 2024,130,110,Banana (Lakatan)
20 05 2024,120,,Banana (Lakatan)
24 05 2024,120,80,Banana (Lakatan)
25 05 2024,120,100,Banana (Lakatan)
27 05 2024,120,80,Banana (Lakatan)
28 05 2024,120,100,Banana (Lakatan)
29 05 2024,120,80,Banana (Lakatan)
30 05 2024,130,120,Banana (Lakatan)
31 05 2024,120,,Banana (Lakatan)
3 06 2024,120,90,Banana (Lakatan)
4 06 2024,130,110,Banana (Lakatan)
5 06 2024,130,120,Banana (Lakatan)
6 06 2024,130,100,Banana (Lakatan)
7 06 2024,130,80,Banana (Lakatan)
8 06 2024,130,90,Banana (Lakatan)
10 06 2024,130,40,Banana (Lakatan)
11 06 2024,120,90,Banana (Lakatan)
12 06 2024,130,90,Banana (Lakatan)
13 06 2024,130,90,Banana (Lakatan)
14 06 2024,120,80,Banana (Lakatan)
17 06 2024,120,,Banana (Lakatan)
18 06 2024,120,80,Banana (Lakatan)
19 06 2024,120,,Banana (Lakatan)
20 06 2024,120,80,Banana (Lakatan)
21 06 2024,120,80,Banana (Lakatan)
22 06 2024,120,80,Banana (Lakatan)
26 06 2024,120,,Banana (Lakatan)
27 06 2024,120,70,Banana (Lakatan)
28 06 2024,120,70,Banana (Lakatan)
29 06 2024,120,70,Banana (Lakatan)
1 07 2024,120,90,Banana (Lakatan)
2 07 2024,120,100,Banana (Lakatan)
3 07 2024,120,70,Banana (Lakatan)
5 07 2024,90,,Banana (Lakatan)
8 07 2024,130,70,Banana (Lakatan)
9 07 2024,130,80,Banana (Lakatan)
12 07 2024,120,80,Banana (Lakatan)
15 07 2024,120,80,Banana (Lakatan)
16 07 2024,120,80,Banana (Lakatan)
17 07 2024,120,120,Banana (Lakatan)
19 07 2024,120,80,Banana (Lakatan)
22 07 2024,120,90,Banana (Lakatan)
23 07 2024,120,80,Banana (Lakatan)
24 07 2024,120,100,Banana (Lakatan)
25 07 2024,130,100,Banana (Lakatan)
26 07 2024,130,80,Banana (Lakatan)
27 07 2024,120,100,Banana (Lakatan)
29 07 2024,130,80,Banana (Lakatan)
30 07 2024,130,80,Banana (Lakatan)
31 07 2024,130,80,Banana (Lakatan)
1 08 2024,100,80,Banana (Lakatan)
2 08 2024,130,80,Banana (Lakatan)
3 08 2024,100,,Banana (Lakatan)
5 08 2024,130,80,Banana (Lakatan)
6 08 2024,130,80,Banana (Lakatan)
7 08 2024,130,80,Banana (Lakatan)
8 08 2024,130,80,Banana (Lakatan)
9 08 2024,130,80,Banana (Lakatan)
10 08 2024,130,80,Banana (Lakatan)
12 08 2024,130,80,Banana (Lakatan)
13 08 2024,120,,Banana (Lakatan)
14 08 2024,120,80,Banana (Lakatan)
15 08 2024,130,90,Banana (Lakatan)
16 08 2024,140,80,Banana (Lakatan)
17 08 2024,140,80,Banana (Lakatan)
20 08 2024,100,,Banana (Lakatan)
21 08 2024,120,120,Banana (Lakatan)
29 08 2024,130,80,Banana (Lakatan)
30 08 2024,130,80,Banana (Lakatan)
