Date,High,Low,Commodity
4 01 2024,380,350,Beef Brisket
9 01 2024,440,350,Beef Brisket
10 01 2024,440,350,Beef Brisket
11 01 2024,460,290,Beef Brisket
12 01 2024,390,350,Beef Brisket
15 01 2024,460,350,Beef Brisket
16 01 2024,440,360,Beef Brisket
17 01 2024,420,360,Beef Brisket
18 01 2024,440,380,Beef Brisket
19 01 2024,440,350,Beef Brisket
23 01 2024,440,350,Beef Brisket
27 02 2024,430,360,Beef Brisket
28 02 2024,380,350,Beef Brisket
7 03 2024,420,360,Beef Brisket
18 03 2024,440,350,Beef Brisket
19 03 2024,420,350,Beef Brisket
21 03 2024,420,350,Beef Brisket
22 03 2024,460,305,Beef Brisket
25 03 2024,430,305,Beef Brisket
27 03 2024,430,350,Beef Brisket
1 04 2024,420,305,Beef Brisket
2 04 2024,390,350,Beef Brisket
3 04 2024,420,305,Beef Brisket
9 04 2024,440,350,Beef Brisket
11 04 2024,360,350,Beef Brisket
25 04 2024,460,350,Beef Brisket
26 04 2024,360,350,Beef Brisket
30 04 2024,460,350,Beef Brisket
2 05 2024,440,350,Beef Brisket
3 05 2024,430,350,Beef Brisket
6 05 2024,360,350,Beef Brisket
7 05 2024,400,350,Beef Brisket
8 05 2024,380,350,Beef Brisket
9 05 2024,460,370,Beef Brisket
10 05 2024,440,370,Beef Brisket
13 05 2024,400,370,Beef Brisket
20 05 2024,460,350,Beef Brisket
24 05 2024,420,300,Beef Brisket
25 05 2024,440,350,Beef Brisket
27 05 2024,460,350,Beef Brisket
28 05 2024,460,300,Beef Brisket
29 05 2024,460,300,Beef Brisket
30 05 2024,440,350,Beef Brisket
31 05 2024,460,350,Beef Brisket
3 06 2024,460,330,Beef Brisket
4 06 2024,460,350,Beef Brisket
5 06 2024,460,350,Beef Brisket
6 06 2024,460,305,Beef Brisket
7 06 2024,460,305,Beef Brisket
8 06 2024,440,350,Beef Brisket
10 06 2024,440,305,Beef Brisket
11 06 2024,440,305,Beef Brisket
12 06 2024,460,305,Beef Brisket
13 06 2024,460,305,Beef Brisket
14 06 2024,460,305,Beef Brisket
17 06 2024,460,350,Beef Brisket
18 06 2024,440,350,Beef Brisket
19 06 2024,460,350,Beef Brisket
20 06 2024,460,305,Beef Brisket
21 06 2024,460,350,Beef Brisket
22 06 2024,460,350,Beef Brisket
26 06 2024,420,350,Beef Brisket
27 06 2024,460,305,Beef Brisket
28 06 2024,460,350,Beef Brisket
29 06 2024,440,370,Beef Brisket
1 07 2024,460,350,Beef Brisket
2 07 2024,460,370,Beef Brisket
3 07 2024,440,360,Beef Brisket
5 07 2024,460,350,Beef Brisket
8 07 2024,460,360,Beef Brisket
9 07 2024,460,350,Beef Brisket
12 07 2024,460,350,Beef Brisket
15 07 2024,460,350,Beef Brisket
16 07 2024,460,350,Beef Brisket
17 07 2024,460,360,Beef Brisket
19 07 2024,440,350,Beef Brisket
22 07 2024,460,350,Beef Brisket
23 07 2024,460,350,Beef Brisket
24 07 2024,420,350,Beef Brisket
25 07 2024,430,350,Beef Brisket
26 07 2024,460,350,Beef Brisket
27 07 2024,460,350,Beef Brisket
29 07 2024,460,350,Beef Brisket
30 07 2024,460,350,Beef Brisket
31 07 2024,460,350,Beef Brisket
1 08 2024,420,320,Beef Brisket
3 08 2024,420,350,Beef Brisket
5 08 2024,460,350,Beef Brisket
6 08 2024,460,350,Beef Brisket
7 08 2024,460,350,Beef Brisket
8 08 2024,460,350,Beef Brisket
9 08 2024,460,350,Beef Brisket
10 08 2024,420,350,Beef Brisket
12 08 2024,460,350,Beef Brisket
13 08 2024,420,350,Beef Brisket
14 08 2024,460,350,Beef Brisket
15 08 2024,490,350,Beef Brisket
16 08 2024,460,350,Beef Brisket
17 08 2024,420,350,Beef Brisket
20 08 2024,420,380,Beef Brisket
21 08 2024,400,370,Beef Brisket
29 08 2024,460,350,Beef Brisket
30 08 2024,460,350,Beef Brisket
