Date,High,Low,Commodity
2024-01-04,80,,Cabbage
2024-01-09,90,,Cabbage
2024-01-10,100,60,Cabbage
2024-01-11,80,50,Cabbage
2024-01-12,80,,Cabbage
2024-01-15,80,60,Cabbage
2024-01-16,80,60,Cabbage
2024-01-17,80,60,Cabbage
2024-01-18,80,,Cabbage
2024-01-19,80,70,Cabbage
2024-01-23,90,60,Cabbage
2024-02-27,100,60,Cabbage
2024-02-28,100,60,Cabbage
2024-03-07,100,60,Cabbage
2024-03-18,100,50,Cabbage
2024-03-21,90,,Cabbage
2024-03-22,90,50,Cabbage
2024-03-25,90,50,Cabbage
2024-03-27,80,60,Cabbage
2024-04-01,80,60,Cabbage
2024-04-02,80,,Cabbage
2024-04-03,100,60,Cabbage
2024-04-09,80,50,Cabbage
2024-04-11,80,,Cabbage
2024-04-25,90,70,Cabbage
2024-04-26,80,,Cabbage
2024-04-30,90,,Cabbage
2024-05-02,100,80,Cabbage
2024-05-03,90,,Cabbage
2024-05-06,80,,Cabbage
2024-05-07,80,70,Cabbage
2024-05-08,80,,Cabbage
2024-05-10,70,,Cabbage
2024-05-13,80,70,Cabbage
2024-05-16,80,70,Cabbage
2024-05-24,80,,Cabbage
2024-05-27,90,,Cabbage
2024-05-28,80,,Cabbage
2024-05-29,80,60,Cabbage
2024-05-30,80,60,Cabbage
2024-05-31,80,,Cabbage
2024-06-03,100,60,Cabbage
2024-06-04,100,60,Cabbage
2024-06-05,80,,Cabbage
2024-06-06,100,60,Cabbage
2024-06-07,80,60,Cabbage
2024-06-08,100,70,Cabbage
2024-06-10,80,50,Cabbage
2024-06-11,100,50,Cabbage
2024-06-12,80,60,Cabbage
2024-06-13,90,60,Cabbage
2024-06-14,90,60,Cabbage
2024-06-17,80,,Cabbage
2024-06-18,100,60,Cabbage
2024-06-19,80,60,Cabbage
2024-06-20,100,60,Cabbage
2024-06-21,80,60,Cabbage
2024-06-22,100,60,Cabbage
2024-06-26,90,,Cabbage
2024-06-27,100,70,Cabbage
2024-06-28,100,70,Cabbage
2024-06-29,80,70,Cabbage
2024-07-01,90,,Cabbage
2024-07-02,100,70,Cabbage
2024-07-03,100,70,Cabbage
2024-07-05,90,70,Cabbage
2024-07-08,120,80,Cabbage
2024-07-09,100,80,Cabbage
2024-07-12,100,70,Cabbage
2024-07-15,100,70,Cabbage
2024-07-16,90,70,Cabbage
2024-07-17,80,40,Cabbage
2024-07-19,100,45,Cabbage
2024-07-22,100,45,Cabbage
2024-07-23,100,40,Cabbage
2024-07-24,80,45,Cabbage
2024-07-25,80,50,Cabbage
2024-07-26,120,50,Cabbage
2024-07-27,120,80,Cabbage
2024-07-29,100,40,Cabbage
2024-07-30,100,40,Cabbage
2024-07-30,100,40,Cabbage
2024-07-31,100,40,Cabbage
2024-08-01,70,,Cabbage
2024-08-02,100,40,Cabbage
2024-08-05,100,35,Cabbage
2024-08-06,90,35,Cabbage
2024-08-07,100,35,Cabbage
2024-08-08,90,35,Cabbage
2024-08-09,90,35,Cabbage
2024-08-10,90,60,Cabbage
2024-08-12,100,35,Cabbage
2024-08-13,90,45,Cabbage
2024-08-14,90,35,Cabbage
2024-08-15,90,35,Cabbage
2024-08-16,90,35,Cabbage
2024-08-17,80,35,Cabbage
2024-08-21,60,,Cabbage
2024-08-29,90,40,Cabbage
2024-08-30,90,50,Cabbage
