Date,Low,High,Commodity
2023-01-02,150,220,Bangus
2023-01-03,150,220,Bangus
2023-01-04,150,220,Bangus
2023-01-05,150,220,Bangus
2023-01-06,150,220,Bangus
2023-01-09,150,220,Bangus
2023-01-10,150,220,Bangus
2023-01-11,150,220,Bangus
2023-01-12,150,220,Bangus
2023-01-13,150,220,Bangus
2023-01-16,160,220,Bangus
2023-01-17,160,220,Bangus
2023-01-18,160,220,Bangus
2023-01-19,140,220,Bangus
2023-01-20,150,220,Bangus
2023-01-23,150,220,Bangus
2023-01-24,150,220,Bangus
2023-01-25,150,220,Bangus
2023-01-26,150,220,Bangus
2023-01-27,150,220,Bangus
2023-01-30,140,220,Bangus
2023-01-31,150,220,Bangus
2023-02-01,150,220,Bangus
2023-02-02,150,300,Bangus
2023-02-03,150,220,Bangus
2023-02-06,130,220,Bangus
2023-02-07,150,220,Bangus
2023-02-08,150,220,Bangus
2023-02-09,150,220,Bangus
2023-02-10,150,220,Bangus
2023-02-13,150,220,Bangus
2023-02-14,140,220,Bangus
2023-02-15,150,220,Bangus
2023-02-16,150,220,Bangus
2023-02-17,150,220,Bangus
2023-02-20,150,220,Bangus
2023-02-21,160,220,Bangus
2023-02-22,155,220,Bangus
2023-02-23,160,220,Bangus
2023-02-24,150,220,Bangus
2023-02-27,150,220,Bangus
2023-02-28,150,220,Bangus
2023-03-01,150,220,Bangus
2023-03-02,150,220,Bangus
2023-03-03,160,220,Bangus
2023-03-06,160,220,Bangus
2023-03-07,150,220,Bangus
2023-03-08,150,220,Bangus
2023-03-09,150,220,Bangus
2023-03-10,150,220,Bangus
2023-03-13,150,220,Bangus
2023-03-14,150,220,Bangus
2023-03-15,160,220,Bangus
2023-03-16,160,220,Bangus
2023-03-17,160,220,Bangus
2023-03-20,160,220,Bangus
2023-03-21,120,220,Bangus
2023-03-22,160,220,Bangus
2023-03-23,150,220,Bangus
2023-03-24,150,220,Bangus
2023-03-27,150,220,Bangus
2023-03-28,150,220,Bangus
2023-03-29,150,220,Bangus
2023-03-30,150,220,Bangus
2023-03-31,140,220,Bangus
2023-04-03,150,220,Bangus
2023-04-04,150,220,Bangus
2023-04-05,160,220,Bangus
2023-04-06,150,220,Bangus
2023-04-07,160,220,Bangus
2023-04-10,160,220,Bangus
2023-04-11,160,220,Bangus
2023-04-12,160,220,Bangus
2023-04-13,160,220,Bangus
2023-04-14,160,220,Bangus
2023-04-17,150,220,Bangus
2023-04-18,150,220,Bangus
2023-04-19,150,220,Bangus
2023-04-20,160,220,Bangus
2023-04-21,150,220,Bangus
2023-04-24,150,220,Bangus
2023-04-25,150,220,Bangus
2023-04-26,150,240,Bangus
2023-04-27,120,240,Bangus
2023-04-28,150,240,Bangus
2023-05-01,220,150,Bangus
2023-05-02,240,160,Bangus
2023-05-03,240,150,Bangus
2023-05-04,240,160,Bangus
2023-05-05,240,150,Bangus
2023-05-08,240,160,Bangus
2023-05-09,240,150,Bangus
2023-05-10,260,160,Bangus
2023-05-11,240,150,Bangus
2023-05-12,220,150,Bangus
2023-05-15,240,150,Bangus
2023-05-16,240,150,Bangus
2023-05-17,240,150,Bangus
2023-05-18,240,150,Bangus
2023-05-19,240,150,Bangus
2023-05-22,240,160,Bangus
2023-05-23,240,150,Bangus
2023-05-24,240,150,Bangus
2023-05-25,240,150,Bangus
2023-05-26,240,150,Bangus
2023-05-29,240,150,Bangus
2023-05-30,240,150,Bangus
2023-05-31,240,120,Bangus
2023-06-01,240,150,Bangus
2023-06-02,200,140,Bangus
2023-06-05,240,150,Bangus
2023-06-06,240,150,Bangus
2023-06-07,240,150,Bangus
2023-06-08,240,150,Bangus
2023-06-09,240,150,Bangus
2023-06-12,240,150,Bangus
2023-06-13,240,150,Bangus
2023-06-14,240,150,Bangus
2023-06-15,240,150,Bangus
2023-06-16,240,140,Bangus
2023-06-19,240,150,Bangus
2023-06-20,240,150,Bangus
2023-06-21,240,150,Bangus
2023-06-22,240,140,Bangus
2023-06-23,240,150,Bangus
2023-06-26,240,140,Bangus
2023-06-27,240,150,Bangus
2023-06-28,240,140,Bangus
2023-06-29,240,145,Bangus
2023-06-30,240,140,Bangus
2023-07-03,240,150,Bangus
2023-07-04,240,140,Bangus
2023-07-05,240,150,Bangus
2023-07-06,240,140,Bangus
2023-07-07,240,150,Bangus
2023-07-10,240,150,Bangus
2023-07-11,240,150,Bangus
2023-07-12,240,130,Bangus
2023-07-13,240,140,Bangus
2023-07-14,240,150,Bangus
2023-07-17,240,140,Bangus
2023-07-18,240,140,Bangus
2023-07-19,240,140,Bangus
2023-07-20,240,140,Bangus
2023-07-21,240,150,Bangus
2023-07-24,240,140,Bangus
2023-07-25,240,140,Bangus
2023-07-26,240,150,Bangus
2023-07-27,240,140,Bangus
2023-07-28,240,140,Bangus
2023-07-31,240,140,Bangus
2023-08-01,240,150,Bangus
2023-08-02,240,150,Bangus
2023-08-03,240,150,Bangus
2023-08-04,240,150,Bangus
2023-08-07,240,150,Bangus
2023-08-08,240,150,Bangus
2023-08-09,240,160,Bangus
2023-08-10,240,150,Bangus
2023-08-11,240,150,Bangus
2023-08-14,240,140,Bangus
2023-08-15,240,150,Bangus
2023-08-16,240,150,Bangus
2023-08-17,240,150,Bangus
2023-08-18,240,150,Bangus
2023-08-21,240,145,Bangus
2023-08-22,240,145,Bangus
2023-08-23,240,140,Bangus
2023-08-24,240,150,Bangus
2023-08-25,240,150,Bangus
2023-08-28,240,150,Bangus
2023-08-29,240,150,Bangus
2023-08-30,240,150,Bangus
2023-08-31,240,140,Bangus
2023-09-01,250,160,Bangus
2023-09-04,260,150,Bangus
2023-09-05,260,150,Bangus
2023-09-06,260,150,Bangus
2023-09-07,260,150,Bangus
2023-09-08,260,150,Bangus
2023-09-11,250,150,Bangus
2023-09-12,250,150,Bangus
2023-09-13,250,150,Bangus
2023-09-14,250,150,Bangus
2023-09-15,250,150,Bangus
2023-09-18,250,150,Bangus
2023-09-19,250,150,Bangus
2023-09-20,250,160,Bangus
2023-09-21,250,150,Bangus
2023-09-22,250,150,Bangus
2023-09-25,240,150,Bangus
2023-09-26,240,150,Bangus
2023-09-27,240,150,Bangus
2023-09-28,240,160,Bangus
2023-09-29,240,150,Bangus
2023-10-02,260,150,Bangus
2023-10-03,240,150,Bangus
2023-10-04,240,150,Bangus
2023-10-05,240,150,Bangus
2023-10-06,240,160,Bangus
2023-10-09,240,150,Bangus
2023-10-10,240,160,Bangus
2023-10-11,240,150,Bangus
2023-10-12,240,150,Bangus
2023-10-13,240,150,Bangus
2023-10-16,240,150,Bangus
2023-10-17,240,150,Bangus
2023-10-18,240,150,Bangus
2023-10-19,240,150,Bangus
2023-10-20,240,150,Bangus
2023-10-23,200,150,Bangus
2023-10-24,240,150,Bangus
2023-10-25,240,150,Bangus
2023-10-26,240,150,Bangus
2023-10-27,240,150,Bangus
2023-10-30,240,150,Bangus
2023-10-31,240,150,Bangus
2023-11-02,240,150,Bangus
2023-11-03,240,150,Bangus
2023-11-06,250,150,Bangus
2023-11-07,250,140,Bangus
2023-11-08,250,140,Bangus
2023-11-09,250,140,Bangus
2023-11-10,260,140,Bangus
2023-11-13,240,130,Bangus
2023-11-14,240,140,Bangus
2023-11-15,240,140,Bangus
2023-11-16,240,140,Bangus
2023-11-17,240,140,Bangus
2023-11-20,250,140,Bangus
2023-11-21,250,140,Bangus
2023-11-22,250,140,Bangus
2023-11-23,250,140,Bangus
2023-11-24,250,140,Bangus
2023-11-27,250,140,Bangus
2023-11-28,250,140,Bangus
2023-11-29,260,140,Bangus
2023-11-30,250,140,Bangus
2023-12-01,250,140,Bangus
2023-12-04,250,140,Bangus
2023-12-05,250,140,Bangus
2023-12-06,250,140,Bangus
2023-12-07,250,150,Bangus
2023-12-08,250,150,Bangus
2023-12-11,250,150,Bangus
2023-12-12,260,150,Bangus
2023-12-13,260,150,Bangus
2023-12-14,260,150,Bangus
2023-12-15,260,110,Bangus
2023-12-18,250,140,Bangus
2023-12-19,260,150,Bangus
2023-12-20,260,145,Bangus
2023-12-21,260,145,Bangus
2023-12-22,260,140,Bangus
2023-12-26,260,140,Bangus
2023-12-27,250,140,Bangus
2023-12-28,250,140,Bangus
2023-12-29,270,140,Bangus
2024-01-02,140,270,Bangus
2024-01-03,140,260,Bangus
2024-01-04,140,260,Bangus
2024-01-05,145,260,Bangus
2024-01-08,150,260,Bangus
2024-01-09,140,260,Bangus
2024-01-10,150,230,Bangus
2024-01-11,140,250,Bangus
2024-01-12,150,230,Bangus
2024-01-15,150,220,Bangus
2024-01-16,150,220,Bangus
2024-01-17,150,220,Bangus
2024-01-18,150,220,Bangus
2024-01-19,150,220,Bangus
2024-01-22,140,240,Bangus
2024-01-23,150,220,Bangus
2024-01-24,150,250,Bangus
2024-01-25,150,250,Bangus
2024-01-26,150,250,Bangus
2024-01-29,150,250,Bangus
2024-01-30,150,250,Bangus
2024-01-31,150,240,Bangus
2024-02-01,150,250,Bangus
2024-02-02,150,250,Bangus
2024-02-05,150,240,Bangus
2024-02-06,150,250,Bangus
2024-02-07,150,260,Bangus
2024-02-08,140,260,Bangus
2024-02-09,140,260,Bangus
2024-02-12,140,260,Bangus
2024-02-13,140,260,Bangus
2024-02-14,140,240,Bangus
2024-02-15,150,240,Bangus
2024-02-16,150,220,Bangus
2024-02-19,145,260,Bangus
2024-02-20,150,260,Bangus
2024-02-21,140,260,Bangus
2024-02-22,140,250,Bangus
2024-02-23,130,240,Bangus
2024-02-26,140,250,Bangus
2024-02-27,140,240,Bangus
2024-02-28,140,240,Bangus
2024-02-29,140,250,Bangus
2024-03-01,150,240,Bangus
2024-03-04,150,230,Bangus
2024-03-05,150,230,Bangus
2024-03-06,150,220,Bangus
2024-03-07,130,240,Bangus
2024-03-08,150,220,Bangus
2024-03-11,150,220,Bangus
2024-03-12,140,250,Bangus
2024-03-13,150,220,Bangus
2024-03-14,140,250,Bangus
2024-03-15,140,250,Bangus
2024-03-18,140,250,Bangus
2024-03-19,150,220,Bangus
2024-03-20,150,220,Bangus
2024-03-21,150,220,Bangus
2024-03-22,150,220,Bangus
2024-03-25,150,250,Bangus
2024-03-26,140,250,Bangus
2024-03-27,140,250,Bangus
2024-04-01,140,250,Bangus
2024-04-02,140,250,Bangus
2024-04-03,150,220,Bangus
2024-04-04,140,250,Bangus
2024-04-05,150,230,Bangus
2024-04-08,150,230,Bangus
2024-04-11,150,230,Bangus
2024-04-12,150,230,Bangus
2024-04-15,140,230,Bangus
2024-04-16,138,240,Bangus
2024-04-17,135,250,Bangus
2024-04-18,150,220,Bangus
