Date,High,Low,Commodity
2 05 2024,70,,Banana (Latundan)
3 05 2024,90,85,Banana (Latundan)
7 05 2024,60,,Banana (Latundan)
8 05 2024,90,,Banana (Latundan)
9 05 2024,80,,Banana (Latundan)
10 05 2024,90,80,Banana (Latundan)
13 05 2024,60,,Banana (Latundan)
16 05 2024,90,80,Banana (Latundan)
20 05 2024,70,,Banana (Latundan)
24 05 2024,80,65,Banana (Latundan)
25 05 2024,80,80,Banana (Latundan)
27 05 2024,90,80,Banana (Latundan)
28 05 2024,80,65,Banana (Latundan)
29 05 2024,80,,Banana (Latundan)
30 05 2024,90,80,Banana (Latundan)
31 05 2024,80,,Banana (Latundan)
3 06 2024,80,65,Banana (Latundan)
4 06 2024,90,80,Banana (Latundan)
5 06 2024,90,80,Banana (Latundan)
6 06 2024,90,80,Banana (Latundan)
7 06 2024,90,80,Banana (Latundan)
8 06 2024,90,60,Banana (Latundan)
10 06 2024,90,80,Banana (Latundan)
11 06 2024,100,60,Banana (Latundan)
12 06 2024,100,80,Banana (Latundan)
13 06 2024,100,60,Banana (Latundan)
14 06 2024,100,60,Banana (Latundan)
17 06 2024,80,,Banana (Latundan)
18 06 2024,90,60,Banana (Latundan)
19 06 2024,80,,Banana (Latundan)
20 06 2024,100,65,Banana (Latundan)
21 06 2024,90,80,Banana (Latundan)
22 06 2024,90,,Banana (Latundan)
26 06 2024,80,,Banana (Latundan)
27 06 2024,80,65,Banana (Latundan)
28 06 2024,100,60,Banana (Latundan)
29 06 2024,90,80,Banana (Latundan)
1 07 2024,80,60,Banana (Latundan)
2 07 2024,90,85,Banana (Latundan)
3 07 2024,90,85,Banana (Latundan)
5 07 2024,45,,Banana (Latundan)
8 07 2024,100,80,Banana (Latundan)
9 07 2024,90,,Banana (Latundan)
12 07 2024,90,60,Banana (Latundan)
15 07 2024,80,,Banana (Latundan)
16 07 2024,100,65,Banana (Latundan)
17 07 2024,85,80,Banana (Latundan)
19 07 2024,90,60,Banana (Latundan)
22 07 2024,90,60,Banana (Latundan)
23 07 2024,100,65,Banana (Latundan)
24 07 2024,100,65,Banana (Latundan)
25 07 2024,100,65,Banana (Latundan)
26 07 2024,100,75,Banana (Latundan)
29 07 2024,100,60,Banana (Latundan)
30 07 2024,100,60,Banana (Latundan)
31 07 2024,100,60,Banana (Latundan)
1 08 2024,70,,Banana (Latundan)
2 08 2024,100,60,Banana (Latundan)
3 08 2024,70,60,Banana (Latundan)
5 08 2024,100,60,Banana (Latundan)
6 08 2024,100,60,Banana (Latundan)
7 08 2024,100,75,Banana (Latundan)
8 08 2024,100,70,Banana (Latundan)
9 08 2024,100,75,Banana (Latundan)
10 08 2024,100,,Banana (Latundan)
12 08 2024,100,75,Banana (Latundan)
13 08 2024,90,,Banana (Latundan)
14 08 2024,100,70,Banana (Latundan)
15 08 2024,100,75,Banana (Latundan)
16 08 2024,90,75,Banana (Latundan)
17 08 2024,100,70,Banana (Latundan)
20 08 2024,70,,Banana (Latundan)
21 08 2024,80,80,Banana (Latundan)
29 08 2024,170,75,Banana (Latundan)
30 08 2024,170,70,Banana (Latundan)
