Date,Low,High,Commodity
2023-01-02,100,160,Calamansi
2023-01-03,80,160,Calamansi
2023-01-04,80,160,Calamansi
2023-01-05,90,140,Calamansi
2023-01-06,80,140,Calamansi
2023-01-09,80,130,Calamansi
2023-01-10,90,130,Calamansi
2023-01-11,80,120,Calamansi
2023-01-12,80,120,Calamansi
2023-01-13,70,140,Calamansi
2023-01-16,80,120,Calamansi
2023-01-17,80,120,Calamansi
2023-01-18,70,120,Calamansi
2023-01-19,60,120,Calamansi
2023-01-20,70,120,Calamansi
2023-01-23,60,120,Calamansi
2023-01-24,60,120,Calamansi
2023-01-25,60,120,Calamansi
2023-01-26,60,120,Calamansi
2023-01-27,50,120,Calamansi
2023-01-30,50,120,Calamansi
2023-01-31,50,120,Calamansi
2023-02-01,50,100,Calamansi
2023-02-02,50,120,Calamansi
2023-02-03,50,100,Calamansi
2023-02-06,50,120,Calamansi
2023-02-07,50,100,Calamansi
2023-02-08,50,90,Calamansi
2023-02-09,50,90,Calamansi
2023-02-10,50,80,Calamansi
2023-02-13,50,100,Calamansi
2023-02-14,50,90,Calamansi
2023-02-15,50,90,Calamansi
2023-02-16,60,100,Calamansi
2023-02-17,50,90,Calamansi
2023-02-20,70,90,Calamansi
2023-02-21,50,90,Calamansi
2023-02-22,60,120,Calamansi
2023-02-23,70,120,Calamansi
2023-02-24,70,120,Calamansi
2023-02-27,60,100,Calamansi
2023-02-28,70,120,Calamansi
2023-03-01,60,120,Calamansi
2023-03-02,70,100,Calamansi
2023-03-03,70,120,Calamansi
2023-03-06,80,150,Calamansi
2023-03-07,80,150,Calamansi
2023-03-08,90,140,Calamansi
2023-03-09,90,130,Calamansi
2023-03-10,80,130,Calamansi
2023-03-13,90,140,Calamansi
2023-03-14,90,130,Calamansi
2023-03-15,80,130,Calamansi
2023-03-16,80,125,Calamansi
2023-03-17,80,140,Calamansi
2023-03-20,100,150,Calamansi
2023-03-21,100,140,Calamansi
2023-03-22,100,140,Calamansi
2023-03-23,100,160,Calamansi
2023-03-24,100,160,Calamansi
2023-03-27,100,190,Calamansi
2023-03-28,100,140,Calamansi
2023-03-29,100,140,Calamansi
2023-03-30,100,140,Calamansi
2023-03-31,100,140,Calamansi
2023-04-03,100,140,Calamansi
2023-04-04,100,140,Calamansi
2023-04-05,100,140,Calamansi
2023-04-06,100,140,Calamansi
2023-04-07,100,140,Calamansi
2023-04-10,100,140,Calamansi
2023-04-11,100,160,Calamansi
2023-04-12,90,160,Calamansi
2023-04-13,90,160,Calamansi
2023-04-14,100,160,Calamansi
2023-04-17,100,140,Calamansi
2023-04-18,100,140,Calamansi
2023-04-19,100,140,Calamansi
2023-04-20,100,140,Calamansi
2023-04-21,100,140,Calamansi
2023-04-24,60,140,Calamansi
2023-04-25,100,140,Calamansi
2023-04-26,100,140,Calamansi
2023-04-27,100,140,Calamansi
2023-04-28,100,140,Calamansi
2023-05-01,90,140,Calamansi
2023-05-02,100,140,Calamansi
2023-05-03,100,140,Calamansi
2023-05-04,100,140,Calamansi
2023-05-05,80,140,Calamansi
2023-05-08,80,140,Calamansi
2023-05-09,80,140,Calamansi
2023-05-10,80,140,Calamansi
2023-05-11,80,140,Calamansi
2023-05-12,80,140,Calamansi
2023-05-15,80,130,Calamansi
2023-05-16,70,140,Calamansi
2023-05-17,70,120,Calamansi
2023-05-18,70,140,Calamansi
2023-05-19,60,140,Calamansi
2023-05-22,70,140,Calamansi
2023-05-23,70,120,Calamansi
2023-05-24,70,120,Calamansi
2023-05-25,70,120,Calamansi
2023-05-26,60,120,Calamansi
2023-05-29,50,120,Calamansi
2023-05-30,50,120,Calamansi
2023-05-31,50,120,Calamansi
2023-06-01,50,120,Calamansi
2023-06-02,50,120,Calamansi
2023-06-05,70,120,Calamansi
2023-06-06,60,120,Calamansi
2023-06-07,60,120,Calamansi
2023-06-08,60,120,Calamansi
2023-06-09,60,100,Calamansi
2023-06-12,60,100,Calamansi
2023-06-13,60,100,Calamansi
2023-06-14,60,100,Calamansi
2023-06-15,60,100,Calamansi
2023-06-16,60,100,Calamansi
2023-06-19,60,100,Calamansi
2023-06-20,60,100,Calamansi
2023-06-21,50,100,Calamansi
2023-06-22,60,100,Calamansi
2023-06-23,60,100,Calamansi
2023-06-26,60,100,Calamansi
2023-06-27,60,100,Calamansi
2023-06-28,60,100,Calamansi
2023-06-29,60,100,Calamansi
2023-06-30,60,100,Calamansi
2023-07-03,50,100,Calamansi
2023-07-04,60,100,Calamansi
2023-07-05,60,100,Calamansi
2023-07-06,50,100,Calamansi
2023-07-07,60,100,Calamansi
2023-07-10,60,100,Calamansi
2023-07-11,60,100,Calamansi
2023-07-12,60,100,Calamansi
2023-07-13,60,100,Calamansi
2023-07-14,60,100,Calamansi
2023-07-17,60,105,Calamansi
2023-07-18,60,105,Calamansi
2023-07-19,60,100,Calamansi
2023-07-20,60,100,Calamansi
2023-07-21,60,100,Calamansi
2023-07-24,50,100,Calamansi
2023-07-25,60,100,Calamansi
2023-07-26,60,100,Calamansi
2023-07-27,40,100,Calamansi
2023-07-28,60,120,Calamansi
2023-07-31,60,120,Calamansi
2023-08-01,60,120,Calamansi
2023-08-02,60,120,Calamansi
2023-08-03,60,120,Calamansi
2023-08-04,60,120,Calamansi
2023-08-07,60,160,Calamansi
2023-08-08,50,120,Calamansi
2023-08-09,60,120,Calamansi
2023-08-10,60,120,Calamansi
2023-08-11,60,120,Calamansi
2023-08-14,60,120,Calamansi
2023-08-15,50,100,Calamansi
2023-08-16,50,100,Calamansi
2023-08-17,50,100,Calamansi
2023-08-18,50,100,Calamansi
2023-08-21,50,100,Calamansi
2023-08-22,50,90,Calamansi
2023-08-23,50,90,Calamansi
2023-08-24,50,90,Calamansi
2023-08-25,50,90,Calamansi
2023-08-28,40,100,Calamansi
2023-08-29,40,100,Calamansi
2023-08-30,40,90,Calamansi
2023-08-31,50,90,Calamansi
2023-09-01,50,90,Calamansi
2023-09-04,50,85,Calamansi
2023-09-05,50,100,Calamansi
2023-09-06,50,100,Calamansi
2023-09-07,50,100,Calamansi
2023-09-08,40,100,Calamansi
2023-09-11,60,100,Calamansi
2023-09-12,50,100,Calamansi
2023-09-13,50,100,Calamansi
2023-09-14,50,100,Calamansi
2023-09-15,50,100,Calamansi
2023-09-18,50,100,Calamansi
2023-09-19,45,100,Calamansi
2023-09-20,45,100,Calamansi
2023-09-21,45,100,Calamansi
2023-09-22,45,90,Calamansi
2023-09-25,45,100,Calamansi
2023-09-26,45,100,Calamansi
