Date,High,Low,Commodity
4 01 2024,150,100,Habitchuelas (Baguio Beans)
9 01 2024,140,70,Habitchuelas (Baguio Beans)
10 01 2024,140,70,Habitchuelas (Baguio Beans)
11 01 2024,180,70,Habitchuelas (Baguio Beans)
12 01 2024,120,70,Habitchuelas (Baguio Beans)
15 01 2024,150,80,Habitchuelas (Baguio Beans)
16 01 2024,160,80,Habitchuelas (Baguio Beans)
17 01 2024,140,80,Habitchuelas (Baguio Beans)
18 01 2024,140,80,Habitchuelas (Baguio Beans)
19 01 2024,130,90,Habitchuelas (Baguio Beans)
23 01 2024,120,80,Habitchuelas (Baguio Beans)
27 02 2024,100,80,Habitchuelas (Baguio Beans)
28 02 2024,110,80,Habitchuelas (Baguio Beans)
7 03 2024,160,60,Habitchuelas (Baguio Beans)
18 03 2024,140,70,Habitchuelas (Baguio Beans)
19 03 2024,80,70,Habitchuelas (Baguio Beans)
21 03 2024,140,70,Habitchuelas (Baguio Beans)
22 03 2024,120,70,Habitchuelas (Baguio Beans)
25 03 2024,130,80,Habitchuelas (Baguio Beans)
27 03 2024,120,80,Habitchuelas (Baguio Beans)
1 04 2024,110,70,Habitchuelas (Baguio Beans)
2 04 2024,120,70,Habitchuelas (Baguio Beans)
9 04 2024,120,60,Habitchuelas (Baguio Beans)
11 04 2024,100,80,Habitchuelas (Baguio Beans)
25 04 2024,120,10,Habitchuelas (Baguio Beans)
26 04 2024,120,100,Habitchuelas (Baguio Beans)
30 04 2024,140,100,Habitchuelas (Baguio Beans)
2 05 2024,160,120,Habitchuelas (Baguio Beans)
3 05 2024,160,90,Habitchuelas (Baguio Beans)
6 05 2024,160,100,Habitchuelas (Baguio Beans)
7 05 2024,160,120,Habitchuelas (Baguio Beans)
8 05 2024,170,150,Habitchuelas (Baguio Beans)
9 05 2024,200,140,Habitchuelas (Baguio Beans)
10 05 2024,200,130,Habitchuelas (Baguio Beans)
13 05 2024,200,140,Habitchuelas (Baguio Beans)
16 05 2024,200,140,Habitchuelas (Baguio Beans)
20 05 2024,200,180,Habitchuelas (Baguio Beans)
24 05 2024,200,140,Habitchuelas (Baguio Beans)
25 05 2024,200,160,Habitchuelas (Baguio Beans)
27 05 2024,220,120,Habitchuelas (Baguio Beans)
28 05 2024,200,140,Habitchuelas (Baguio Beans)
29 05 2024,200,140,Habitchuelas (Baguio Beans)
