Date,Low,High,Commodity,High 
2023-01-02,80,140,Carrots,
2023-01-03,80,140,Carrots,
2023-01-04,80,140,Carrots,
2023-01-05,80,140,Carrots,
2023-01-06,75,125,Carrots,
2023-01-09,70,120,Carrots,
2023-01-10,70,120,Carrots,
2023-01-11,60,120,Carrots,
2023-01-12,70,120,Carrots,
2023-01-13,70,120,Carrots,
2023-01-16,70,120,Carrots,
2023-01-17,70,100,Carrots,
2023-01-18,70,120,Carrots,
2023-01-19,70,100,Carrots,
2023-01-20,70,100,Carrots,
2023-01-23,60,100,Carrots,
2023-01-24,60,100,Carrots,
2023-01-25,60,100,Carrots,
2023-01-26,60,100,Carrots,
2023-01-27,60,100,Carrots,
2023-01-30,50,100,Carrots,
2023-01-31,50,100,Carrots,
2023-02-01,60,100,Carrots,
2023-02-02,60,120,Carrots,
2023-02-03,60,120,Carrots,
2023-02-06,60,90,Carrots,
2023-02-07,60,90,Carrots,
2023-02-08,60,90,Carrots,
2023-02-09,60,90,Carrots,
2023-02-10,60,90,Carrots,
2023-02-13,60,120,Carrots,
2023-02-14,50,100,Carrots,
2023-02-15,55,100,Carrots,
2023-02-16,50,100,Carrots,
2023-02-17,55,100,Carrots,
2023-02-20,60,100,Carrots,
2023-02-21,55,100,Carrots,
2023-02-22,50,100,Carrots,
2023-02-23,50,100,Carrots,
2023-02-24,50,100,Carrots,
2023-02-27,60,100,Carrots,
2023-02-28,60,100,Carrots,
2023-03-01,60,100,Carrots,
2023-03-02,60,100,Carrots,
2023-03-03,60,100,Carrots,
2023-03-06,60,100,Carrots,
2023-03-07,60,100,Carrots,
2023-03-08,60,100,Carrots,
2023-03-09,60,100,Carrots,
2023-03-10,60,100,Carrots,
2023-03-13,60,100,Carrots,
2023-03-14,60,100,Carrots,
2023-03-15,60,100,Carrots,
2023-03-16,60,100,Carrots,
2023-03-17,60,100,Carrots,
2023-03-20,60,100,Carrots,
2023-03-21,60,100,Carrots,
2023-03-22,60,100,Carrots,
2023-03-23,60,100,Carrots,
2023-03-24,60,100,Carrots,
2023-03-27,60,100,Carrots,
2023-03-28,60,120,Carrots,
2023-03-29,60,100,Carrots,
2023-03-30,60,90,Carrots,
2023-03-31,50,90,Carrots,
2023-04-03,60,100,Carrots,
2023-04-04,60,100,Carrots,
2023-04-05,60,100,Carrots,
2023-04-06,60,100,Carrots,
2023-04-07,60,100,Carrots,
2023-04-10,60,100,Carrots,
2023-04-11,60,120,Carrots,
2023-04-12,60,120,Carrots,
2023-04-13,60,120,Carrots,
2023-04-14,60,120,Carrots,
2023-04-17,60,100,Carrots,
2023-04-18,50,100,Carrots,
2023-04-19,60,100,Carrots,
2023-04-20,60,100,Carrots,
2023-04-21,60,100,Carrots,
2023-04-24,60,100,Carrots,
2023-04-25,60,100,Carrots,
2023-04-26,60,100,Carrots,
2023-04-27,60,100,Carrots,
2023-04-28,60,100,Carrots,
2023-05-01,60,90,Carrots,
2023-05-02,60,100,Carrots,
2023-05-03,60,120,Carrots,
2023-05-04,60,120,Carrots,
2023-05-05,60,120,Carrots,
2023-05-08,60,110,Carrots,
2023-05-09,60,100,Carrots,
2023-05-10,60,100,Carrots,
2023-05-11,60,100,Carrots,
2023-05-12,60,100,Carrots,
2023-05-15,60,100,Carrots,
2023-05-16,60,100,Carrots,
2023-05-17,60,100,Carrots,
2023-05-18,60,100,Carrots,
2023-05-19,60,100,Carrots,
2023-05-22,60,100,Carrots,
2023-05-23,60,100,Carrots,
2023-05-24,60,100,Carrots,
2023-05-25,60,100,Carrots,
2023-05-26,60,100,Carrots,
2023-05-29,55,100,Carrots,
2023-05-30,55,100,Carrots,
2023-05-31,55,100,Carrots,
2023-06-01,55,100,Carrots,
2023-06-02,55,100,Carrots,
2023-06-05,60,100,Carrots,
2023-06-06,60,100,Carrots,
2023-06-07,60,110,Carrots,
2023-06-08,60,100,Carrots,
2023-06-09,60,100,Carrots,
2023-06-12,70,120,Carrots,
2023-06-13,70,120,Carrots,
2023-06-14,70,120,Carrots,
2023-06-15,70,120,Carrots,
2023-06-16,60,120,Carrots,
2023-06-19,70,120,Carrots,
2023-06-20,70,120,Carrots,
2023-06-21,70,130,Carrots,
2023-06-22,70,130,Carrots,
2023-06-23,90,140,Carrots,
2023-06-26,80,150,Carrots,
2023-06-27,80,160,Carrots,
2023-06-28,90,150,Carrots,
2023-06-29,105,150,Carrots,
2023-06-30,100,200,Carrots,
2023-07-03,120,180,Carrots,
2023-07-04,120,180,Carrots,
2023-07-05,100,200,Carrots,
