Date,Low,High,Commodity
2023-01-02,100,160,Eggplant
2023-01-03,100,160,Eggplant
2023-01-04,100,150,Eggplant
2023-01-05,80,150,Eggplant
2023-01-06,90,150,Eggplant
2023-01-09,100,160,Eggplant
2023-01-10,120,160,Eggplant
2023-01-11,120,160,Eggplant
2023-01-12,120,160,Eggplant
2023-01-13,100,160,Eggplant
2023-01-16,100,160,Eggplant
2023-01-17,100,150,Eggplant
2023-01-18,100,160,Eggplant
2023-01-19,100,160,Eggplant
2023-01-20,90,160,Eggplant
2023-01-23,100,150,Eggplant
2023-01-24,100,150,Eggplant
2023-01-25,100,150,Eggplant
2023-01-26,100,150,Eggplant
2023-01-27,90,150,Eggplant
2023-01-30,90,150,Eggplant
2023-01-31,90,150,Eggplant
2023-02-01,90,150,Eggplant
2023-02-02,90,150,Eggplant
2023-02-03,80,140,Eggplant
2023-02-06,80,140,Eggplant
2023-02-07,90,140,Eggplant
2023-02-08,90,140,Eggplant
2023-02-09,80,140,Eggplant
2023-02-10,80,140,Eggplant
2023-02-13,60,120,Eggplant
2023-02-14,60,120,Eggplant
2023-02-15,60,120,Eggplant
2023-02-16,60,120,Eggplant
2023-02-17,60,120,Eggplant
2023-02-20,60,120,Eggplant
2023-02-21,60,120,Eggplant
2023-02-22,50,100,Eggplant
2023-02-23,50,100,Eggplant
2023-02-24,50,100,Eggplant
2023-02-27,60,100,Eggplant
2023-02-28,60,100,Eggplant
2023-03-01,50,120,Eggplant
2023-03-02,50,110,Eggplant
2023-03-03,55,100,Eggplant
2023-03-06,60,100,Eggplant
2023-03-07,60,100,Eggplant
2023-03-08,60,100,Eggplant
2023-03-09,60,100,Eggplant
2023-03-10,60,100,Eggplant
2023-03-13,70,120,Eggplant
2023-03-14,70,120,Eggplant
2023-03-15,70,120,Eggplant
2023-03-16,70,120,Eggplant
2023-03-17,70,110,Eggplant
2023-03-20,60,100,Eggplant
2023-03-21,60,100,Eggplant
2023-03-22,60,100,Eggplant
2023-03-23,60,100,Eggplant
2023-03-24,60,100,Eggplant
2023-03-27,50,100,Eggplant
2023-03-28,50,90,Eggplant
2023-03-29,50,90,Eggplant
2023-03-30,50,90,Eggplant
2023-03-31,50,90,Eggplant
2023-04-03,50,90,Eggplant
2023-04-04,50,90,Eggplant
2023-04-05,50,100,Eggplant
2023-04-06,50,100,Eggplant
2023-04-07,50,100,Eggplant
2023-04-10,50,100,Eggplant
2023-04-11,60,100,Eggplant
2023-04-12,60,100,Eggplant
2023-04-13,60,100,Eggplant
2023-04-14,50,100,Eggplant
2023-04-17,60,90,Eggplant
2023-04-18,60,100,Eggplant
2023-04-19,60,100,Eggplant
2023-04-20,60,100,Eggplant
2023-04-21,65,100,Eggplant
2023-04-24,50,100,Eggplant
2023-04-25,50,100,Eggplant
2023-04-26,60,100,Eggplant
2023-04-27,60,100,Eggplant
2023-04-28,60,110,Eggplant
2023-05-01,70,100,Eggplant
2023-05-02,70,110,Eggplant
2023-05-03,70,110,Eggplant
2023-05-04,70,110,Eggplant
2023-05-05,70,100,Eggplant
2023-05-08,60,110,Eggplant
2023-05-09,60,120,Eggplant
2023-05-10,60,120,Eggplant
2023-05-11,70,120,Eggplant
2023-05-12,60,120,Eggplant
2023-05-15,50,120,Eggplant
2023-05-16,50,100,Eggplant
