Date,High,Low,Commodity
2024-01-04,70,35,Squash
2024-01-09,80,35,Squash
2024-01-10,80,35,Squash
2024-01-11,80,35,Squash
2024-01-12,70,35,Squash
2024-01-15,80,30,Squash
2024-01-16,80,35,Squash
2024-01-17,80,35,Squash
2024-01-18,80,35,Squash
2024-01-19,70,40,Squash
2024-01-23,120,35,Squash
2024-02-27,50,40,Squash
2024-02-28,60,40,Squash
2024-03-07,80,35,Squash
2024-03-18,80,35,Squash
2024-03-19,45,40,Squash
2024-03-21,80,35,Squash
2024-03-22,70,35,Squash
2024-03-25,70,35,Squash
2024-03-27,60,35,Squash
2024-04-01,60,25,Squash
2024-04-02,60,25,Squash
2024-04-03,70,35,Squash
2024-04-09,60,35,Squash
2024-04-11,50,35,Squash
2024-04-25,60,35,Squash
2024-04-26,50,3,Squash
2024-04-30,60,40,Squash
2024-05-02,60,40,Squash
2024-05-03,60,35,Squash
2024-05-06,60,40,Squash
2024-05-07,60,40,Squash
2024-05-08,70,50,Squash
2024-05-09,60,35,Squash
2024-05-10,60,35,Squash
2024-05-13,60,40,Squash
2024-05-16,60,40,Squash
2024-05-20,70,40,Squash
2024-05-24,70,40,Squash
2024-05-25,80,50,Squash
2024-05-27,85,40,Squash
2024-05-28,90,50,Squash
2024-05-29,90,50,Squash
2024-05-30,95,50,Squash
2024-05-31,70,50,Squash
2024-06-03,80,50,Squash
2024-06-04,100,40,Squash
2024-06-05,100,40,Squash
2024-06-06,100,50,Squash
2024-06-07,100,50,Squash
2024-06-08,90,50,Squash
2024-06-10,80,50,Squash
2024-06-11,100,50,Squash
2024-06-12,80,50,Squash
2024-06-13,90,7,Squash
2024-06-14,100,50,Squash
2024-06-17,80,50,Squash
2024-06-18,100,50,Squash
2024-06-19,90,50,Squash
2024-06-20,100,50,Squash
2024-06-21,90,50,Squash
2024-06-22,80,50,Squash
2024-06-26,80,40,Squash
2024-06-27,90,50,Squash
2024-06-28,90,50,Squash
2024-06-29,80,55,Squash
2024-07-01,80,50,Squash
2024-07-02,80,40,Squash
2024-07-03,90,50,Squash
2024-07-05,70,50,Squash
2024-07-08,80,40,Squash
2024-07-09,80,45,Squash
2024-07-12,85,40,Squash
2024-07-15,80,40,Squash
2024-07-16,80,50,Squash
2024-07-17,80,40,Squash
2024-07-19,80,38,Squash
2024-07-22,80,38,Squash
2024-07-23,80,45,Squash
2024-07-24,80,45,Squash
2024-07-25,80,45,Squash
2024-07-26,80,45,Squash
2024-07-27,80,40,Squash
2024-07-29,90,40,Squash
2024-07-30,90,40,Squash
2024-07-31,90,40,Squash
2024-08-01,65,40,Squash
2024-08-02,90,40,Squash
2024-08-03,70,50,Squash
2024-08-05,85,40,Squash
2024-08-06,90,45,Squash
2024-08-07,80,45,Squash
2024-08-08,80,37,Squash
2024-08-09,80,37,Squash
2024-08-10,80,45,Squash
2024-08-12,80,37,Squash
2024-08-13,80,32,Squash
2024-08-14,80,32,Squash
2024-08-15,80,32,Squash
2024-08-16,80,35,Squash
2024-08-17,80,30,Squash
2024-08-20,70,35,Squash
2024-08-21,70,50,Squash
2024-08-29,80,20,Squash
2024-08-30,80,20,Squash
