Date,Low,High,Commodity
2023-01-02,80,130,Tomato
2023-01-03,70,120,Tomato
2023-01-04,70,120,Tomato
2023-01-05,80,120,Tomato
2023-01-06,70,120,Tomato
2023-01-09,60,120,Tomato
2023-01-10,70,120,Tomato
2023-01-11,60,120,Tomato
2023-01-12,60,120,Tomato
2023-01-13,50,120,Tomato
2023-01-16,40,100,Tomato
2023-01-17,40,100,Tomato
2023-01-18,40,100,Tomato
2023-01-19,40,90,Tomato
2023-01-20,40,90,Tomato
2023-01-23,40,90,Tomato
2023-01-24,30,90,Tomato
2023-01-25,30,90,Tomato
2023-01-26,35,90,Tomato
2023-01-27,30,90,Tomato
2023-01-30,35,80,Tomato
2023-01-31,30,80,Tomato
2023-02-01,30,70,Tomato
2023-02-02,25,80,Tomato
2023-02-03,25,70,Tomato
2023-02-06,25,80,Tomato
2023-02-07,25,80,Tomato
2023-02-08,25,80,Tomato
2023-02-09,25,70,Tomato
2023-02-10,30,70,Tomato
2023-02-13,30,70,Tomato
2023-02-14,30,70,Tomato
2023-02-15,30,70,Tomato
2023-02-16,30,70,Tomato
2023-02-17,35,70,Tomato
2023-02-20,30,60,Tomato
2023-02-21,30,75,Tomato
2023-02-22,30,75,Tomato
2023-02-23,30,60,Tomato
2023-02-24,30,60,Tomato
2023-02-27,30,70,Tomato
2023-02-28,35,70,Tomato
2023-03-01,35,70,Tomato
2023-03-02,40,70,Tomato
2023-03-03,40,70,Tomato
2023-03-06,40,80,Tomato
2023-03-07,35,80,Tomato
2023-03-08,35,80,Tomato
2023-03-09,35,80,Tomato
2023-03-10,35,80,Tomato
2023-03-13,30,80,Tomato
2023-03-14,30,70,Tomato
2023-03-15,35,70,Tomato
2023-03-16,35,70,Tomato
2023-03-17,35,70,Tomato
2023-03-20,35,70,Tomato
2023-03-21,35,80,Tomato
2023-03-22,35,70,Tomato
2023-03-23,30,70,Tomato
2023-03-24,30,70,Tomato
2023-03-27,30,70,Tomato
2023-03-28,25,70,Tomato
2023-03-29,30,60,Tomato
2023-03-30,30,60,Tomato
2023-03-31,25,60,Tomato
2023-04-03,25,60,Tomato
2023-04-04,25,70,Tomato
2023-04-05,25,65,Tomato
2023-04-06,25,65,Tomato
2023-04-07,25,65,Tomato
2023-04-10,25,65,Tomato
2023-04-11,25,60,Tomato
2023-04-12,25,60,Tomato
2023-04-13,20,60,Tomato
2023-04-14,20,60,Tomato
2023-04-17,25,60,Tomato
2023-04-18,25,60,Tomato
2023-04-19,25,60,Tomato
2023-04-20,25,60,Tomato
2023-04-21,20,60,Tomato
2023-04-24,30,70,Tomato
2023-04-25,20,60,Tomato
2023-04-26,20,60,Tomato
2023-04-27,20,60,Tomato
2023-04-28,20,60,Tomato
2023-05-01,25,60,Tomato
2023-05-02,20,60,Tomato
2023-05-03,20,60,Tomato
2023-05-04,20,60,Tomato
2023-05-05,30,60,Tomato
2023-05-08,30,60,Tomato
2023-05-09,30,60,Tomato
2023-05-10,80,25,Tomato
2023-05-11,70,25,Tomato
2023-05-12,25,60,Tomato
2023-05-15,20,60,Tomato
2023-05-16,20,80,Tomato
2023-05-17,20,50,Tomato
2023-05-18,20,70,Tomato
2023-05-19,20,70,Tomato
2023-05-22,30,70,Tomato
2023-05-23,30,80,Tomato
2023-05-24,30,80,Tomato
2023-05-25,30,80,Tomato
2023-05-26,35,80,Tomato
2023-05-29,30,80,Tomato
2023-05-30,30,80,Tomato
2023-05-31,30,80,Tomato
2023-06-01,30,80,Tomato
2023-06-02,30,80,Tomato
2023-06-05,30,80,Tomato
2023-06-06,30,70,Tomato
2023-06-07,35,70,Tomato
2023-06-08,35,70,Tomato
2023-06-09,35,70,Tomato
2023-06-12,30,70,Tomato
2023-06-13,45,70,Tomato
2023-06-14,45,70,Tomato
2023-06-15,35,70,Tomato
2023-06-16,35,70,Tomato
2023-06-19,40,70,Tomato
2023-06-20,45,75,Tomato
2023-06-21,45,75,Tomato
2023-06-22,40,75,Tomato
2023-06-23,45,75,Tomato
2023-06-26,40,75,Tomato
2023-06-27,40,80,Tomato
2023-06-28,40,80,Tomato
2023-06-29,40,80,Tomato
2023-06-30,40,80,Tomato
2023-07-03,45,85,Tomato
2023-07-04,45,90,Tomato
2023-07-05,60,100,Tomato
2023-07-06,60,100,Tomato
2023-07-07,60,100,Tomato
2023-07-10,50,95,Tomato
2023-07-11,50,90,Tomato
2023-07-12,50,90,Tomato
2023-07-13,45,90,Tomato
2023-07-14,50,90,Tomato
2023-07-17,50,80,Tomato
2023-07-18,50,80,Tomato
2023-07-19,60,95,Tomato
2023-07-20,60,100,Tomato
2023-07-21,60,100,Tomato
2023-07-24,70,120,Tomato
2023-07-25,80,120,Tomato
2023-07-26,80,120,Tomato
2023-07-27,80,120,Tomato
2023-07-28,80,160,Tomato
2023-07-31,80,160,Tomato
2023-08-01,90,160,Tomato
2023-08-02,90,160,Tomato
2023-08-03,90,160,Tomato
2023-08-04,90,160,Tomato
2023-08-07,90,160,Tomato
2023-08-08,100,150,Tomato
2023-08-09,100,150,Tomato
2023-08-10,80,160,Tomato
2023-08-11,90,160,Tomato
2023-08-14,90,160,Tomato
2023-08-15,80,140,Tomato
2023-08-16,90,140,Tomato
2023-08-17,90,160,Tomato
2023-08-18,90,160,Tomato
2023-08-21,90,160,Tomato
2023-08-22,120,160,Tomato
2023-08-23,120,170,Tomato
2023-08-24,120,170,Tomato
2023-08-25,120,170,Tomato
2023-08-28,150,200,Tomato
2023-08-29,160,230,Tomato
2023-08-30,160,210,Tomato
2023-08-31,160,210,Tomato
