Date,Low,High,Commodity
2023-01-02,140,180,White Potato
2023-01-03,140,180,White Potato
2023-01-04,120,180,White Potato
2023-01-05,120,180,White Potato
2023-01-06,120,180,White Potato
2023-01-09,120,180,White Potato
2023-01-10,120,180,White Potato
2023-01-11,120,180,White Potato
2023-01-12,120,180,White Potato
2023-01-13,100,180,White Potato
2023-01-16,100,165,White Potato
2023-01-17,100,160,White Potato
2023-01-18,90,160,White Potato
2023-01-19,90,160,White Potato
2023-01-20,80,150,White Potato
2023-01-23,100,150,White Potato
2023-01-24,100,160,White Potato
2023-01-25,100,160,White Potato
2023-01-26,110,160,White Potato
2023-01-27,60,160,White Potato
2023-01-30,100,160,White Potato
2023-01-31,100,150,White Potato
2023-02-01,100,150,White Potato
2023-02-02,90,150,White Potato
2023-02-03,90,150,White Potato
2023-02-06,100,150,White Potato
2023-02-07,100,140,White Potato
2023-02-08,100,150,White Potato
2023-02-09,100,140,White Potato
2023-02-10,100,150,White Potato
2023-02-13,100,150,White Potato
2023-02-14,90,140,White Potato
2023-02-15,90,140,White Potato
2023-02-16,90,140,White Potato
2023-02-17,100,140,White Potato
2023-02-20,90,140,White Potato
2023-02-21,90,140,White Potato
2023-02-22,90,140,White Potato
2023-02-23,90,140,White Potato
2023-02-24,90,140,White Potato
2023-02-27,80,140,White Potato
2023-02-28,90,140,White Potato
2023-03-01,80,130,White Potato
2023-03-02,80,140,White Potato
2023-03-03,80,140,White Potato
2023-03-06,80,140,White Potato
2023-03-07,80,140,White Potato
2023-03-08,70,130,White Potato
2023-03-09,80,130,White Potato
2023-03-10,80,120,White Potato
2023-03-13,90,120,White Potato
2023-03-14,70,120,White Potato
2023-03-15,90,120,White Potato
2023-03-16,80,120,White Potato
2023-03-17,80,120,White Potato
2023-03-20,85,120,White Potato
2023-03-21,80,120,White Potato
2023-03-22,80,120,White Potato
2023-03-23,80,120,White Potato
2023-03-24,80,120,White Potato
2023-03-27,80,120,White Potato
2023-03-28,70,120,White Potato
2023-03-29,80,120,White Potato
2023-03-30,80,120,White Potato
2023-03-31,80,120,White Potato
2023-04-03,80,120,White Potato
2023-04-04,80,120,White Potato
2023-04-05,70,120,White Potato
2023-04-06,70,120,White Potato
2023-04-07,70,120,White Potato
2023-04-10,70,120,White Potato
2023-04-11,80,130,White Potato
2023-04-12,80,120,White Potato
2023-04-13,80,120,White Potato
2023-04-14,80,120,White Potato
2023-04-17,80,120,White Potato
2023-04-18,70,120,White Potato
2023-04-19,70,120,White Potato
2023-04-20,80,130,White Potato
2023-04-21,70,120,White Potato
