Date,Low,High,Commodity
2023-01-02,250,250,Alumahan
2023-01-03,250,250,Alumahan
2023-01-04,320,320,Alumahan
2023-01-05,360,360,Alumahan
2023-01-06,360,360,Alumahan
2023-01-09,400,400,Alumahan
2023-01-10,240,380,Alumahan
2023-01-11,360,360,Alumahan
2023-01-12,360,360,Alumahan
2023-01-13,360,360,Alumahan
2023-01-16,360,360,Alumahan
2023-01-17,280,360,Alumahan
2023-01-18,280,360,Alumahan
2023-01-19,280,360,Alumahan
2023-01-20,300,360,Alumahan
2023-01-23,320,360,Alumahan
2023-01-24,320,360,Alumahan
2023-01-25,360,360,Alumahan
2023-01-26,320,380,Alumahan
2023-01-27,360,360,Alumahan
2023-01-30,360,360,Alumahan
2023-01-31,320,320,Alumahan
2023-02-01,320,320,Alumahan
2023-02-02,380,380,Alumahan
2023-02-03,360,380,Alumahan
2023-02-06,360,360,Alumahan
2023-02-07,360,360,Alumahan
2023-02-08,300,360,Alumahan
2023-02-09,320,360,Alumahan
2023-02-10,280,360,Alumahan
2023-02-13,320,360,Alumahan
2023-02-14,300,360,Alumahan
2023-02-15,300,360,Alumahan
2023-02-16,240,360,Alumahan
2023-02-17,260,360,Alumahan
2023-02-20,320,360,Alumahan
2023-02-21,320,360,Alumahan
2023-02-22,320,400,Alumahan
2023-02-23,300,360,Alumahan
2023-02-24,320,400,Alumahan
2023-02-27,300,400,Alumahan
2023-02-28,300,400,Alumahan
2023-03-01,350,360,Alumahan
2023-03-02,300,360,Alumahan
2023-03-03,360,360,Alumahan
2023-03-06,360,360,Alumahan
2023-03-07,360,360,Alumahan
2023-03-08,360,360,Alumahan
2023-03-09,360,360,Alumahan
2023-03-10,360,360,Alumahan
2023-03-13,400,400,Alumahan
2023-03-14,240,400,Alumahan
2023-03-15,360,380,Alumahan
2023-03-16,340,360,Alumahan
2023-03-17,360,360,Alumahan
2023-03-20,300,400,Alumahan
2023-03-21,250,340,Alumahan
2023-03-22,300,400,Alumahan
2023-03-23,260,400,Alumahan
2023-03-24,200,380,Alumahan
2023-03-27,200,380,Alumahan
2023-03-28,200,350,Alumahan
2023-03-29,200,300,Alumahan
2023-03-30,240,320,Alumahan
2023-03-31,240,340,Alumahan
2023-04-03,260,360,Alumahan
2023-04-04,280,360,Alumahan
2023-04-05,280,360,Alumahan
2023-04-06,280,360,Alumahan
2023-04-07,280,360,Alumahan
2023-04-10,280,360,Alumahan
2023-04-11,260,280,Alumahan
2023-04-12,280,360,Alumahan
2023-04-13,320,360,Alumahan
2023-04-14,280,280,Alumahan
2023-04-17,240,400,Alumahan
2023-04-18,280,360,Alumahan
2023-04-19,280,360,Alumahan
2023-04-20,260,320,Alumahan
2023-04-21,260,320,Alumahan
2023-04-24,280,300,Alumahan
2023-04-25,300,300,Alumahan
2023-04-26,280,340,Alumahan
2023-04-27,300,320,Alumahan
2023-04-28,260,300,Alumahan
2023-05-01,260,260,Alumahan
2023-05-02,280,360,Alumahan
2023-05-03,320,360,Alumahan
2023-05-04,320,360,Alumahan
2023-05-05,300,360,Alumahan
2023-05-08,250,250,Alumahan
2023-05-09,250,300,Alumahan
2023-05-10,240,360,Alumahan
2023-05-11,340,360,Alumahan
2023-05-12,280,360,Alumahan
2023-05-15,220,280,Alumahan
2023-05-16,280,280,Alumahan
2023-05-17,280,360,Alumahan
2023-05-18,300,360,Alumahan
2023-05-19,300,320,Alumahan
2023-05-22,260,320,Alumahan
2023-05-23,260,360,Alumahan
2023-05-24,240,360,Alumahan
2023-05-25,240,360,Alumahan
2023-05-26,240,360,Alumahan
2023-05-29,260,360,Alumahan
2023-05-30,260,360,Alumahan
2023-05-31,350,350,Alumahan
2023-06-01,350,350,Alumahan
2023-06-02,300,360,Alumahan
2023-06-05,300,400,Alumahan
2023-06-06,300,360,Alumahan
2023-06-07,300,340,Alumahan
2023-06-08,300,320,Alumahan
2023-06-09,280,280,Alumahan
2023-06-12,260,300,Alumahan
2023-06-13,240,300,Alumahan
2023-06-14,280,360,Alumahan
2023-06-15,260,360,Alumahan
2023-06-16,240,360,Alumahan
2023-06-19,240,360,Alumahan
2023-06-20,280,300,Alumahan
2023-06-21,200,300,Alumahan
2023-06-22,240,300,Alumahan
2023-06-23,240,360,Alumahan
2023-06-26,280,300,Alumahan
2023-06-27,300,300,Alumahan
2023-06-28,280,320,Alumahan
2023-06-29,280,320,Alumahan
2023-06-30,320,320,Alumahan
2023-07-03,270,270,Alumahan
2023-07-04,360,360,Alumahan
2023-07-05,360,360,Alumahan
2023-07-06,280,360,Alumahan
