Date,Low,High,Commodity
2023-01-02,110,150,Tilapia
2023-01-03,110,150,Tilapia
2023-01-04,110,150,Tilapia
2023-01-05,110,150,Tilapia
2023-01-06,110,150,Tilapia
2023-01-09,110,150,Tilapia
2023-01-10,110,150,Tilapia
2023-01-11,110,150,Tilapia
2023-01-12,110,150,Tilapia
2023-01-13,110,150,Tilapia
2023-01-16,110,150,Tilapia
2023-01-17,110,150,Tilapia
2023-01-18,110,150,Tilapia
2023-01-19,110,160,Tilapia
2023-01-20,110,160,Tilapia
2023-01-23,110,160,Tilapia
2023-01-24,110,150,Tilapia
2023-01-25,110,150,Tilapia
2023-01-26,110,160,Tilapia
2023-01-27,110,160,Tilapia
2023-01-30,110,280,Tilapia
2023-01-31,110,160,Tilapia
2023-02-01,110,160,Tilapia
2023-02-02,110,160,Tilapia
2023-02-03,110,160,Tilapia
2023-02-06,110,160,Tilapia
2023-02-07,110,160,Tilapia
2023-02-08,110,160,Tilapia
2023-02-09,110,160,Tilapia
2023-02-10,110,160,Tilapia
2023-02-13,110,160,Tilapia
2023-02-14,110,160,Tilapia
2023-02-15,110,160,Tilapia
2023-02-16,110,160,Tilapia
2023-02-17,110,160,Tilapia
2023-02-20,110,160,Tilapia
2023-02-21,110,160,Tilapia
2023-02-22,110,160,Tilapia
2023-02-23,110,160,Tilapia
2023-02-24,110,160,Tilapia
2023-02-27,110,160,Tilapia
2023-02-28,110,160,Tilapia
2023-03-01,110,160,Tilapia
2023-03-02,100,160,Tilapia
2023-03-03,110,160,Tilapia
2023-03-06,110,160,Tilapia
2023-03-07,110,160,Tilapia
2023-03-08,110,160,Tilapia
2023-03-09,110,160,Tilapia
2023-03-10,110,160,Tilapia
2023-03-13,110,160,Tilapia
2023-03-14,110,160,Tilapia
2023-03-15,110,160,Tilapia
2023-03-16,110,160,Tilapia
2023-03-17,110,160,Tilapia
2023-03-20,110,160,Tilapia
2023-03-21,110,160,Tilapia
2023-03-22,110,160,Tilapia
2023-03-23,110,160,Tilapia
2023-03-24,110,160,Tilapia
2023-03-27,110,160,Tilapia
2023-03-28,110,150,Tilapia
2023-03-29,110,160,Tilapia
2023-03-30,110,160,Tilapia
2023-03-31,110,160,Tilapia
2023-04-03,110,160,Tilapia
2023-04-04,110,160,Tilapia
2023-04-05,110,160,Tilapia
2023-04-06,110,160,Tilapia
2023-04-07,110,160,Tilapia
2023-04-10,110,160,Tilapia
2023-04-11,110,160,Tilapia
2023-04-12,110,160,Tilapia
2023-04-13,110,160,Tilapia
2023-04-14,110,160,Tilapia
2023-04-17,100,160,Tilapia
2023-04-18,100,160,Tilapia
2023-04-19,100,160,Tilapia
2023-04-20,100,160,Tilapia
2023-04-21,100,160,Tilapia
2023-04-24,110,160,Tilapia
2023-04-25,100,160,Tilapia
2023-04-26,100,160,Tilapia
2023-04-27,100,160,Tilapia
2023-04-28,100,160,Tilapia
2023-05-01,100,160,Tilapia
2023-05-02,100,160,Tilapia
2023-05-03,100,160,Tilapia
2023-05-04,100,160,Tilapia
2023-05-05,100,160,Tilapia
2023-05-08,110,170,Tilapia
2023-05-09,110,160,Tilapia
2023-05-10,110,160,Tilapia
2023-05-11,110,160,Tilapia
2023-05-12,100,160,Tilapia
2023-05-15,110,160,Tilapia
2023-05-16,110,160,Tilapia
2023-05-17,110,160,Tilapia
