Date,Low,High,Commodity
2023-01-02,60,100,Banana (Lakatan)
2023-01-03,60,100,Banana (Lakatan)
2023-01-04,60,100,Banana (Lakatan)
2023-01-05,60,100,Banana (Lakatan)
2023-01-06,60,100,Banana (Lakatan)
2023-01-09,60,100,Banana (Lakatan)
2023-01-10,60,100,Banana (Lakatan)
2023-01-11,60,100,Banana (Lakatan)
2023-01-12,60,100,Banana (Lakatan)
2023-01-13,60,100,Banana (Lakatan)
2023-01-16,60,100,Banana (Lakatan)
2023-01-17,60,100,Banana (Lakatan)
2023-01-18,60,100,Banana (Lakatan)
2023-01-19,60,100,Banana (Lakatan)
2023-01-20,60,100,Banana (Lakatan)
2023-01-23,60,100,Banana (Lakatan)
2023-01-24,60,100,Banana (Lakatan)
2023-01-25,60,100,Banana (Lakatan)
2023-01-26,60,100,Banana (Lakatan)
2023-01-27,60,100,Banana (Lakatan)
2023-01-30,60,100,Banana (Lakatan)
2023-01-31,60,100,Banana (Lakatan)
2023-02-01,60,100,Banana (Lakatan)
2023-02-02,60,100,Banana (Lakatan)
2023-02-03,60,100,Banana (Lakatan)
2023-02-06,60,100,Banana (Lakatan)
2023-02-07,60,100,Banana (Lakatan)
2023-02-08,60,100,Banana (Lakatan)
2023-02-09,60,100,Banana (Lakatan)
2023-02-10,60,100,Banana (Lakatan)
2023-02-13,60,100,Banana (Lakatan)
2023-02-14,60,100,Banana (Lakatan)
2023-02-15,60,100,Banana (Lakatan)
2023-02-16,60,100,Banana (Lakatan)
2023-02-17,60,120,Banana (Lakatan)
2023-02-20,70,120,Banana (Lakatan)
2023-02-21,70,120,Banana (Lakatan)
2023-02-22,70,120,Banana (Lakatan)
2023-02-23,70,120,Banana (Lakatan)
2023-02-24,70,120,Banana (Lakatan)
2023-02-27,60,120,Banana (Lakatan)
2023-02-28,65,120,Banana (Lakatan)
2023-03-01,60,120,Banana (Lakatan)
2023-03-02,60,120,Banana (Lakatan)
2023-03-03,65,120,Banana (Lakatan)
2023-03-06,65,110,Banana (Lakatan)
2023-03-07,65,110,Banana (Lakatan)
2023-03-08,70,150,Banana (Lakatan)
2023-03-09,70,120,Banana (Lakatan)
2023-03-10,70,120,Banana (Lakatan)
2023-03-13,70,110,Banana (Lakatan)
2023-03-14,70,110,Banana (Lakatan)
2023-03-15,65,110,Banana (Lakatan)
2023-03-16,60,110,Banana (Lakatan)
2023-03-17,70,110,Banana (Lakatan)
2023-03-20,60,110,Banana (Lakatan)
2023-03-21,65,110,Banana (Lakatan)
2023-03-22,60,110,Banana (Lakatan)
2023-03-23,60,110,Banana (Lakatan)
2023-03-24,65,110,Banana (Lakatan)
2023-03-27,65,110,Banana (Lakatan)
