Date,Low,High,Commodity
2023-01-02,120,220,Mango
2023-01-03,120,220,Mango
2023-01-04,120,220,Mango
2023-01-05,120,220,Mango
2023-01-06,120,220,Mango
2023-01-09,120,220,Mango
2023-01-10,120,220,Mango
2023-01-11,120,230,Mango
2023-01-12,120,220,Mango
2023-01-13,120,220,Mango
2023-01-16,120,220,Mango
2023-01-17,120,220,Mango
2023-01-18,120,220,Mango
2023-01-19,120,220,Mango
2023-01-20,120,220,Mango
2023-01-23,100,220,Mango
2023-01-24,100,220,Mango
2023-01-25,100,220,Mango
2023-01-26,100,220,Mango
2023-01-27,120,200,Mango
2023-01-30,120,200,Mango
2023-01-31,120,200,Mango
2023-02-01,120,200,Mango
2023-02-02,120,200,Mango
2023-02-03,120,200,Mango
2023-02-06,120,200,Mango
2023-02-07,120,200,Mango
2023-02-08,120,200,Mango
2023-02-09,120,200,Mango
2023-02-10,120,200,Mango
2023-02-13,120,220,Mango
2023-02-14,120,220,Mango
2023-02-15,120,220,Mango
2023-02-16,120,220,Mango
2023-02-17,120,220,Mango
2023-02-20,120,220,Mango
2023-02-21,120,220,Mango
2023-02-22,120,220,Mango
2023-02-23,120,220,Mango
2023-02-24,120,220,Mango
2023-02-27,120,220,Mango
2023-02-28,120,220,Mango
2023-03-01,120,220,Mango
2023-03-02,120,220,Mango
2023-03-03,80,220,Mango
2023-03-06,120,220,Mango
2023-03-07,120,220,Mango
2023-03-08,120,220,Mango
2023-03-09,120,220,Mango
2023-03-10,120,220,Mango
2023-03-13,120,200,Mango
2023-03-14,120,200,Mango
2023-03-15,120,200,Mango
2023-03-16,100,220,Mango
2023-03-17,100,220,Mango
2023-03-20,100,200,Mango
2023-03-21,100,200,Mango
2023-03-22,100,200,Mango
2023-03-23,100,200,Mango
2023-03-24,100,200,Mango
2023-03-27,100,200,Mango
2023-03-28,100,200,Mango
2023-03-29,100,200,Mango
2023-03-30,100,200,Mango
2023-03-31,100,200,Mango
2023-04-03,100,200,Mango
2023-04-04,100,200,Mango
2023-04-05,100,200,Mango
2023-04-06,100,200,Mango
2023-04-07,100,200,Mango
2023-04-10,100,200,Mango
2023-04-11,100,200,Mango
2023-04-12,100,200,Mango
2023-04-13,100,200,Mango
2023-04-14,100,200,Mango
2023-04-17,100,200,Mango
