Date,Low,High,Commodity
2023-01-02,40,65,Papaya
2023-01-03,35,65,Papaya
2023-01-04,35,65,Papaya
2023-01-05,35,65,Papaya
2023-01-06,35,60,Papaya
2023-01-09,40,60,Papaya
2023-01-10,35,60,Papaya
2023-01-11,35,60,Papaya
2023-01-12,35,60,Papaya
2023-01-13,35,60,Papaya
2023-01-16,40,60,Papaya
2023-01-17,40,60,Papaya
2023-01-18,35,60,Papaya
2023-01-19,35,60,Papaya
2023-01-20,40,60,Papaya
2023-01-23,40,60,Papaya
2023-01-24,40,60,Papaya
2023-01-25,40,60,Papaya
2023-01-26,40,60,Papaya
2023-01-27,40,60,Papaya
2023-01-30,40,60,Papaya
2023-01-31,35,60,Papaya
2023-02-01,35,60,Papaya
2023-02-02,35,60,Papaya
2023-02-03,35,60,Papaya
2023-02-06,40,60,Papaya
2023-02-07,35,60,Papaya
2023-02-08,35,60,Papaya
2023-02-09,35,60,Papaya
2023-02-10,35,60,Papaya
2023-02-13,40,60,Papaya
2023-02-14,35,60,Papaya
2023-02-15,35,60,Papaya
2023-02-16,35,60,Papaya
2023-02-17,35,60,Papaya
2023-02-20,40,60,Papaya
2023-02-21,35,60,Papaya
2023-02-22,35,60,Papaya
2023-02-23,35,60,Papaya
2023-02-24,35,60,Papaya
2023-02-27,40,60,Papaya
2023-02-28,35,60,Papaya
2023-03-01,35,60,Papaya
2023-03-02,35,60,Papaya
2023-03-03,35,60,Papaya
2023-03-06,40,60,Papaya
2023-03-07,35,60,Papaya
2023-03-08,35,60,Papaya
2023-03-09,35,60,Papaya
2023-03-10,35,60,Papaya
2023-03-13,40,60,Papaya
2023-03-14,35,60,Papaya
2023-03-15,35,60,Papaya
2023-03-16,35,60,Papaya
2023-03-17,35,60,Papaya
2023-03-20,40,60,Papaya
2023-03-21,35,60,Papaya
2023-03-22,35,60,Papaya
2023-03-23,35,60,Papaya
2023-03-24,35,60,Papaya
2023-03-27,35,60,Papaya
2023-03-28,35,70,Papaya
2023-03-29,40,70,Papaya
2023-03-30,40,70,Papaya
2023-03-31,40,70,Papaya
2023-04-03,45,70,Papaya
2023-04-04,40,70,Papaya
2023-04-05,40,70,Papaya
2023-04-06,40,70,Papaya
2023-04-07,40,70,Papaya
2023-04-10,40,70,Papaya
2023-04-11,40,70,Papaya
2023-04-12,40,70,Papaya
2023-04-13,40,70,Papaya
2023-04-14,40,70,Papaya
2023-04-17,40,70,Papaya
2023-04-18,40,70,Papaya
2023-04-19,40,70,Papaya
2023-04-20,40,70,Papaya
2023-04-21,40,70,Papaya
2023-04-24,40,70,Papaya
2023-04-25,40,70,Papaya
2023-04-26,40,70,Papaya
2023-04-27,40,70,Papaya
2023-04-28,40,70,Papaya
2023-05-01,40,70,Papaya
2023-05-02,40,70,Papaya
2023-05-03,40,70,Papaya
2023-05-04,40,70,Papaya
2023-05-05,40,70,Papaya
2023-05-08,40,70,Papaya
2023-05-09,40,100,Papaya
2023-05-10,40,70,Papaya
2023-05-11,45,90,Papaya
2023-05-12,45,70,Papaya
2023-05-15,45,70,Papaya
2023-05-16,45,70,Papaya
2023-05-17,45,70,Papaya
2023-05-18,45,70,Papaya
2023-05-19,45,70,Papaya
2023-05-22,45,70,Papaya
2023-05-23,45,70,Papaya
2023-05-24,45,70,Papaya
2023-05-25,45,70,Papaya
2023-05-26,45,70,Papaya
2023-05-29,45,70,Papaya
2023-05-30,45,70,Papaya
2023-05-31,45,70,Papaya
2023-06-01,45,70,Papaya
2023-06-02,45,70,Papaya
2023-06-05,45,70,Papaya
2023-06-06,45,70,Papaya
2023-06-07,45,70,Papaya
2023-06-08,45,70,Papaya
2023-06-09,45,70,Papaya
2023-06-12,45,70,Papaya
2023-06-13,45,70,Papaya
2023-06-14,45,70,Papaya
2023-06-15,45,70,Papaya
2023-06-16,45,70,Papaya
2023-06-19,45,70,Papaya
2023-06-20,45,70,Papaya
2023-06-21,45,70,Papaya
2023-06-22,45,70,Papaya
2023-06-23,45,70,Papaya
2023-06-26,45,70,Papaya
2023-06-27,45,70,Papaya
2023-06-28,45,70,Papaya
2023-06-29,45,70,Papaya
2023-06-30,45,70,Papaya
2023-07-03,45,70,Papaya
2023-07-04,45,70,Papaya
2023-07-05,45,70,Papaya
2023-07-06,45,70,Papaya
2023-07-07,45,70,Papaya
2023-07-10,45,70,Papaya
2023-07-11,45,70,Papaya
2023-07-12,45,70,Papaya
2023-07-13,45,70,Papaya
2023-07-14,45,70,Papaya
2023-07-17,45,70,Papaya
2023-07-18,45,70,Papaya
2023-07-19,45,70,Papaya
2023-07-20,45,70,Papaya
2023-07-21,45,70,Papaya
2023-07-24,45,70,Papaya
2023-07-25,45,70,Papaya
2023-07-26,45,70,Papaya
2023-07-27,45,70,Papaya
2023-07-28,45,70,Papaya
2023-07-31,45,70,Papaya
2023-08-01,45,70,Papaya
2023-08-02,45,70,Papaya
2023-08-03,45,70,Papaya
2023-08-04,45,70,Papaya
2023-08-07,45,70,Papaya
2023-08-08,45,70,Papaya
2023-08-09,45,70,Papaya
2023-08-10,45,70,Papaya
2023-08-11,45,70,Papaya
2023-08-14,45,70,Papaya
2023-08-15,45,70,Papaya
2023-08-16,45,70,Papaya
2023-08-17,45,70,Papaya
2023-08-18,45,70,Papaya
2023-08-21,45,70,Papaya
2023-08-22,45,70,Papaya
2023-08-23,45,70,Papaya
