Date,Low,High,Commodity
2023-01-02,350,420,Beef Brisket
2023-01-03,350,420,Beef Brisket
2023-01-04,350,420,Beef Brisket
2023-01-05,350,420,Beef Brisket
2023-01-06,350,420,Beef Brisket
2023-01-09,350,420,Beef Brisket
2023-01-10,350,420,Beef Brisket
2023-01-11,350,420,Beef Brisket
2023-01-12,350,420,Beef Brisket
2023-01-13,310,420,Beef Brisket
2023-01-16,350,420,Beef Brisket
2023-01-17,350,420,Beef Brisket
2023-01-18,350,420,Beef Brisket
2023-01-19,350,420,Beef Brisket
2023-01-20,350,420,Beef Brisket
2023-01-23,350,420,Beef Brisket
2023-01-24,350,420,Beef Brisket
2023-01-25,350,420,Beef Brisket
2023-01-26,350,420,Beef Brisket
2023-01-27,350,420,Beef Brisket
2023-01-30,350,450,Beef Brisket
2023-01-31,350,450,Beef Brisket
2023-02-01,350,450,Beef Brisket
2023-02-02,350,450,Beef Brisket
2023-02-03,350,420,Beef Brisket
2023-02-06,350,440,Beef Brisket
2023-02-07,350,420,Beef Brisket
2023-02-08,350,420,Beef Brisket
2023-02-09,350,420,Beef Brisket
2023-02-10,350,420,Beef Brisket
2023-02-13,350,420,Beef Brisket
2023-02-14,350,420,Beef Brisket
2023-02-15,350,420,Beef Brisket
2023-02-16,350,420,Beef Brisket
2023-02-17,350,420,Beef Brisket
2023-02-20,350,420,Beef Brisket
2023-02-21,350,420,Beef Brisket
2023-02-22,350,420,Beef Brisket
2023-02-23,350,420,Beef Brisket
2023-02-24,350,420,Beef Brisket
2023-02-27,350,420,Beef Brisket
2023-02-28,350,420,Beef Brisket
2023-03-01,350,420,Beef Brisket
2023-03-02,350,420,Beef Brisket
2023-03-03,350,420,Beef Brisket
2023-03-06,350,420,Beef Brisket
2023-03-07,350,430,Beef Brisket
2023-03-08,350,430,Beef Brisket
2023-03-09,350,430,Beef Brisket
2023-03-10,350,430,Beef Brisket
2023-03-13,350,430,Beef Brisket
2023-03-14,350,430,Beef Brisket
2023-03-15,350,430,Beef Brisket
2023-03-16,350,430,Beef Brisket
2023-03-17,350,430,Beef Brisket
2023-03-20,350,430,Beef Brisket
2023-03-21,350,430,Beef Brisket
2023-03-22,350,430,Beef Brisket
2023-03-23,350,430,Beef Brisket
2023-03-24,350,430,Beef Brisket
2023-03-27,350,430,Beef Brisket
2023-03-28,350,430,Beef Brisket
2023-03-29,350,500,Beef Brisket
2023-03-30,350,500,Beef Brisket
2023-03-31,350,500,Beef Brisket
2023-04-03,350,500,Beef Brisket
2023-04-04,350,500,Beef Brisket
2023-04-05,350,500,Beef Brisket
2023-04-06,350,500,Beef Brisket
2023-04-07,350,500,Beef Brisket
2023-04-10,350,500,Beef Brisket
2023-04-11,350,430,Beef Brisket
2023-04-12,350,430,Beef Brisket
2023-04-13,350,460,Beef Brisket
2023-04-14,350,460,Beef Brisket
2023-04-17,350,460,Beef Brisket
2023-04-18,350,460,Beef Brisket
2023-04-19,350,460,Beef Brisket
2023-04-20,350,430,Beef Brisket
2023-04-21,350,460,Beef Brisket
2023-04-24,350,460,Beef Brisket
2023-04-25,350,460,Beef Brisket
2023-04-26,350,460,Beef Brisket
2023-04-27,350,460,Beef Brisket
2023-04-28,350,460,Beef Brisket
2023-05-01,350,460,Beef Brisket
2023-05-02,350,460,Beef Brisket
2023-05-03,350,440,Beef Brisket
2023-05-04,350,440,Beef Brisket
2023-05-05,350,440,Beef Brisket
2023-05-08,350,440,Beef Brisket
2023-05-09,350,440,Beef Brisket
2023-05-10,350,440,Beef Brisket
2023-05-11,350,440,Beef Brisket
2023-05-12,350,440,Beef Brisket
2023-05-15,350,440,Beef Brisket
2023-05-16,350,440,Beef Brisket
2023-05-17,350,440,Beef Brisket
2023-05-18,350,440,Beef Brisket
2023-05-19,350,440,Beef Brisket
2023-05-22,350,440,Beef Brisket
2023-05-23,350,440,Beef Brisket
2023-05-24,350,440,Beef Brisket
2023-05-25,350,440,Beef Brisket
2023-05-26,350,440,Beef Brisket
2023-05-29,350,440,Beef Brisket
2023-05-30,350,450,Beef Brisket
2023-05-31,350,450,Beef Brisket
2023-06-01,350,450,Beef Brisket
2023-06-02,350,450,Beef Brisket
2023-06-05,350,430,Beef Brisket
2023-06-06,350,430,Beef Brisket
2023-06-07,350,430,Beef Brisket
2023-06-08,350,430,Beef Brisket
2023-06-09,350,430,Beef Brisket
