Date,Low,High,Commodity
2023-01-02,380,480,Beef Rump
2023-01-03,380,480,Beef Rump
2023-01-04,380,480,Beef Rump
2023-01-05,380,480,Beef Rump
2023-01-06,380,480,Beef Rump
2023-01-09,380,480,Beef Rump
2023-01-10,380,480,Beef Rump
2023-01-11,380,480,Beef Rump
2023-01-12,380,480,Beef Rump
2023-01-13,380,480,Beef Rump
2023-01-16,380,480,Beef Rump
2023-01-17,380,480,Beef Rump
2023-01-18,380,480,Beef Rump
2023-01-19,380,480,Beef Rump
2023-01-20,380,480,Beef Rump
2023-01-23,380,480,Beef Rump
2023-01-24,380,480,Beef Rump
2023-01-25,380,480,Beef Rump
2023-01-26,380,480,Beef Rump
2023-01-27,380,480,Beef Rump
2023-01-30,380,500,Beef Rump
2023-01-31,380,500,Beef Rump
2023-02-01,380,500,Beef Rump
2023-02-02,380,500,Beef Rump
2023-02-03,380,500,Beef Rump
2023-02-06,380,500,Beef Rump
2023-02-07,380,500,Beef Rump
2023-02-08,380,500,Beef Rump
2023-02-09,380,500,Beef Rump
2023-02-10,380,500,Beef Rump
2023-02-13,380,500,Beef Rump
2023-02-14,380,500,Beef Rump
2023-02-15,380,500,Beef Rump
2023-02-16,380,500,Beef Rump
2023-02-17,380,500,Beef Rump
2023-02-20,380,500,Beef Rump
2023-02-21,380,500,Beef Rump
2023-02-22,380,500,Beef Rump
2023-02-23,380,500,Beef Rump
2023-02-24,380,500,Beef Rump
2023-02-27,380,500,Beef Rump
2023-02-28,380,500,Beef Rump
2023-03-01,390,500,Beef Rump
2023-03-02,390,500,Beef Rump
2023-03-03,390,500,Beef Rump
2023-03-06,390,500,Beef Rump
2023-03-07,390,500,Beef Rump
2023-03-08,390,500,Beef Rump
2023-03-09,390,500,Beef Rump
2023-03-10,390,500,Beef Rump
2023-03-13,390,500,Beef Rump
2023-03-14,390,500,Beef Rump
2023-03-15,395,500,Beef Rump
2023-03-16,395,500,Beef Rump
2023-03-17,375,500,Beef Rump
2023-03-20,395,500,Beef Rump
2023-03-21,395,500,Beef Rump
2023-03-22,395,500,Beef Rump
2023-03-23,395,500,Beef Rump
2023-03-24,395,500,Beef Rump
2023-03-27,395,500,Beef Rump
2023-03-28,395,480,Beef Rump
2023-03-29,395,550,Beef Rump
2023-03-30,395,550,Beef Rump
2023-03-31,395,550,Beef Rump
2023-04-03,395,550,Beef Rump
2023-04-04,395,550,Beef Rump
2023-04-05,390,550,Beef Rump
2023-04-06,390,550,Beef Rump
2023-04-07,390,550,Beef Rump
2023-04-10,390,550,Beef Rump
2023-04-11,390,550,Beef Rump
2023-04-12,395,550,Beef Rump
2023-04-13,395,550,Beef Rump
2023-04-14,395,550,Beef Rump
2023-04-17,395,550,Beef Rump
2023-04-18,395,550,Beef Rump
2023-04-19,395,550,Beef Rump
2023-04-20,395,550,Beef Rump
2023-04-21,395,550,Beef Rump
2023-04-24,395,550,Beef Rump
2023-04-25,395,550,Beef Rump
2023-04-26,395,550,Beef Rump
2023-04-27,395,550,Beef Rump
2023-04-28,395,550,Beef Rump
2023-05-01,500,390,Beef Rump
2023-05-02,550,390,Beef Rump
2023-05-03,550,390,Beef Rump
2023-05-04,550,390,Beef Rump
2023-05-05,550,390,Beef Rump
2023-05-08,550,390,Beef Rump
2023-05-09,550,390,Beef Rump
2023-05-10,550,390,Beef Rump
2023-05-11,550,390,Beef Rump
2023-05-12,500,370,Beef Rump
2023-05-15,550,390,Beef Rump
2023-05-16,550,390,Beef Rump
2023-05-17,550,390,Beef Rump
2023-05-18,550,390,Beef Rump
2023-05-19,550,390,Beef Rump
2023-05-22,550,390,Beef Rump
2023-05-23,550,390,Beef Rump
2023-05-24,550,390,Beef Rump
2023-05-25,500,390,Beef Rump
2023-05-26,550,390,Beef Rump
2023-05-29,550,390,Beef Rump
2023-05-30,550,390,Beef Rump
2023-05-31,550,390,Beef Rump
2023-06-01,550,390,Beef Rump
2023-06-02,550,390,Beef Rump
2023-06-05,550,390,Beef Rump
2023-06-06,500,390,Beef Rump
2023-06-07,500,390,Beef Rump
2023-06-08,550,390,Beef Rump
2023-06-09,550,390,Beef Rump
2023-06-12,480,390,Beef Rump
2023-06-13,550,390,Beef Rump
2023-06-14,550,390,Beef Rump
2023-06-15,550,390,Beef Rump
2023-06-16,550,390,Beef Rump
2023-06-19,550,390,Beef Rump
2023-06-20,550,390,Beef Rump
2023-06-21,550,390,Beef Rump
2023-06-22,550,390,Beef Rump
2023-06-23,550,390,Beef Rump
2023-06-26,550,390,Beef Rump
2023-06-27,550,390,Beef Rump
2023-06-28,550,390,Beef Rump
2023-06-29,550,390,Beef Rump
2023-06-30,550,390,Beef Rump
2023-07-03,550,390,Beef Rump
2023-07-04,550,390,Beef Rump
