Date,Low,High,Commodity
2023-01-02,330,400,Pork Belly
2023-01-03,300,400,Pork Belly
2023-01-04,300,400,Pork Belly
2023-01-05,300,400,Pork Belly
2023-01-06,300,400,Pork Belly
2023-01-09,300,400,Pork Belly
2023-01-10,300,400,Pork Belly
2023-01-11,300,400,Pork Belly
2023-01-12,300,400,Pork Belly
2023-01-13,300,400,Pork Belly
2023-01-16,300,400,Pork Belly
2023-01-17,300,400,Pork Belly
2023-01-18,300,400,Pork Belly
2023-01-19,300,400,Pork Belly
2023-01-20,300,400,Pork Belly
2023-01-23,300,400,Pork Belly
2023-01-24,300,400,Pork Belly
2023-01-25,300,400,Pork Belly
2023-01-26,300,400,Pork Belly
2023-01-27,300,400,Pork Belly
2023-01-30,300,400,Pork Belly
2023-01-31,300,400,Pork Belly
2023-02-01,300,400,Pork Belly
2023-02-02,300,400,Pork Belly
2023-02-03,300,400,Pork Belly
2023-02-06,300,400,Pork Belly
2023-02-07,300,400,Pork Belly
2023-02-08,300,400,Pork Belly
2023-02-09,300,400,Pork Belly
2023-02-10,300,400,Pork Belly
2023-02-13,300,400,Pork Belly
2023-02-14,300,400,Pork Belly
2023-02-15,300,400,Pork Belly
2023-02-16,300,400,Pork Belly
2023-02-17,300,400,Pork Belly
2023-02-20,300,400,Pork Belly
2023-02-21,300,400,Pork Belly
2023-02-22,300,400,Pork Belly
2023-02-23,300,400,Pork Belly
2023-02-24,300,400,Pork Belly
2023-02-27,300,400,Pork Belly
2023-02-28,300,400,Pork Belly
2023-03-01,300,390,Pork Belly
2023-03-02,310,390,Pork Belly
2023-03-03,300,390,Pork Belly
2023-03-06,310,390,Pork Belly
2023-03-07,310,390,Pork Belly
2023-03-08,310,390,Pork Belly
2023-03-09,310,390,Pork Belly
2023-03-10,310,390,Pork Belly
2023-03-13,320,390,Pork Belly
2023-03-14,320,390,Pork Belly
2023-03-15,320,390,Pork Belly
2023-03-16,320,390,Pork Belly
2023-03-17,320,390,Pork Belly
2023-03-20,320,420,Pork Belly
2023-03-21,305,420,Pork Belly
2023-03-22,330,420,Pork Belly
2023-03-23,330,420,Pork Belly
2023-03-24,330,420,Pork Belly
2023-03-27,340,420,Pork Belly
2023-03-28,330,420,Pork Belly
2023-03-29,330,420,Pork Belly
2023-03-30,330,420,Pork Belly
2023-03-31,330,420,Pork Belly
2023-04-03,340,420,Pork Belly
2023-04-04,330,420,Pork Belly
2023-04-05,330,420,Pork Belly
2023-04-06,340,420,Pork Belly
2023-04-07,340,420,Pork Belly
2023-04-10,340,420,Pork Belly
2023-04-11,340,420,Pork Belly
2023-04-12,340,420,Pork Belly
2023-04-13,340,420,Pork Belly
