Date,High,Low,Commodity
2024-01-04,300,270,Pork Ham
2024-01-09,340,270,Pork Ham
2024-01-10,340,270,Pork Ham
2024-01-11,370,270,Pork Ham
2024-01-12,330,270,Pork Ham
2024-01-15,340,270,Pork Ham
2024-01-17,320,270,Pork Ham
2024-01-18,340,270,Pork Ham
2024-01-19,340,275,Pork Ham
2024-01-23,340,275,Pork Ham
2024-02-27,360,330,Pork Ham
2024-02-28,340,295,Pork Ham
2024-03-07,340,295,Pork Ham
2024-03-18,360,292,Pork Ham
2024-03-19,330,295,Pork Ham
2024-03-21,340,295,Pork Ham
2024-03-22,380,295,Pork Ham
2024-03-25,380,295,Pork Ham
2024-03-27,380,295,Pork Ham
2024-04-01,380,295,Pork Ham
2024-04-02,340,295,Pork Ham
2024-04-03,380,295,Pork Ham
2024-04-09,380,295,Pork Ham
2024-04-11,320,295,Pork Ham
2024-04-25,370,320,Pork Ham
2024-04-26,320,295,Pork Ham
2024-04-30,340,295,Pork Ham
2024-05-02,350,295,Pork Ham
2024-05-03,340,295,Pork Ham
2024-05-06,330,295,Pork Ham
2024-05-07,358,295,Pork Ham
2024-05-08,360,350,Pork Ham
2024-05-09,350,300,Pork Ham
2024-05-10,350,300,Pork Ham
2024-05-13,350,330,Pork Ham
2024-05-16,350,300,Pork Ham
2024-05-20,350,325,Pork Ham
2024-05-24,380,300,Pork Ham
2024-05-25,360,300,Pork Ham
2024-05-27,360,300,Pork Ham
2024-05-28,380,300,Pork Ham
2024-05-29,360,310,Pork Ham
2024-05-30,380,300,Pork Ham
2024-05-31,350,310,Pork Ham
2024-06-03,380,310,Pork Ham
2024-06-04,360,310,Pork Ham
2024-06-05,350,310,Pork Ham
2024-06-06,370,305,Pork Ham
2024-06-07,350,310,Pork Ham
2024-06-08,370,305,Pork Ham
2024-06-10,360,310,Pork Ham
2024-06-11,380,305,Pork Ham
2024-06-12,370,330,Pork Ham
2024-06-13,380,305,Pork Ham
2024-06-14,380,305,Pork Ham
2024-06-17,350,310,Pork Ham
2024-06-18,380,310,Pork Ham
2024-06-19,350,310,Pork Ham
2024-06-20,380,310,Pork Ham
2024-06-21,370,310,Pork Ham
2024-06-22,380,310,Pork Ham
2024-06-26,350,310,Pork Ham
2024-06-27,380,310,Pork Ham
2024-06-28,380,310,Pork Ham
2024-06-29,365,320,Pork Ham
2024-07-01,370,310,Pork Ham
2024-07-02,370,310,Pork Ham
2024-07-03,370,320,Pork Ham
2024-07-05,350,310,Pork Ham
2024-07-08,380,300,Pork Ham
2024-07-09,380,300,Pork Ham
2024-07-12,380,300,Pork Ham
2024-07-15,365,300,Pork Ham
2024-07-16,380,300,Pork Ham
2024-07-17,370,325,Pork Ham
2024-07-19,380,300,Pork Ham
2024-07-22,370,290,Pork Ham
2024-07-23,380,290,Pork Ham
2024-07-24,380,300,Pork Ham
2024-07-25,380,285,Pork Ham
2024-07-27,380,290,Pork Ham
2024-07-29,380,290,Pork Ham
2024-07-30,380,285,Pork Ham
2024-07-31,380,285,Pork Ham
2024-08-01,340,285,Pork Ham
2024-08-02,380,285,Pork Ham
2024-08-03,350,305,Pork Ham
2024-08-05,380,285,Pork Ham
2024-08-06,380,285,Pork Ham
2024-08-07,360,285,Pork Ham
2024-08-08,370,285,Pork Ham
2024-08-09,370,280,Pork Ham
2024-08-10,360,280,Pork Ham
2024-08-12,370,280,Pork Ham
2024-08-13,360,280,Pork Ham
2024-08-14,370,280,Pork Ham
2024-08-15,370,280,Pork Ham
2024-08-16,360,280,Pork Ham
2024-08-17,360,280,Pork Ham
2024-08-20,320,280,Pork Ham
2024-08-21,350,320,Pork Ham
2024-08-29,360,260,Pork Ham
2024-08-30,370,260,Pork Ham
