Date,Low,High,Commodity
2023-01-02,270,350,Pork Kasim
2023-01-03,270,340,Pork Kasim
2023-01-04,270,330,Pork Kasim
2023-01-05,270,330,Pork Kasim
2023-01-06,270,330,Pork Kasim
2023-01-09,270,330,Pork Kasim
2023-01-10,270,330,Pork Kasim
2023-01-11,270,330,Pork Kasim
2023-01-12,270,330,Pork Kasim
2023-01-13,270,330,Pork Kasim
2023-01-16,270,330,Pork Kasim
2023-01-17,270,330,Pork Kasim
2023-01-18,280,330,Pork Kasim
2023-01-19,270,330,Pork Kasim
2023-01-20,270,330,Pork Kasim
2023-01-23,270,330,Pork Kasim
2023-01-24,270,330,Pork Kasim
2023-01-25,270,330,Pork Kasim
2023-01-26,270,330,Pork Kasim
2023-01-27,270,330,Pork Kasim
2023-01-30,270,330,Pork Kasim
2023-01-31,280,330,Pork Kasim
2023-02-01,270,330,Pork Kasim
2023-02-02,270,330,Pork Kasim
2023-02-03,270,330,Pork Kasim
2023-02-06,270,330,Pork Kasim
2023-02-07,270,330,Pork Kasim
2023-02-08,270,340,Pork Kasim
2023-02-09,270,330,Pork Kasim
2023-02-10,270,330,Pork Kasim
2023-02-13,270,330,Pork Kasim
2023-02-14,270,330,Pork Kasim
2023-02-15,270,330,Pork Kasim
2023-02-16,270,330,Pork Kasim
2023-02-17,270,330,Pork Kasim
2023-02-20,280,330,Pork Kasim
2023-02-21,270,330,Pork Kasim
2023-02-22,270,330,Pork Kasim
2023-02-23,270,330,Pork Kasim
2023-02-24,270,330,Pork Kasim
2023-02-27,270,330,Pork Kasim
2023-02-28,270,330,Pork Kasim
2023-03-01,270,330,Pork Kasim
2023-03-02,270,330,Pork Kasim
2023-03-03,270,330,Pork Kasim
2023-03-06,280,330,Pork Kasim
2023-03-07,280,330,Pork Kasim
2023-03-08,280,380,Pork Kasim
2023-03-09,280,330,Pork Kasim
2023-03-10,280,330,Pork Kasim
2023-03-13,280,340,Pork Kasim
2023-03-14,280,340,Pork Kasim
2023-03-15,280,340,Pork Kasim
2023-03-16,280,340,Pork Kasim
2023-03-17,280,340,Pork Kasim
2023-03-20,280,340,Pork Kasim
2023-03-21,270,360,Pork Kasim
2023-03-22,270,340,Pork Kasim
2023-03-23,270,340,Pork Kasim
2023-03-24,270,340,Pork Kasim
2023-03-27,270,350,Pork Kasim
2023-03-28,290,360,Pork Kasim
2023-03-29,290,350,Pork Kasim
2023-03-30,290,360,Pork Kasim
2023-03-31,290,350,Pork Kasim
2023-04-03,310,360,Pork Kasim
2023-04-04,290,360,Pork Kasim
2023-04-05,290,360,Pork Kasim
2023-04-06,290,360,Pork Kasim
2023-04-07,290,360,Pork Kasim
2023-04-10,290,360,Pork Kasim
2023-04-11,310,350,Pork Kasim
2023-04-12,310,360,Pork Kasim
2023-04-13,310,360,Pork Kasim
2023-04-14,310,360,Pork Kasim
2023-04-17,310,380,Pork Kasim
2023-04-18,310,360,Pork Kasim
2023-04-19,310,360,Pork Kasim
2023-04-20,310,360,Pork Kasim
2023-04-21,320,360,Pork Kasim
2023-04-24,320,360,Pork Kasim
2023-04-25,300,360,Pork Kasim
2023-04-26,300,360,Pork Kasim
2023-04-27,300,360,Pork Kasim
2023-04-28,310,365,Pork Kasim
2023-05-01,300,360,Pork Kasim
2023-05-02,310,360,Pork Kasim
2023-05-03,310,360,Pork Kasim
2023-05-04,310,360,Pork Kasim
2023-05-05,310,360,Pork Kasim
2023-05-08,310,360,Pork Kasim
2023-05-09,300,360,Pork Kasim
2023-05-10,300,360,Pork Kasim
2023-05-11,300,360,Pork Kasim
2023-05-12,300,370,Pork Kasim
2023-05-15,300,360,Pork Kasim
2023-05-16,300,360,Pork Kasim
2023-05-17,300,360,Pork Kasim
2023-05-18,300,350,Pork Kasim
2023-05-19,300,350,Pork Kasim
2023-05-22,290,350,Pork Kasim
2023-05-23,290,350,Pork Kasim
2023-05-24,295,350,Pork Kasim
2023-05-25,295,350,Pork Kasim
2023-05-26,290,350,Pork Kasim
2023-05-29,280,350,Pork Kasim
2023-05-30,280,350,Pork Kasim
2023-05-31,280,350,Pork Kasim
2023-06-01,250,350,Pork Kasim
2023-06-02,280,350,Pork Kasim
2023-06-05,280,340,Pork Kasim
2023-06-06,280,340,Pork Kasim
2023-06-07,280,340,Pork Kasim
2023-06-08,280,340,Pork Kasim
2023-06-09,280,340,Pork Kasim
2023-06-12,280,340,Pork Kasim
2023-06-13,280,340,Pork Kasim
2023-06-14,280,340,Pork Kasim
2023-06-15,280,340,Pork Kasim
2023-06-16,280,340,Pork Kasim
2023-06-19,280,340,Pork Kasim
2023-06-20,275,340,Pork Kasim
2023-06-21,275,350,Pork Kasim
2023-06-22,275,340,Pork Kasim
2023-06-23,285,340,Pork Kasim
2023-06-26,280,340,Pork Kasim
2023-06-27,270,330,Pork Kasim
2023-06-28,270,330,Pork Kasim
2023-06-29,270,330,Pork Kasim
2023-06-30,270,330,Pork Kasim
2023-07-03,270,330,Pork Kasim
2023-07-04,270,330,Pork Kasim
2023-07-05,270,330,Pork Kasim
2023-07-06,270,330,Pork Kasim
2023-07-07,270,330,Pork Kasim
2023-07-10,270,330,Pork Kasim
2023-07-11,270,330,Pork Kasim
2023-07-12,270,330,Pork Kasim
2023-07-13,270,330,Pork Kasim
2023-07-14,265,390,Pork Kasim
2023-07-17,265,330,Pork Kasim
