Date,Low,High,Commodity
2023-01-02,190,220,Whole Chicken
2023-01-03,180,220,Whole Chicken
2023-01-04,190,220,Whole Chicken
2023-01-05,180,220,Whole Chicken
2023-01-06,180,220,Whole Chicken
2023-01-09,180,220,Whole Chicken
2023-01-10,180,220,Whole Chicken
2023-01-11,180,220,Whole Chicken
2023-01-12,180,220,Whole Chicken
2023-01-13,180,220,Whole Chicken
2023-01-16,190,220,Whole Chicken
2023-01-17,180,220,Whole Chicken
2023-01-18,180,210,Whole Chicken
2023-01-19,180,210,Whole Chicken
2023-01-20,180,210,Whole Chicken
2023-01-23,170,210,Whole Chicken
2023-01-24,170,210,Whole Chicken
2023-01-25,170,210,Whole Chicken
2023-01-26,170,210,Whole Chicken
2023-01-27,170,210,Whole Chicken
2023-01-30,160,210,Whole Chicken
2023-01-31,160,210,Whole Chicken
2023-02-01,160,210,Whole Chicken
2023-02-02,155,210,Whole Chicken
2023-02-03,155,210,Whole Chicken
2023-02-06,170,210,Whole Chicken
2023-02-07,170,210,Whole Chicken
2023-02-08,170,210,Whole Chicken
2023-02-09,170,210,Whole Chicken
2023-02-10,170,210,Whole Chicken
2023-02-13,170,210,Whole Chicken
2023-02-14,160,210,Whole Chicken
2023-02-15,160,210,Whole Chicken
2023-02-16,150,210,Whole Chicken
2023-02-17,155,210,Whole Chicken
2023-02-20,165,210,Whole Chicken
2023-02-21,150,210,Whole Chicken
2023-02-22,150,210,Whole Chicken
2023-02-23,150,210,Whole Chicken
2023-02-24,150,210,Whole Chicken
2023-02-27,150,200,Whole Chicken
2023-02-28,150,200,Whole Chicken
2023-03-01,150,200,Whole Chicken
2023-03-02,150,200,Whole Chicken
2023-03-03,150,200,Whole Chicken
2023-03-06,150,200,Whole Chicken
2023-03-07,150,200,Whole Chicken
2023-03-08,150,200,Whole Chicken
2023-03-09,150,200,Whole Chicken
2023-03-10,150,200,Whole Chicken
2023-03-13,150,200,Whole Chicken
2023-03-14,150,200,Whole Chicken
2023-03-15,150,200,Whole Chicken
2023-03-16,150,200,Whole Chicken
2023-03-17,150,200,Whole Chicken
2023-03-20,150,200,Whole Chicken
2023-03-21,150,200,Whole Chicken
2023-03-22,150,200,Whole Chicken
