Date,Low,High,Commodity
2023-01-02,40,48,Premium Rice
2023-01-03,42,49,Premium Rice
2023-01-04,42,49,Premium Rice
2023-01-05,42,49,Premium Rice
2023-01-06,42,49,Premium Rice
2023-01-09,42,49,Premium Rice
2023-01-10,42,49,Premium Rice
2023-01-11,42,49,Premium Rice
2023-01-12,42,49,Premium Rice
2023-01-13,42,49,Premium Rice
2023-01-16,42,49,Premium Rice
2023-01-17,42,49,Premium Rice
2023-01-18,42,49,Premium Rice
2023-01-19,42,49,Premium Rice
2023-01-20,42,49,Premium Rice
2023-01-23,42,49,Premium Rice
2023-01-24,42,49,Premium Rice
2023-01-25,42,49,Premium Rice
2023-01-26,42,49,Premium Rice
2023-01-27,42,49,Premium Rice
2023-01-30,42,49,Premium Rice
2023-01-31,42,49,Premium Rice
2023-02-01,42,49,Premium Rice
2023-02-02,40,49,Premium Rice
2023-02-03,42,49,Premium Rice
2023-02-06,42,49,Premium Rice
2023-02-07,42,49,Premium Rice
2023-02-08,42,49,Premium Rice
2023-02-09,42,49,Premium Rice
2023-02-10,42,49,Premium Rice
2023-02-13,42,49,Premium Rice
2023-02-14,42,49,Premium Rice
2023-02-15,42,49,Premium Rice
2023-02-16,42,49,Premium Rice
2023-02-17,42,49,Premium Rice
2023-02-20,42,48,Premium Rice
2023-02-21,42,49,Premium Rice
2023-02-22,42,49,Premium Rice
2023-02-23,42,49,Premium Rice
2023-02-24,42,49,Premium Rice
2023-02-27,42,49,Premium Rice
2023-02-28,42,49,Premium Rice
2023-03-01,42,49,Premium Rice
2023-03-02,42,49,Premium Rice
2023-03-03,42,49,Premium Rice
2023-03-06,42,49,Premium Rice
2023-03-07,42,49,Premium Rice
2023-03-08,42,49,Premium Rice
2023-03-09,42,49,Premium Rice
2023-03-10,42,49,Premium Rice
2023-03-13,42,49,Premium Rice
2023-03-14,42,49,Premium Rice
2023-03-15,42,49,Premium Rice
2023-03-16,42,49,Premium Rice
2023-03-17,42,49,Premium Rice
2023-03-20,42,49,Premium Rice
2023-03-21,42,49,Premium Rice
2023-03-22,42,49,Premium Rice
2023-03-23,42,49,Premium Rice
2023-03-24,42,49,Premium Rice
2023-03-27,42,49,Premium Rice
2023-03-28,42,49,Premium Rice
2023-03-29,42,49,Premium Rice
2023-03-30,42,49,Premium Rice
2023-03-31,42,49,Premium Rice
2023-04-03,40,49,Premium Rice
2023-04-04,42,49,Premium Rice
2023-04-05,42,49,Premium Rice
2023-04-06,42,49,Premium Rice
2023-04-07,42,49,Premium Rice
2023-04-10,42,49,Premium Rice
2023-04-11,42,49,Premium Rice
2023-04-12,42,49,Premium Rice
2023-04-13,42,49,Premium Rice
2023-04-14,42,49,Premium Rice
2023-04-17,42,49,Premium Rice
2023-04-18,42,49,Premium Rice
2023-04-19,42,49,Premium Rice
2023-04-20,42,49,Premium Rice
2023-04-21,42,49,Premium Rice
2023-04-24,43,49,Premium Rice
2023-04-25,42,49,Premium Rice
2023-04-26,42,49,Premium Rice
2023-04-27,42,49,Premium Rice
2023-04-28,42,49,Premium Rice
2023-05-01,42,49,Premium Rice
2023-05-02,42,49,Premium Rice
2023-05-03,42,49,Premium Rice
2023-05-04,42,49,Premium Rice
2023-05-05,42,49,Premium Rice
2023-05-08,42,49,Premium Rice
2023-05-09,42,49,Premium Rice
2023-05-10,42,49,Premium Rice
2023-05-11,42,49,Premium Rice
2023-05-12,42,49,Premium Rice
2023-05-15,42,50,Premium Rice
2023-05-16,42,50,Premium Rice
2023-05-17,40,50,Premium Rice
2023-05-18,42,50,Premium Rice
2023-05-19,40,49,Premium Rice
2023-05-22,42,50,Premium Rice
2023-05-23,42,50,Premium Rice
2023-05-24,42,50,Premium Rice
2023-05-25,42,50,Premium Rice
2023-05-26,42,50,Premium Rice
2023-05-29,42,50,Premium Rice
2023-05-30,42,50,Premium Rice
2023-05-31,42,50,Premium Rice
2023-06-01,42,50,Premium Rice
2023-06-02,42,50,Premium Rice
2023-06-05,42,50,Premium Rice
2023-06-06,42,50,Premium Rice
2023-06-07,42,50,Premium Rice
2023-06-08,42,50,Premium Rice
2023-06-09,42,50,Premium Rice
2023-06-12,42,49,Premium Rice
2023-06-13,42,50,Premium Rice
2023-06-14,42,50,Premium Rice
2023-06-15,42,50,Premium Rice
2023-06-16,42,50,Premium Rice
2023-06-19,42,50,Premium Rice
2023-06-20,42,50,Premium Rice
2023-06-21,42,50,Premium Rice
2023-06-22,42,50,Premium Rice
2023-06-23,42,50,Premium Rice
2023-06-26,42,50,Premium Rice
2023-06-27,42,50,Premium Rice
2023-06-28,42,50,Premium Rice
2023-06-29,42,50,Premium Rice
2023-06-30,42,50,Premium Rice
2023-07-03,42,50,Premium Rice
2023-07-04,42,50,Premium Rice
2023-07-05,42,50,Premium Rice
2023-07-06,42,50,Premium Rice
2023-07-07,42,50,Premium Rice
2023-07-10,42,50,Premium Rice
2023-07-11,42,50,Premium Rice
2023-07-12,42,49,Premium Rice
2023-07-13,42,49,Premium Rice
2023-07-14,42,49,Premium Rice
2023-07-17,42,49,Premium Rice
2023-07-18,42,49,Premium Rice
2023-07-19,42,49,Premium Rice
2023-07-20,42,49,Premium Rice
2023-07-21,40,49,Premium Rice
2023-07-24,40,49,Premium Rice
2023-07-25,40,49,Premium Rice
2023-07-26,44,49,Premium Rice
2023-07-27,44,49,Premium Rice
2023-07-28,44,49,Premium Rice
2023-07-31,44,49,Premium Rice
2023-08-01,44,55,Premium Rice
2023-08-02,44,55,Premium Rice
2023-08-03,44,54,Premium Rice
2023-08-04,44,54,Premium Rice
2023-08-07,45,54,Premium Rice
2023-08-08,45,54,Premium Rice
2023-08-09,45,56,Premium Rice
2023-08-10,45,56,Premium Rice
2023-08-11,45,56,Premium Rice
2023-08-14,45,56,Premium Rice
2023-08-15,45,56,Premium Rice
2023-08-16,45,56,Premium Rice
2023-08-17,46,60,Premium Rice
2023-08-18,48,60,Premium Rice
2023-08-21,47,60,Premium Rice
2023-08-22,47,60,Premium Rice
2023-08-23,47,60,Premium Rice
2023-08-24,47,60,Premium Rice
2023-08-25,47,60,Premium Rice
2023-08-28,48,60,Premium Rice
2023-08-29,48,60,Premium Rice
2023-08-30,48,60,Premium Rice
2023-08-31,48,60,Premium Rice
2023-09-01,48,60,Premium Rice
2023-09-04,50,60,Premium Rice
2023-09-05,49,60,Premium Rice
2023-09-06,42,60,Premium Rice
2023-09-07,48,60,Premium Rice
2023-09-08,49,60,Premium Rice
2023-09-11,50,60,Premium Rice
2023-09-12,50,60,Premium Rice
2023-09-13,50,60,Premium Rice
2023-09-14,50,60,Premium Rice
2023-09-15,50,60,Premium Rice
2023-09-18,50,60,Premium Rice
2023-09-19,49,60,Premium Rice
2023-09-20,49,60,Premium Rice
2023-09-21,49,60,Premium Rice
2023-09-22,48,60,Premium Rice
2023-09-25,48,60,Premium Rice
2023-09-26,48,60,Premium Rice
2023-09-27,47,60,Premium Rice
2023-09-28,47,60,Premium Rice
2023-09-29,47,60,Premium Rice
2023-10-02,47,60,Premium Rice
2023-10-03,47,60,Premium Rice
2023-10-04,47,60,Premium Rice
2023-10-05,47,60,Premium Rice
2023-10-06,47,60,Premium Rice
2023-10-09,47,60,Premium Rice
2023-10-10,47,60,Premium Rice
2023-10-11,47,60,Premium Rice
2023-10-12,47,60,Premium Rice
2023-10-13,47,60,Premium Rice
2023-10-16,47,60,Premium Rice
2023-10-17,47,60,Premium Rice
2023-10-18,47,60,Premium Rice
2023-10-19,47,60,Premium Rice
2023-10-20,47,60,Premium Rice
2023-10-23,47,50,Premium Rice
2023-10-24,47,60,Premium Rice
2023-10-25,47,60,Premium Rice
2023-10-26,47,60,Premium Rice
2023-10-27,47,60,Premium Rice
2023-10-30,47,60,Premium Rice
2023-10-31,47,60,Premium Rice
2023-11-02,50,60,Premium Rice
2023-11-03,50,60,Premium Rice
2023-11-06,50,61,Premium Rice
2023-11-07,49,61,Premium Rice
2023-11-08,50,59,Premium Rice
2023-11-09,50,62,Premium Rice
2023-11-10,50,59,Premium Rice
2023-11-13,50,59,Premium Rice
2023-11-14,50,65,Premium Rice
2023-11-15,50,60,Premium Rice
2023-11-16,50,62,Premium Rice
2023-11-17,50,62,Premium Rice
2023-11-20,50,60,Premium Rice
2023-11-21,50,62,Premium Rice
2023-11-22,50,60,Premium Rice
2023-11-23,50,60,Premium Rice
2023-11-24,50,60,Premium Rice
2023-11-27,50,62,Premium Rice
2023-11-28,50,59,Premium Rice
2023-11-29,50,59,Premium Rice
2023-11-30,50,59,Premium Rice
2023-12-01,50,60,Premium Rice
2023-12-04,50,62,Premium Rice
2023-12-05,50,62,Premium Rice
2023-12-06,50,62,Premium Rice
2023-12-07,46,60,Premium Rice
2023-12-08,46,60,Premium Rice
2023-12-11,50,60,Premium Rice
2023-12-12,50,62,Premium Rice
2023-12-13,50,60,Premium Rice
2023-12-14,50,60,Premium Rice
2023-12-15,50,60,Premium Rice
2023-12-18,40,60,Premium Rice
2023-12-19,50,62,Premium Rice
2023-12-20,50,62,Premium Rice
2023-12-21,50,62,Premium Rice
2023-12-22,50,62,Premium Rice
2023-12-26,50,62,Premium Rice
2023-12-27,50,62,Premium Rice
2023-12-28,50,62,Premium Rice
2023-12-29,50,60,Premium Rice
2024-01-02,50,62,Premium Rice
2024-01-03,50,62,Premium Rice
2024-01-04,50,62,Premium Rice
2024-01-05,50,62,Premium Rice
2024-01-08,50,63,Premium Rice
2024-01-09,50,62,Premium Rice
2024-01-10,50,63,Premium Rice
2024-01-11,51,60,Premium Rice
2024-01-12,50,61,Premium Rice
2024-01-15,50,60,Premium Rice
2024-01-16,50,60,Premium Rice
2024-01-17,50,60,Premium Rice
2024-01-18,50,60,Premium Rice
2024-01-19,50,60,Premium Rice
2024-01-22,50,60,Premium Rice
2024-01-23,50,60,Premium Rice
2024-01-24,50,63,Premium Rice
2024-01-25,50,60,Premium Rice
2024-01-26,50,60,Premium Rice
2024-01-29,50,60,Premium Rice
2024-01-30,50,60,Premium Rice
2024-01-31,50,63,Premium Rice
2024-02-01,50,60,Premium Rice
2024-02-02,50,60,Premium Rice
2024-02-05,50,62,Premium Rice
2024-02-06,50,61,Premium Rice
2024-02-07,50,62,Premium Rice
2024-02-08,50,63,Premium Rice
2024-02-09,50,61,Premium Rice
2024-02-12,50,62,Premium Rice
2024-02-13,50,63,Premium Rice
2024-02-14,50,63,Premium Rice
2024-02-15,50,63,Premium Rice
2024-02-16,50,63,Premium Rice
2024-02-19,50,62,Premium Rice
2024-02-20,50,61,Premium Rice
2024-02-21,50,61,Premium Rice
2024-02-22,50,61,Premium Rice
2024-02-23,50,61,Premium Rice
2024-02-26,50,60,Premium Rice
2024-02-27,50,61,Premium Rice
2024-02-28,50,61,Premium Rice
2024-02-29,50,61,Premium Rice
2024-03-01,50,61,Premium Rice
2024-03-04,50,61,Premium Rice
2024-03-05,50,61,Premium Rice
2024-03-06,50,61,Premium Rice
2024-03-07,50,61,Premium Rice
2024-03-08,50,61,Premium Rice
2024-03-11,50,61,Premium Rice
2024-03-12,50,61,Premium Rice
2024-03-13,50,61,Premium Rice
2024-03-14,50,61,Premium Rice
2024-03-15,50,61,Premium Rice
2024-03-18,50,61,Premium Rice
2024-03-19,50,61,Premium Rice
2024-03-20,50,61,Premium Rice
2024-03-21,50,61,Premium Rice
2024-03-22,50,61,Premium Rice
2024-03-25,50,61,Premium Rice
2024-03-26,50,61,Premium Rice
2024-03-27,50,61,Premium Rice
2024-04-01,50,61,Premium Rice
2024-04-02,50,61,Premium Rice
2024-04-03,50,61,Premium Rice
2024-04-04,50,61,Premium Rice
2024-04-05,52,60,Premium Rice
2024-04-08,51,58,Premium Rice
2024-04-11,51,59,Premium Rice
2024-04-12,51,59,Premium Rice
2024-04-15,51,58,Premium Rice
2024-04-16,51,58,Premium Rice
2024-04-17,51,58,Premium Rice
2024-04-18,51,58,Premium Rice
2024-04-19,51,58,Premium Rice
2024-04-20,51,58,Premium Rice
2024-04-22,51,58,Premium Rice
2024-04-23,51,58,Premium Rice
2024-04-24,51,58,Premium Rice
2024-04-25,51,58,Premium Rice
2024-04-26,51,58,Premium Rice
2024-04-27,51,58,Premium Rice
2024-04-29,50,60,Premium Rice
2024-04-30,51,58,Premium Rice
2024-05-01,51,58,Premium Rice
2024-05-02,51,58,Premium Rice
2024-05-03,51,58,Premium Rice
2024-05-04,51,58,Premium Rice
2024-05-06,51,58,Premium Rice
2024-05-07,51,58,Premium Rice
2024-05-08,51,59,Premium Rice
2024-05-09,51,58,Premium Rice
2024-05-10,51,59,Premium Rice
2024-05-11,51,58,Premium Rice
2024-05-13,51,58,Premium Rice
2024-05-14,51,58,Premium Rice
2024-05-15,51,58,Premium Rice
2024-05-16,51,58,Premium Rice
2024-05-17,51,58,Premium Rice
2024-05-18,51,58,Premium Rice
2024-05-20,51,58,Premium Rice
2024-05-21,51,58,Premium Rice
2024-05-22,51,58,Premium Rice
2024-05-23,51,58,Premium Rice
2024-05-24,51,58,Premium Rice
2024-05-25,51,58,Premium Rice
2024-05-27,51,58,Premium Rice
2024-05-28,51,58,Premium Rice
2024-05-29,52,58,Premium Rice
2024-05-30,52,58,Premium Rice
2024-05-31,52,58,Premium Rice
2024-06-01,52,58,Premium Rice
2024-06-03,50,60,Premium Rice
2024-06-04,51,58,Premium Rice
2024-06-05,51,58,Premium Rice
2024-06-06,51,58,Premium Rice
2024-06-07,50,58,Premium Rice
