Date,Low,High,Commodity
2023-01-02,35,40,Regular-Milled Rice
2023-01-03,34,40,Regular-Milled Rice
2023-01-04,34,40,Regular-Milled Rice
2023-01-05,34,40,Regular-Milled Rice
2023-01-06,34,40,Regular-Milled Rice
2023-01-09,34,40,Regular-Milled Rice
2023-01-10,34,40,Regular-Milled Rice
2023-01-11,34,40,Regular-Milled Rice
2023-01-12,34,40,Regular-Milled Rice
2023-01-13,35,40,Regular-Milled Rice
2023-01-16,34,40,Regular-Milled Rice
2023-01-17,34,40,Regular-Milled Rice
2023-01-18,35,40,Regular-Milled Rice
2023-01-19,34,40,Regular-Milled Rice
2023-01-20,34,40,Regular-Milled Rice
2023-01-23,34,40,Regular-Milled Rice
2023-01-24,34,40,Regular-Milled Rice
2023-01-25,34,40,Regular-Milled Rice
2023-01-26,34,40,Regular-Milled Rice
2023-01-27,34,40,Regular-Milled Rice
2023-01-30,34,40,Regular-Milled Rice
2023-01-31,34,40,Regular-Milled Rice
2023-02-01,34,40,Regular-Milled Rice
2023-02-02,34,40,Regular-Milled Rice
2023-02-03,30,40,Regular-Milled Rice
2023-02-06,30,40,Regular-Milled Rice
2023-02-07,30,40,Regular-Milled Rice
2023-02-08,30,40,Regular-Milled Rice
2023-02-09,30,40,Regular-Milled Rice
2023-02-10,30,40,Regular-Milled Rice
2023-02-13,32,40,Regular-Milled Rice
2023-02-14,32,40,Regular-Milled Rice
2023-02-15,32,40,Regular-Milled Rice
2023-02-16,32,40,Regular-Milled Rice
2023-02-17,32,40,Regular-Milled Rice
2023-02-20,32,40,Regular-Milled Rice
2023-02-21,32,40,Regular-Milled Rice
2023-02-22,32,40,Regular-Milled Rice
2023-02-23,32,40,Regular-Milled Rice
2023-02-24,32,40,Regular-Milled Rice
2023-02-27,32,40,Regular-Milled Rice
2023-02-28,32,40,Regular-Milled Rice
2023-03-01,32,40,Regular-Milled Rice
2023-03-02,32,40,Regular-Milled Rice
2023-03-03,34,40,Regular-Milled Rice
2023-03-06,34,40,Regular-Milled Rice
2023-03-07,34,40,Regular-Milled Rice
2023-03-08,34,40,Regular-Milled Rice
2023-03-09,34,40,Regular-Milled Rice
2023-03-10,34,40,Regular-Milled Rice
2023-03-13,34,40,Regular-Milled Rice
2023-03-14,34,40,Regular-Milled Rice
2023-03-15,33,40,Regular-Milled Rice
2023-03-16,34,40,Regular-Milled Rice
2023-03-17,34,40,Regular-Milled Rice
2023-03-20,35,40,Regular-Milled Rice
2023-03-21,34,40,Regular-Milled Rice
2023-03-22,34,40,Regular-Milled Rice
2023-03-23,34,40,Regular-Milled Rice
2023-03-24,34,40,Regular-Milled Rice
2023-03-27,34,40,Regular-Milled Rice
2023-03-28,34,40,Regular-Milled Rice
2023-03-29,34,40,Regular-Milled Rice
2023-03-30,34,40,Regular-Milled Rice
2023-03-31,34,40,Regular-Milled Rice
2023-04-03,34,40,Regular-Milled Rice
2023-04-04,34,40,Regular-Milled Rice
2023-04-05,34,40,Regular-Milled Rice
2023-04-06,36,40,Regular-Milled Rice
2023-04-07,36,40,Regular-Milled Rice
2023-04-10,36,40,Regular-Milled Rice
2023-04-11,36,40,Regular-Milled Rice
2023-04-12,36,40,Regular-Milled Rice
2023-04-13,36,40,Regular-Milled Rice
2023-04-14,34,40,Regular-Milled Rice
2023-04-17,34,40,Regular-Milled Rice
2023-04-18,34,40,Regular-Milled Rice
2023-04-19,34,40,Regular-Milled Rice
2023-04-20,34,40,Regular-Milled Rice
2023-04-21,36,40,Regular-Milled Rice
2023-04-24,34,40,Regular-Milled Rice
2023-04-25,34,40,Regular-Milled Rice
2023-04-26,34,40,Regular-Milled Rice
2023-04-27,34,42,Regular-Milled Rice
2023-04-28,34,42,Regular-Milled Rice
2023-05-01,34,42,Regular-Milled Rice
