Date,Low,High,Commodity
2023-01-02,48,60,Special Rice
2023-01-03,48,60,Special Rice
2023-01-04,48,60,Special Rice
2023-01-05,48,60,Special Rice
2023-01-06,48,60,Special Rice
2023-01-09,48,60,Special Rice
2023-01-10,48,60,Special Rice
2023-01-11,48,60,Special Rice
2023-01-12,48,60,Special Rice
2023-01-13,48,60,Special Rice
2023-01-16,48,60,Special Rice
2023-01-17,48,60,Special Rice
2023-01-18,48,60,Special Rice
2023-01-19,48,68,Special Rice
2023-01-20,48,60,Special Rice
2023-01-23,48,60,Special Rice
2023-01-24,48,60,Special Rice
2023-01-25,48,60,Special Rice
2023-01-26,48,60,Special Rice
2023-01-27,48,60,Special Rice
2023-01-30,48,60,Special Rice
2023-01-31,48,60,Special Rice
2023-02-01,48,60,Special Rice
2023-02-02,48,60,Special Rice
2023-02-03,48,60,Special Rice
2023-02-06,48,60,Special Rice
2023-02-07,48,60,Special Rice
2023-02-08,48,60,Special Rice
2023-02-09,48,60,Special Rice
2023-02-10,48,60,Special Rice
2023-02-13,48,60,Special Rice
2023-02-14,48,60,Special Rice
2023-02-15,48,60,Special Rice
2023-02-16,48,60,Special Rice
2023-02-17,48,60,Special Rice
2023-02-20,48,60,Special Rice
2023-02-21,48,60,Special Rice
2023-02-22,48,60,Special Rice
2023-02-23,48,60,Special Rice
2023-02-24,48,60,Special Rice
2023-02-27,48,60,Special Rice
2023-02-28,48,60,Special Rice
2023-03-01,48,60,Special Rice
2023-03-02,48,60,Special Rice
2023-03-03,48,60,Special Rice
2023-03-06,48,60,Special Rice
2023-03-07,48,60,Special Rice
2023-03-08,48,60,Special Rice
2023-03-09,48,60,Special Rice
2023-03-10,48,60,Special Rice
2023-03-13,48,60,Special Rice
2023-03-14,48,60,Special Rice
2023-03-15,48,60,Special Rice
2023-03-16,48,60,Special Rice
2023-03-17,48,60,Special Rice
2023-03-20,48,60,Special Rice
2023-03-21,48,60,Special Rice
2023-03-22,48,60,Special Rice
2023-03-23,48,60,Special Rice
2023-03-24,48,60,Special Rice
2023-03-27,48,60,Special Rice
2023-03-28,48,60,Special Rice
2023-03-29,48,60,Special Rice
2023-03-30,48,60,Special Rice
2023-03-31,48,60,Special Rice
2023-04-03,48,60,Special Rice
2023-04-04,48,60,Special Rice
2023-04-05,48,60,Special Rice
2023-04-06,48,60,Special Rice
2023-04-07,48,60,Special Rice
2023-04-10,48,60,Special Rice
2023-04-11,48,60,Special Rice
2023-04-12,48,60,Special Rice
2023-04-13,48,60,Special Rice
2023-04-14,48,60,Special Rice
2023-04-17,48,60,Special Rice
2023-04-18,48,60,Special Rice
2023-04-19,48,60,Special Rice
2023-04-20,48,60,Special Rice
2023-04-21,48,60,Special Rice
2023-04-24,48,60,Special Rice
2023-04-25,48,60,Special Rice
2023-04-26,48,60,Special Rice
2023-04-27,48,60,Special Rice
2023-04-28,48,60,Special Rice
2023-05-01,48,60,Special Rice
2023-05-02,48,60,Special Rice
2023-05-03,48,60,Special Rice
2023-05-04,48,60,Special Rice
2023-05-05,48,60,Special Rice
2023-05-08,48,60,Special Rice
2023-05-09,48,60,Special Rice
2023-05-10,48,60,Special Rice
2023-05-11,48,60,Special Rice
2023-05-12,48,60,Special Rice
2023-05-15,48,60,Special Rice
2023-05-16,48,60,Special Rice
2023-05-17,48,60,Special Rice
2023-05-18,48,60,Special Rice
2023-05-19,48,60,Special Rice
2023-05-22,48,60,Special Rice
2023-05-23,48,60,Special Rice
2023-05-24,48,60,Special Rice
2023-05-25,48,60,Special Rice
2023-05-26,48,60,Special Rice
2023-05-29,48,60,Special Rice
2023-05-30,48,60,Special Rice
2023-05-31,48,60,Special Rice
2023-06-01,48,60,Special Rice
2023-06-02,48,60,Special Rice
2023-06-05,48,60,Special Rice
2023-06-06,48,60,Special Rice
2023-06-07,48,60,Special Rice
2023-06-08,48,60,Special Rice
2023-06-09,48,60,Special Rice
2023-06-12,48,60,Special Rice
2023-06-13,48,60,Special Rice
2023-06-14,48,60,Special Rice
2023-06-15,48,60,Special Rice
2023-06-16,48,60,Special Rice
2023-06-19,48,60,Special Rice
2023-06-20,48,60,Special Rice
2023-06-21,48,60,Special Rice
2023-06-22,48,60,Special Rice
2023-06-23,48,60,Special Rice
2023-06-26,48,60,Special Rice
2023-06-27,48,60,Special Rice
2023-06-28,48,60,Special Rice
2023-06-29,48,60,Special Rice
2023-06-30,48,60,Special Rice
2023-07-03,48,60,Special Rice
2023-07-04,48,60,Special Rice
2023-07-05,48,60,Special Rice
2023-07-06,48,60,Special Rice
2023-07-07,48,60,Special Rice
2023-07-10,48,60,Special Rice
2023-07-11,48,60,Special Rice
2023-07-12,48,60,Special Rice
2023-07-13,48,60,Special Rice
2023-07-14,48,60,Special Rice
2023-07-17,48,60,Special Rice
2023-07-18,48,60,Special Rice
2023-07-19,48,60,Special Rice
2023-07-20,48,60,Special Rice
2023-07-21,48,60,Special Rice
2023-07-24,48,60,Special Rice
2023-07-25,48,60,Special Rice
2023-07-26,48,60,Special Rice
2023-07-27,48,60,Special Rice
2023-07-28,48,60,Special Rice
2023-07-31,48,60,Special Rice
2023-08-01,48,60,Special Rice
2023-08-02,48,62,Special Rice
2023-08-03,48,62,Special Rice
2023-08-04,48,62,Special Rice
2023-08-07,48,60,Special Rice
2023-08-08,48,60,Special Rice
2023-08-09,48,60,Special Rice
2023-08-10,44,65,Special Rice
2023-08-11,48,60,Special Rice
2023-08-14,50,65,Special Rice
2023-08-15,51,60,Special Rice
2023-08-16,51,60,Special Rice
2023-08-17,50,62,Special Rice
2023-08-18,54,62,Special Rice
2023-08-21,47,60,Special Rice
2023-08-22,47,60,Special Rice
2023-08-23,47,60,Special Rice
2023-08-24,47,60,Special Rice
2023-08-25,47,60,Special Rice
2023-08-28,48,60,Special Rice
2023-08-29,48,60,Special Rice
2023-08-30,48,60,Special Rice
2023-08-31,48,60,Special Rice
2023-09-01,54,65,Special Rice
2023-09-04,50,62,Special Rice
2023-09-05,54,62,Special Rice
2023-09-06,54,62,Special Rice
2023-09-07,54,62,Special Rice
2023-09-08,54,65,Special Rice
2023-09-11,54,62,Special Rice
2023-09-12,54,62,Special Rice
2023-09-13,54,62,Special Rice
2023-09-14,54,62,Special Rice
2023-09-15,54,66,Special Rice
2023-09-18,54,62,Special Rice
2023-09-19,54,62,Special Rice
2023-09-20,54,65,Special Rice
2023-09-21,54,62,Special Rice
2023-09-22,54,62,Special Rice
2023-09-25,54,62,Special Rice
2023-09-26,54,62,Special Rice
2023-09-27,50,62,Special Rice
2023-09-28,54,62,Special Rice
2023-09-29,54,62,Special Rice
2023-10-02,54,66,Special Rice
2023-10-03,54,62,Special Rice
2023-10-04,54,62,Special Rice
2023-10-05,54,62,Special Rice
2023-10-06,54,62,Special Rice
2023-10-09,54,62,Special Rice
2023-10-10,52,62,Special Rice
2023-10-11,52,62,Special Rice
2023-10-12,38,62,Special Rice
2023-10-13,54,62,Special Rice
2023-10-16,54,62,Special Rice
2023-10-17,54,62,Special Rice
2023-10-18,54,62,Special Rice
2023-10-19,54,62,Special Rice
2023-10-20,54,62,Special Rice
2023-10-23,54,60,Special Rice
2023-10-24,54,62,Special Rice
2023-10-25,54,62,Special Rice
2023-10-26,54,62,Special Rice
2023-10-27,54,62,Special Rice
2023-10-30,54,62,Special Rice
2023-10-31,54,62,Special Rice
2023-11-02,50,65,Special Rice
2023-11-03,50,65,Special Rice
2023-11-06,52,70,Special Rice
2023-11-07,52,75,Special Rice
2023-11-08,52,65,Special Rice
2023-11-09,50,65,Special Rice
2023-11-10,50,65,Special Rice
2023-11-13,50,65,Special Rice
2023-11-14,50,65,Special Rice
2023-11-15,50,66,Special Rice
2023-11-16,50,66,Special Rice
2023-11-17,50,66,Special Rice
2023-11-20,50,66,Special Rice
2023-11-21,50,66,Special Rice
2023-11-22,50,66,Special Rice
2023-11-23,50,66,Special Rice
2023-11-24,50,68,Special Rice
2023-11-27,50,66,Special Rice
2023-11-28,50,68,Special Rice
2023-11-29,50,68,Special Rice
2023-11-30,50,68,Special Rice
2023-12-01,50,68,Special Rice
2023-12-04,52,68,Special Rice
2023-12-05,52,68,Special Rice
2023-12-06,52,68,Special Rice
2023-12-07,54,68,Special Rice
2023-12-08,54,68,Special Rice
2023-12-11,54,68,Special Rice
2023-12-12,53,68,Special Rice
2023-12-13,53,68,Special Rice
2023-12-14,54,68,Special Rice
2023-12-15,54,68,Special Rice
2023-12-18,54,68,Special Rice
2023-12-19,54,68,Special Rice
2023-12-20,54,68,Special Rice
2023-12-21,54,68,Special Rice
2023-12-22,54,68,Special Rice
2023-12-26,54,69,Special Rice
2023-12-27,54,68,Special Rice
2023-12-28,54,68,Special Rice
2023-12-29,54,68,Special Rice
2024-01-02,52,65,Special Rice
2024-01-03,54,68,Special Rice
2024-01-04,54,68,Special Rice
2024-01-05,54,68,Special Rice
2024-01-08,54,68,Special Rice
2024-01-09,54,68,Special Rice
2024-01-10,54,68,Special Rice
2024-01-11,56,66,Special Rice
2024-01-12,56,66,Special Rice
2024-01-15,54,68,Special Rice
2024-01-16,54,68,Special Rice
2024-01-17,54,70,Special Rice
2024-01-18,54,70,Special Rice
2024-01-19,55,68,Special Rice
2024-01-22,56,66,Special Rice
2024-01-23,54,68,Special Rice
2024-01-24,54,68,Special Rice
2024-01-25,54,68,Special Rice
2024-01-26,54,68,Special Rice
2024-01-29,54,68,Special Rice
2024-01-30,54,68,Special Rice
2024-01-31,54,68,Special Rice
2024-02-01,54,68,Special Rice
2024-02-02,54,68,Special Rice
2024-02-05,54,65,Special Rice
2024-02-06,54,65,Special Rice
2024-02-07,54,65,Special Rice
2024-02-08,54,66,Special Rice
2024-02-09,54,66,Special Rice
2024-02-12,54,66,Special Rice
2024-02-13,55,66,Special Rice
2024-02-14,55,66,Special Rice
2024-02-15,56,66,Special Rice
2024-02-16,54,66,Special Rice
2024-02-19,55,66,Special Rice
2024-02-20,57,66,Special Rice
2024-02-21,54,66,Special Rice
2024-02-22,54,68,Special Rice
2024-02-23,57,66,Special Rice
2024-02-26,57,66,Special Rice
2024-02-27,57,65,Special Rice
2024-02-28,56,65,Special Rice
2024-02-29,57,65,Special Rice
2024-03-01,56,65,Special Rice
2024-03-04,56,65,Special Rice
2024-03-05,56,65,Special Rice
2024-03-06,57,65,Special Rice
2024-03-07,56,66,Special Rice
2024-03-08,56,66,Special Rice
2024-03-11,56,66,Special Rice
2024-03-12,56,66,Special Rice
2024-03-13,56,66,Special Rice
2024-03-14,57,65,Special Rice
2024-03-15,56,66,Special Rice
2024-03-18,56,66,Special Rice
2024-03-19,57,65,Special Rice
2024-03-20,56,66,Special Rice
2024-03-21,56,66,Special Rice
2024-03-22,56,66,Special Rice
2024-03-25,56,67,Special Rice
2024-03-26,56,66,Special Rice
2024-03-27,56,66,Special Rice
2024-04-01,56,66,Special Rice
2024-04-02,56,66,Special Rice
2024-04-03,57,65,Special Rice
2024-04-04,56,66,Special Rice
2024-04-05,54,68,Special Rice
2024-04-08,57,67,Special Rice
2024-04-11,57,67,Special Rice
2024-04-12,57,67,Special Rice
2024-04-15,57,67,Special Rice
2024-04-16,57,67,Special Rice
2024-04-17,57,68,Special Rice
2024-04-18,57,67,Special Rice
2024-04-19,57,67,Special Rice
2024-04-20,57,67,Special Rice
2024-04-22,57,67,Special Rice
2024-04-23,57,67,Special Rice
2024-04-24,57,67,Special Rice
2024-04-25,57,67,Special Rice
2024-04-26,57,67,Special Rice
2024-04-27,54,67,Special Rice
2024-04-29,57,67,Special Rice
2024-04-30,57,65,Special Rice
2024-05-01,55,67,Special Rice
2024-05-02,56,66,Special Rice
2024-05-03,56,66,Special Rice
2024-05-04,54,67,Special Rice
2024-05-06,56,67,Special Rice
2024-05-07,57,65,Special Rice
2024-05-08,56,67,Special Rice
2024-05-09,56,67,Special Rice
2024-05-10,56,67,Special Rice
2024-05-11,56,66,Special Rice
2024-05-13,56,67,Special Rice
2024-05-14,56,67,Special Rice
2024-05-15,56,67,Special Rice
2024-05-16,56,67,Special Rice
2024-05-17,56,67,Special Rice
2024-05-18,54,65,Special Rice
2024-05-20,57,65,Special Rice
2024-05-21,56,66,Special Rice
2024-05-22,56,66,Special Rice
2024-05-23,56,66,Special Rice
2024-05-24,56,66,Special Rice
2024-05-25,57,65,Special Rice
2024-05-27,57,66,Special Rice
2024-05-28,56,66,Special Rice
2024-05-29,56,66,Special Rice
2024-05-30,56,66,Special Rice
2024-05-31,56,66,Special Rice
2024-06-01,57,65,Special Rice
2024-06-03,58,66,Special Rice
2024-06-04,57,66,Special Rice
2024-06-05,57,65,Special Rice
2024-06-06,56,65,Special Rice
2024-06-07,55,65,Special Rice
2024-06-08,54,65,Special Rice
2024-06-10,56,65,Special Rice
2024-06-11,57,65,Special Rice
2024-06-12,56,65,Special Rice
2024-06-13,56,65,Special Rice
2024-06-14,57,65,Special Rice
2024-06-15,54,65,Special Rice
2024-06-17,56,65,Special Rice
2024-06-18,56,65,Special Rice
2024-06-19,57,65,Special Rice
2024-06-20,57,65,Special Rice
2024-06-21,57,65,Special Rice
2024-06-22,57,65,Special Rice
2024-06-24,57,65,Special Rice
2024-06-25,57,65,Special Rice
2024-06-26,57,65,Special Rice
2024-06-27,57,65,Special Rice
2024-06-28,57,65,Special Rice
2024-06-29,57,65,Special Rice
2024-07-01,58,65,Special Rice
2024-07-02,57,65,Special Rice
2024-07-03,57,65,Special Rice
2024-07-04,57,65,Special Rice
2024-07-05,57,65,Special Rice
2024-07-06,57,65,Special Rice
2024-07-08,57,65,Special Rice
2024-07-09,57,65,Special Rice
2024-07-10,57,65,Special Rice
2024-07-11,57,65,Special Rice
2024-07-12,57,65,Special Rice
2024-07-13,57,65,Special Rice
2024-07-15,57,65,Special Rice
2024-07-16,57,65,Special Rice
2024-07-17,56,65,Special Rice
2024-07-18,57,65,Special Rice
2024-07-19,57,65,Special Rice
2024-07-20,56,65,Special Rice
2024-07-22,54,65,Special Rice
2024-07-23,54,65,Special Rice
2024-07-24,56,63,Special Rice
2024-07-25,57,65,Special Rice
2024-07-26,55,64,Special Rice
2024-07-27,60,62,Special Rice
2024-07-29,58,61,Special Rice
2024-07-30,58,61,Special Rice
2024-07-31,58,61,Special Rice
2024-08-01,56,64,Special Rice
2024-08-02,58,61,Special Rice
2024-08-03,60,60,Special Rice
2024-08-05,58,61,Special Rice
2024-08-06,56,62,Special Rice
2024-08-07,57,62,Special Rice
2024-08-08,57,61,Special Rice
2024-08-09,58,61,Special Rice
2024-08-10,55,63,Special Rice
2024-08-12,56,62,Special Rice
2024-08-13,55,63,Special Rice
2024-08-14,55,64,Special Rice
2024-08-15,57,65,Special Rice
2024-08-16,54,65,Special Rice
2024-08-17,57,65,Special Rice
2024-08-19,57,65,Special Rice
2024-08-20,57,65,Special Rice
2024-08-21,56,65,Special Rice
2024-08-22,52,65,Special Rice
2024-08-23,57,65,Special Rice
2024-08-24,56,63,Special Rice
2024-08-26,57,65,Special Rice
2024-08-27,59,62,Special Rice
2024-08-28,60,60,Special Rice
2024-08-29,59,62,Special Rice
2024-08-30,57,63,Special Rice
2024-08-31,57,65,Special Rice
2024-09-02,57,65,Special Rice
2024-09-03,57,65,Special Rice
2024-09-04,58,63,Special Rice
2024-09-05,57,65,Special Rice
2024-09-06,58,64,Special Rice
2024-09-07,57,65,Special Rice
2024-09-09,59,62,Special Rice
2024-09-10,59,62,Special Rice
2024-09-11,60,60,Special Rice
2024-09-12,60,60,Special Rice
2024-09-13,59,63,Special Rice
2024-09-14,58,65,Special Rice
2024-09-16,57,65,Special Rice
2024-09-17,57,65,Special Rice
2024-09-18,57,65,Special Rice
