Date,Low,High,Commodity
2023-01-02,38,44,Well-Milled Rice
2023-01-03,38,44,Well-Milled Rice
2023-01-04,38,44,Well-Milled Rice
2023-01-05,38,44,Well-Milled Rice
2023-01-06,38,46,Well-Milled Rice
2023-01-09,38,44,Well-Milled Rice
2023-01-10,38,44,Well-Milled Rice
2023-01-11,38,44,Well-Milled Rice
2023-01-12,38,44,Well-Milled Rice
2023-01-13,38,44,Well-Milled Rice
2023-01-16,38,44,Well-Milled Rice
2023-01-17,38,44,Well-Milled Rice
2023-01-18,38,44,Well-Milled Rice
2023-01-19,38,44,Well-Milled Rice
2023-01-20,38,45,Well-Milled Rice
2023-01-23,38,44,Well-Milled Rice
2023-01-24,38,44,Well-Milled Rice
2023-01-25,38,50,Well-Milled Rice
2023-01-26,38,44,Well-Milled Rice
2023-01-27,38,44,Well-Milled Rice
2023-01-30,38,44,Well-Milled Rice
2023-01-31,38,44,Well-Milled Rice
2023-02-01,38,44,Well-Milled Rice
2023-02-02,38,44,Well-Milled Rice
2023-02-03,38,44,Well-Milled Rice
2023-02-06,38,44,Well-Milled Rice
2023-02-07,37,44,Well-Milled Rice
2023-02-08,37,44,Well-Milled Rice
2023-02-09,37,44,Well-Milled Rice
2023-02-10,37,44,Well-Milled Rice
2023-02-13,37,44,Well-Milled Rice
2023-02-14,37,45,Well-Milled Rice
2023-02-15,37,45,Well-Milled Rice
2023-02-16,37,45,Well-Milled Rice
2023-02-17,37,45,Well-Milled Rice
2023-02-20,37,44,Well-Milled Rice
2023-02-21,37,45,Well-Milled Rice
2023-02-22,37,45,Well-Milled Rice
2023-02-23,37,45,Well-Milled Rice
2023-02-24,37,45,Well-Milled Rice
2023-02-27,37,45,Well-Milled Rice
2023-02-28,37,45,Well-Milled Rice
2023-03-01,37,45,Well-Milled Rice
2023-03-02,37,45,Well-Milled Rice
2023-03-03,37,45,Well-Milled Rice
2023-03-06,38,47,Well-Milled Rice
2023-03-07,36,45,Well-Milled Rice
2023-03-08,38,46,Well-Milled Rice
2023-03-09,38,46,Well-Milled Rice
2023-03-10,38,46,Well-Milled Rice
2023-03-13,38,46,Well-Milled Rice
2023-03-14,38,46,Well-Milled Rice
2023-03-15,38,46,Well-Milled Rice
2023-03-16,38,46,Well-Milled Rice
2023-03-17,38,46,Well-Milled Rice
2023-03-20,39,46,Well-Milled Rice
2023-03-21,39,46,Well-Milled Rice
2023-03-22,39,46,Well-Milled Rice
2023-03-23,39,46,Well-Milled Rice
2023-03-24,38,46,Well-Milled Rice
2023-03-27,39,46,Well-Milled Rice
2023-03-28,39,46,Well-Milled Rice
2023-03-29,39,46,Well-Milled Rice
2023-03-30,39,46,Well-Milled Rice
2023-03-31,39,46,Well-Milled Rice
2023-04-03,39,46,Well-Milled Rice
2023-04-04,39,46,Well-Milled Rice
2023-04-05,39,46,Well-Milled Rice
2023-04-06,39,46,Well-Milled Rice
2023-04-07,39,46,Well-Milled Rice
2023-04-10,39,46,Well-Milled Rice
2023-04-11,39,47,Well-Milled Rice
2023-04-12,39,46,Well-Milled Rice
2023-04-13,39,46,Well-Milled Rice
2023-04-14,39,46,Well-Milled Rice
2023-04-17,39,46,Well-Milled Rice
2023-04-18,39,46,Well-Milled Rice
2023-04-19,39,46,Well-Milled Rice
2023-04-20,39,46,Well-Milled Rice
2023-04-21,34,46,Well-Milled Rice
2023-04-24,39,46,Well-Milled Rice
2023-04-25,39,46,Well-Milled Rice
2023-04-26,39,46,Well-Milled Rice
2023-04-27,39,46,Well-Milled Rice
2023-04-28,39,46,Well-Milled Rice
2023-05-01,39,46,Well-Milled Rice
2023-05-02,39,46,Well-Milled Rice
2023-05-03,39,46,Well-Milled Rice
2023-05-04,39,46,Well-Milled Rice
2023-05-05,39,46,Well-Milled Rice
2023-05-08,39,46,Well-Milled Rice
2023-05-09,39,46,Well-Milled Rice
2023-05-10,39,46,Well-Milled Rice
2023-05-11,39,46,Well-Milled Rice
2023-05-12,39,46,Well-Milled Rice
2023-05-15,39,46,Well-Milled Rice
2023-05-16,39,46,Well-Milled Rice
2023-05-17,39,46,Well-Milled Rice
2023-05-18,39,46,Well-Milled Rice
2023-05-19,39,47,Well-Milled Rice
2023-05-22,39,46,Well-Milled Rice
2023-05-23,38,46,Well-Milled Rice
2023-05-24,38,46,Well-Milled Rice
2023-05-25,39,46,Well-Milled Rice
2023-05-26,39,46,Well-Milled Rice
2023-05-29,39,46,Well-Milled Rice
2023-05-30,39,46,Well-Milled Rice
2023-05-31,39,46,Well-Milled Rice
2023-06-01,39,46,Well-Milled Rice
2023-06-02,38,46,Well-Milled Rice
2023-06-05,38,46,Well-Milled Rice
2023-06-06,38,46,Well-Milled Rice
2023-06-07,38,46,Well-Milled Rice
2023-06-08,38,46,Well-Milled Rice
2023-06-09,38,46,Well-Milled Rice
2023-06-12,38,46,Well-Milled Rice
2023-06-13,38,46,Well-Milled Rice
2023-06-14,38,46,Well-Milled Rice
2023-06-15,38,46,Well-Milled Rice
2023-06-16,38,46,Well-Milled Rice
2023-06-19,38,46,Well-Milled Rice
2023-06-20,38,46,Well-Milled Rice
2023-06-21,38,46,Well-Milled Rice
2023-06-22,38,46,Well-Milled Rice
2023-06-23,38,46,Well-Milled Rice
2023-06-26,38,46,Well-Milled Rice
2023-06-27,39,46,Well-Milled Rice
2023-06-28,39,46,Well-Milled Rice
2023-06-29,39,46,Well-Milled Rice
2023-06-30,40,46,Well-Milled Rice
2023-07-03,40,46,Well-Milled Rice
2023-07-04,40,46,Well-Milled Rice
2023-07-05,40,46,Well-Milled Rice
2023-07-06,40,46,Well-Milled Rice
2023-07-07,40,46,Well-Milled Rice
2023-07-10,40,46,Well-Milled Rice
2023-07-11,40,46,Well-Milled Rice
2023-07-12,40,46,Well-Milled Rice
2023-07-13,40,46,Well-Milled Rice
2023-07-14,40,54,Well-Milled Rice
2023-07-17,40,49,Well-Milled Rice
2023-07-18,40,49,Well-Milled Rice
2023-07-19,40,49,Well-Milled Rice
2023-07-20,40,49,Well-Milled Rice
2023-07-21,40,49,Well-Milled Rice
2023-07-24,40,49,Well-Milled Rice
2023-07-25,40,49,Well-Milled Rice
2023-07-26,41,49,Well-Milled Rice
2023-07-27,41,49,Well-Milled Rice
2023-07-28,41,49,Well-Milled Rice
2023-07-31,41,49,Well-Milled Rice
2023-08-01,41,49,Well-Milled Rice
2023-08-02,41,49,Well-Milled Rice
2023-08-03,41,49,Well-Milled Rice
2023-08-04,41,49,Well-Milled Rice
2023-08-07,40,50,Well-Milled Rice
2023-08-08,42,52,Well-Milled Rice
2023-08-09,42,52,Well-Milled Rice
2023-08-10,42,52,Well-Milled Rice
2023-08-11,42,52,Well-Milled Rice
2023-08-14,42,53,Well-Milled Rice
2023-08-15,42,52,Well-Milled Rice
2023-08-16,40,52,Well-Milled Rice
2023-08-17,40,57,Well-Milled Rice
2023-08-18,45,57,Well-Milled Rice
2023-08-21,46,57,Well-Milled Rice
2023-08-22,46,57,Well-Milled Rice
2023-08-23,45,57,Well-Milled Rice
2023-08-24,45,57,Well-Milled Rice
2023-08-25,43,56,Well-Milled Rice
2023-08-28,48,56,Well-Milled Rice
2023-08-29,48,56,Well-Milled Rice
2023-08-30,47,56,Well-Milled Rice
2023-08-31,47,56,Well-Milled Rice
2023-09-01,47,57,Well-Milled Rice
2023-09-04,48,56,Well-Milled Rice
2023-09-05,45,53,Well-Milled Rice
2023-09-06,45,55,Well-Milled Rice
2023-09-07,45,55,Well-Milled Rice
2023-09-08,45,45,Well-Milled Rice
2023-09-11,45,49,Well-Milled Rice
2023-09-12,45,49,Well-Milled Rice
2023-09-13,41,47,Well-Milled Rice
2023-09-14,45,48,Well-Milled Rice
2023-09-15,45,48,Well-Milled Rice
2023-09-18,45,49,Well-Milled Rice
2023-09-19,45,49,Well-Milled Rice
2023-09-20,43,49,Well-Milled Rice
2023-09-21,45,49,Well-Milled Rice
2023-09-22,44,49,Well-Milled Rice
2023-09-25,45,49,Well-Milled Rice
2023-09-26,45,49,Well-Milled Rice
2023-09-27,45,48,Well-Milled Rice
2023-09-28,45,48,Well-Milled Rice
2023-09-29,45,48,Well-Milled Rice
2023-10-02,45,48,Well-Milled Rice
2023-10-03,44,48,Well-Milled Rice
2023-10-04,44,48,Well-Milled Rice
2023-10-05,44,48,Well-Milled Rice
2023-10-06,45,48,Well-Milled Rice
2023-10-09,45,52,Well-Milled Rice
2023-10-10,45,48,Well-Milled Rice
2023-10-11,45,48,Well-Milled Rice
2023-10-12,45,48,Well-Milled Rice
2023-10-13,45,48,Well-Milled Rice
2023-10-16,45,48,Well-Milled Rice
2023-10-17,45,48,Well-Milled Rice
2023-10-18,45,48,Well-Milled Rice
2023-10-19,45,48,Well-Milled Rice
2023-10-20,45,48,Well-Milled Rice
2023-10-23,45,45,Well-Milled Rice
2023-10-24,45,52,Well-Milled Rice
2023-10-25,45,48,Well-Milled Rice
2023-10-26,45,48,Well-Milled Rice
2023-10-27,45,48,Well-Milled Rice
2023-10-30,45,55,Well-Milled Rice
2023-10-31,48,53,Well-Milled Rice
2023-11-02,48,53,Well-Milled Rice
2023-11-03,48,53,Well-Milled Rice
2023-11-06,45,57,Well-Milled Rice
2023-11-07,45,55,Well-Milled Rice
2023-11-08,45,54,Well-Milled Rice
2023-11-09,45,54,Well-Milled Rice
2023-11-10,45,54,Well-Milled Rice
2023-11-13,45,54,Well-Milled Rice
2023-11-14,45,55,Well-Milled Rice
2023-11-15,45,54,Well-Milled Rice
2023-11-16,45,54,Well-Milled Rice
2023-11-17,40,54,Well-Milled Rice
2023-11-20,30,55,Well-Milled Rice
2023-11-21,40,55,Well-Milled Rice
2023-11-22,40,55,Well-Milled Rice
2023-11-23,40,55,Well-Milled Rice
2023-11-24,40,54,Well-Milled Rice
2023-11-27,42,55,Well-Milled Rice
2023-11-28,42,55,Well-Milled Rice
2023-11-29,45,54,Well-Milled Rice
2023-11-30,45,58,Well-Milled Rice
2023-12-01,45,55,Well-Milled Rice
2023-12-04,45,55,Well-Milled Rice
2023-12-05,45,55,Well-Milled Rice
2023-12-06,45,55,Well-Milled Rice
2023-12-07,45,57,Well-Milled Rice
2023-12-08,45,57,Well-Milled Rice
2023-12-11,45,55,Well-Milled Rice
2023-12-12,40,55,Well-Milled Rice
2023-12-13,40,55,Well-Milled Rice
2023-12-14,40,55,Well-Milled Rice
2023-12-15,40,55,Well-Milled Rice
2023-12-18,40,55,Well-Milled Rice
2023-12-19,40,56,Well-Milled Rice
2023-12-20,40,55,Well-Milled Rice
2023-12-21,40,56,Well-Milled Rice
2023-12-22,40,56,Well-Milled Rice
2023-12-26,40,56,Well-Milled Rice
2023-12-27,40,56,Well-Milled Rice
2023-12-28,40,55,Well-Milled Rice
2023-12-29,40,56,Well-Milled Rice
2024-01-02,40,55,Well-Milled Rice
2024-01-03,40,55,Well-Milled Rice
2024-01-04,40,55,Well-Milled Rice
2024-01-05,48,55,Well-Milled Rice
2024-01-08,40,55,Well-Milled Rice
2024-01-09,45,55,Well-Milled Rice
2024-01-10,47,55,Well-Milled Rice
2024-01-11,49,55,Well-Milled Rice
2024-01-12,49,55,Well-Milled Rice
2024-01-15,49,55,Well-Milled Rice
2024-01-16,49,55,Well-Milled Rice
2024-01-17,49,57,Well-Milled Rice
2024-01-18,49,55,Well-Milled Rice
2024-01-19,49,55,Well-Milled Rice
2024-01-22,49,55,Well-Milled Rice
2024-01-23,49,55,Well-Milled Rice
2024-01-24,44,55,Well-Milled Rice
2024-01-25,49,55,Well-Milled Rice
2024-01-26,49,55,Well-Milled Rice
2024-01-29,49,56,Well-Milled Rice
2024-01-30,49,56,Well-Milled Rice
2024-01-31,49,55,Well-Milled Rice
2024-02-01,49,55,Well-Milled Rice
2024-02-02,49,55,Well-Milled Rice
2024-02-05,49,55,Well-Milled Rice
2024-02-06,49,56,Well-Milled Rice
2024-02-07,49,56,Well-Milled Rice
2024-02-08,49,56,Well-Milled Rice
2024-02-09,49,56,Well-Milled Rice
2024-02-12,49,56,Well-Milled Rice
2024-02-13,49,56,Well-Milled Rice
2024-02-14,49,56,Well-Milled Rice
2024-02-15,49,56,Well-Milled Rice
2024-02-16,49,56,Well-Milled Rice
2024-02-19,45,58,Well-Milled Rice
2024-02-20,45,58,Well-Milled Rice
2024-02-21,50,57,Well-Milled Rice
2024-02-22,48,58,Well-Milled Rice
2024-02-23,49,57,Well-Milled Rice
2024-02-26,49,55,Well-Milled Rice
2024-02-27,48,58,Well-Milled Rice
2024-02-28,48,55,Well-Milled Rice
2024-02-29,48,55,Well-Milled Rice
2024-03-01,45,58,Well-Milled Rice
2024-03-04,45,58,Well-Milled Rice
2024-03-05,45,58,Well-Milled Rice
2024-03-06,45,58,Well-Milled Rice
2024-03-07,48,55,Well-Milled Rice
2024-03-08,48,55,Well-Milled Rice
2024-03-11,45,58,Well-Milled Rice
2024-03-12,45,58,Well-Milled Rice
2024-03-13,45,58,Well-Milled Rice
2024-03-14,45,58,Well-Milled Rice
2024-03-15,45,58,Well-Milled Rice
2024-03-18,48,58,Well-Milled Rice
2024-03-19,48,58,Well-Milled Rice
2024-03-20,49,58,Well-Milled Rice
2024-03-21,49,58,Well-Milled Rice
2024-03-22,49,58,Well-Milled Rice
2024-03-25,49,58,Well-Milled Rice
2024-03-26,49,58,Well-Milled Rice
2024-03-27,49,55,Well-Milled Rice
2024-04-01,49,58,Well-Milled Rice
2024-04-02,48,55,Well-Milled Rice
2024-04-03,48,59,Well-Milled Rice
2024-04-04,48,58,Well-Milled Rice
2024-04-05,48,58,Well-Milled Rice
2024-04-08,48,58,Well-Milled Rice
2024-04-11,48,55,Well-Milled Rice
2024-04-12,48,55,Well-Milled Rice
2024-04-15,48,55,Well-Milled Rice
2024-04-16,48,55,Well-Milled Rice
2024-04-17,48,55,Well-Milled Rice
2024-04-18,48,55,Well-Milled Rice
2024-04-19,48,55,Well-Milled Rice
2024-04-20,48,55,Well-Milled Rice
2024-04-22,48,55,Well-Milled Rice
2024-04-23,48,55,Well-Milled Rice
2024-04-24,48,55,Well-Milled Rice
2024-04-25,48,55,Well-Milled Rice
2024-04-26,48,55,Well-Milled Rice
2024-04-27,48,55,Well-Milled Rice
2024-04-29,45,55,Well-Milled Rice
2024-04-30,48,55,Well-Milled Rice
2024-05-01,48,55,Well-Milled Rice
2024-05-02,48,55,Well-Milled Rice
2024-05-03,48,55,Well-Milled Rice
2024-05-04,48,55,Well-Milled Rice
2024-05-06,48,55,Well-Milled Rice
2024-05-07,48,55,Well-Milled Rice
2024-05-08,48,55,Well-Milled Rice
2024-05-09,48,55,Well-Milled Rice
2024-05-10,48,55,Well-Milled Rice
2024-05-11,48,55,Well-Milled Rice
2024-05-13,48,55,Well-Milled Rice
2024-05-14,48,55,Well-Milled Rice
2024-05-15,48,55,Well-Milled Rice
2024-05-16,48,55,Well-Milled Rice
2024-05-17,48,55,Well-Milled Rice
2024-05-18,48,55,Well-Milled Rice
2024-05-20,48,55,Well-Milled Rice
2024-05-21,48,55,Well-Milled Rice
2024-05-22,48,55,Well-Milled Rice
2024-05-23,48,55,Well-Milled Rice
2024-05-24,48,55,Well-Milled Rice
2024-05-25,48,55,Well-Milled Rice
2024-05-27,48,55,Well-Milled Rice
2024-05-28,48,55,Well-Milled Rice
2024-05-29,48,55,Well-Milled Rice
2024-05-30,48,55,Well-Milled Rice
2024-05-31,48,55,Well-Milled Rice
2024-06-01,48,55,Well-Milled Rice
2024-06-03,48,55,Well-Milled Rice
2024-06-04,48,55,Well-Milled Rice
2024-06-05,48,55,Well-Milled Rice
2024-06-06,48,55,Well-Milled Rice
2024-06-07,48,55,Well-Milled Rice
2024-06-08,48,55,Well-Milled Rice
2024-06-10,48,55,Well-Milled Rice
2024-06-11,48,55,Well-Milled Rice
2024-06-12,48,55,Well-Milled Rice
2024-06-13,48,55,Well-Milled Rice
2024-06-14,48,55,Well-Milled Rice
2024-06-15,49,55,Well-Milled Rice
2024-06-17,48,55,Well-Milled Rice
2024-06-18,48,55,Well-Milled Rice
2024-06-19,48,55,Well-Milled Rice
2024-06-20,48,55,Well-Milled Rice
2024-06-21,48,55,Well-Milled Rice
2024-06-22,48,55,Well-Milled Rice
2024-06-24,48,55,Well-Milled Rice
2024-06-25,48,55,Well-Milled Rice
2024-06-26,48,55,Well-Milled Rice
2024-06-27,48,55,Well-Milled Rice
2024-06-28,48,55,Well-Milled Rice
2024-06-29,48,55,Well-Milled Rice
2024-07-01,48,55,Well-Milled Rice
2024-07-02,48,55,Well-Milled Rice
2024-07-03,48,55,Well-Milled Rice
2024-07-04,48,55,Well-Milled Rice
2024-07-05,48,55,Well-Milled Rice
2024-07-06,48,55,Well-Milled Rice
2024-07-08,48,55,Well-Milled Rice
2024-07-09,48,55,Well-Milled Rice
2024-07-10,48,55,Well-Milled Rice
2024-07-11,48,55,Well-Milled Rice
2024-07-12,48,55,Well-Milled Rice
2024-07-13,48,55,Well-Milled Rice
2024-07-15,48,55,Well-Milled Rice
2024-07-16,45,55,Well-Milled Rice
2024-07-17,45,55,Well-Milled Rice
2024-07-18,45,55,Well-Milled Rice
2024-07-19,45,55,Well-Milled Rice
2024-07-20,45,55,Well-Milled Rice
2024-07-22,48,55,Well-Milled Rice
2024-07-23,45,55,Well-Milled Rice
2024-07-24,48,55,Well-Milled Rice
2024-07-25,42,55,Well-Milled Rice
2024-07-26,45,55,Well-Milled Rice
2024-07-27,45,55,Well-Milled Rice
2024-07-29,45,55,Well-Milled Rice
2024-07-30,45,55,Well-Milled Rice
2024-07-31,48,55,Well-Milled Rice
2024-08-01,48,55,Well-Milled Rice
2024-08-02,48,55,Well-Milled Rice
2024-08-03,47,55,Well-Milled Rice
2024-08-05,47,55,Well-Milled Rice
2024-08-06,47,55,Well-Milled Rice
2024-08-07,47,55,Well-Milled Rice
2024-08-08,47,55,Well-Milled Rice
2024-08-09,47,55,Well-Milled Rice
2024-08-10,47,55,Well-Milled Rice
2024-08-12,48,56,Well-Milled Rice
2024-08-13,48,55,Well-Milled Rice
2024-08-14,48,54,Well-Milled Rice
2024-08-15,45,54,Well-Milled Rice
2024-08-16,45,54,Well-Milled Rice
2024-08-17,45,54,Well-Milled Rice
2024-08-19,45,54,Well-Milled Rice
2024-08-20,45,54,Well-Milled Rice
2024-08-21,47,54,Well-Milled Rice
2024-08-22,47,55,Well-Milled Rice
2024-08-23,47,55,Well-Milled Rice
2024-08-24,48,55,Well-Milled Rice
2024-08-26,45,54,Well-Milled Rice
2024-08-27,47,55,Well-Milled Rice
2024-08-28,48,55,Well-Milled Rice
2024-08-29,47,55,Well-Milled Rice
2024-08-30,47,55,Well-Milled Rice
2024-08-31,47,55,Well-Milled Rice
2024-09-02,47,54,Well-Milled Rice
2024-09-03,48,55,Well-Milled Rice
2024-09-04,47,55,Well-Milled Rice
2024-09-05,47,55,Well-Milled Rice
2024-09-06,47,55,Well-Milled Rice
2024-09-07,47,55,Well-Milled Rice
2024-09-09,47,55,Well-Milled Rice
2024-09-10,47,55,Well-Milled Rice
2024-09-11,47,55,Well-Milled Rice
2024-09-12,47,55,Well-Milled Rice
2024-09-13,47,55,Well-Milled Rice
2024-09-14,47,55,Well-Milled Rice
2024-09-16,47,55,Well-Milled Rice
2024-09-17,46,55,Well-Milled Rice
2024-09-18,47,55,Well-Milled Rice
2024-09-19,47,55,Well-Milled Rice
2024-09-20,47,55,Well-Milled Rice
