Date,Low,High,Commodity
2023-01-02,240,240,Garlic
2023-01-03,240,240,Garlic
2023-01-04,240,240,Garlic
2023-01-05,240,240,Garlic
2023-01-06,240,240,Garlic
2023-01-09,230,230,Garlic
2023-01-10,230,230,Garlic
2023-01-11,230,230,Garlic
2023-01-12,230,230,Garlic
2023-01-13,230,230,Garlic
2023-01-16,230,230,Garlic
2023-01-17,230,230,Garlic
2023-01-18,230,230,Garlic
2023-01-19,230,230,Garlic
2023-01-20,230,230,Garlic
2023-01-23,230,230,Garlic
2023-01-24,230,230,Garlic
2023-01-25,230,230,Garlic
2023-01-26,230,230,Garlic
2023-01-27,230,230,Garlic
2023-01-30,400,400,Garlic
2023-01-31,400,400,Garlic
2023-02-01,400,400,Garlic
2023-02-02,400,400,Garlic
2023-02-03,400,400,Garlic
2023-02-06,400,400,Garlic
2023-02-07,400,400,Garlic
2023-02-08,400,400,Garlic
2023-02-09,400,400,Garlic
2023-02-10,400,400,Garlic
2023-02-13,400,400,Garlic
2023-02-14,400,400,Garlic
2023-02-15,400,400,Garlic
2023-02-16,400,400,Garlic
2023-02-17,400,400,Garlic
2023-02-20,400,400,Garlic
2023-02-21,400,400,Garlic
2023-02-22,400,400,Garlic
2023-02-23,400,400,Garlic
2023-02-24,400,400,Garlic
2023-02-27,400,400,Garlic
2023-02-28,400,400,Garlic
2023-03-01,400,400,Garlic
2023-03-02,400,400,Garlic
2023-03-03,400,400,Garlic
2023-03-06,400,400,Garlic
2023-03-07,400,400,Garlic
2023-03-08,400,400,Garlic
2023-03-09,400,400,Garlic
2023-03-10,400,400,Garlic
2023-03-13,400,400,Garlic
2023-03-14,400,400,Garlic
2023-03-15,400,400,Garlic
2023-03-16,400,400,Garlic
2023-03-17,400,400,Garlic
2023-03-20,400,400,Garlic
2023-03-21,400,400,Garlic
2023-03-22,400,400,Garlic
2023-03-23,400,400,Garlic
2023-03-24,400,400,Garlic
2023-03-27,400,400,Garlic
2023-03-28,400,400,Garlic
2023-03-29,400,400,Garlic
2023-03-30,400,400,Garlic
2023-03-31,400,400,Garlic
2023-04-03,400,400,Garlic
2023-04-04,400,400,Garlic
2023-04-05,400,400,Garlic
2023-04-06,400,400,Garlic
2023-04-07,400,400,Garlic
2023-04-10,400,400,Garlic
2023-04-11,400,400,Garlic
2023-04-12,400,400,Garlic
2023-04-13,400,400,Garlic
2023-04-14,400,400,Garlic
2023-04-17,400,400,Garlic
2023-04-18,400,400,Garlic
2023-04-19,400,400,Garlic
2023-04-20,400,400,Garlic
2023-04-21,400,400,Garlic
2023-04-24,400,400,Garlic
2023-04-25,400,400,Garlic
