Date,Low,High,Commodity
2023-01-02,550,700,Red Onion
2023-01-03,400,700,Red Onion
2023-01-04,280,680,Red Onion
2023-01-05,280,650,Red Onion
2023-01-06,450,620,Red Onion
2023-01-09,480,600,Red Onion
2023-01-10,420,600,Red Onion
2023-01-11,350,550,Red Onion
2023-01-12,340,550,Red Onion
2023-01-13,350,550,Red Onion
2023-01-16,320,450,Red Onion
2023-01-17,320,450,Red Onion
2023-01-18,320,450,Red Onion
2023-01-19,300,450,Red Onion
2023-01-20,300,400,Red Onion
2023-01-23,200,350,Red Onion
2023-01-24,200,350,Red Onion
2023-01-25,240,350,Red Onion
2023-01-26,240,350,Red Onion
2023-01-27,240,350,Red Onion
2023-01-30,200,330,Red Onion
2023-01-31,200,330,Red Onion
2023-02-01,230,330,Red Onion
2023-02-02,240,310,Red Onion
2023-02-03,250,310,Red Onion
2023-02-06,230,320,Red Onion
2023-02-07,230,310,Red Onion
2023-02-08,230,310,Red Onion
2023-02-09,240,320,Red Onion
2023-02-10,240,320,Red Onion
2023-02-13,240,300,Red Onion
2023-02-14,200,300,Red Onion
2023-02-15,180,300,Red Onion
2023-02-16,160,300,Red Onion
2023-02-17,160,280,Red Onion
2023-02-20,140,250,Red Onion
2023-02-21,140,230,Red Onion
2023-02-22,120,200,Red Onion
2023-02-23,120,200,Red Onion
2023-02-24,120,200,Red Onion
2023-02-27,100,180,Red Onion
2023-02-28,100,180,Red Onion
2023-03-01,100,180,Red Onion
2023-03-02,100,180,Red Onion
2023-03-03,100,180,Red Onion
2023-03-06,90,150,Red Onion
2023-03-07,90,150,Red Onion
2023-03-08,90,150,Red Onion
2023-03-09,90,150,Red Onion
2023-03-10,90,150,Red Onion
2023-03-13,90,150,Red Onion
2023-03-14,90,150,Red Onion
2023-03-15,90,150,Red Onion
2023-03-16,90,150,Red Onion
2023-03-17,90,140,Red Onion
2023-03-20,80,140,Red Onion
2023-03-21,80,140,Red Onion
2023-03-22,80,140,Red Onion
2023-03-23,80,140,Red Onion
2023-03-24,80,140,Red Onion
2023-03-27,90,140,Red Onion
2023-03-28,80,140,Red Onion
2023-03-29,90,140,Red Onion
2023-03-30,90,140,Red Onion
2023-03-31,90,140,Red Onion
2023-04-03,90,140,Red Onion
2023-04-04,90,140,Red Onion
2023-04-05,90,140,Red Onion
2023-04-06,90,140,Red Onion
2023-04-07,90,140,Red Onion
2023-04-10,90,140,Red Onion
2023-04-11,90,140,Red Onion
2023-04-12,100,150,Red Onion
2023-04-13,100,150,Red Onion
2023-04-14,110,150,Red Onion
2023-04-17,110,150,Red Onion
2023-04-18,100,150,Red Onion
2023-04-19,110,160,Red Onion
2023-04-20,110,160,Red Onion
2023-04-21,110,160,Red Onion
2023-04-24,120,180,Red Onion
2023-04-25,140,180,Red Onion
2023-04-26,140,180,Red Onion
2023-04-27,140,180,Red Onion
2023-04-28,140,180,Red Onion
2023-05-01,160,200,Red Onion
2023-05-02,160,200,Red Onion
2023-05-03,160,200,Red Onion
2023-05-04,160,200,Red Onion
2023-05-05,160,200,Red Onion
2023-05-08,150,200,Red Onion
2023-05-09,160,200,Red Onion
2023-05-10,160,200,Red Onion
2023-05-11,160,200,Red Onion
2023-05-12,150,200,Red Onion
2023-05-15,150,200,Red Onion
2023-05-16,160,200,Red Onion
2023-05-17,160,200,Red Onion
2023-05-18,160,200,Red Onion
2023-05-19,160,200,Red Onion
2023-05-22,150,200,Red Onion
2023-05-23,150,200,Red Onion
2023-05-24,100,200,Red Onion
2023-05-25,150,200,Red Onion
2023-05-26,140,190,Red Onion
2023-05-29,140,190,Red Onion
2023-05-30,140,190,Red Onion
2023-05-31,140,190,Red Onion
2023-06-01,140,190,Red Onion
2023-06-02,140,190,Red Onion
2023-06-05,140,190,Red Onion
2023-06-06,150,190,Red Onion
2023-06-07,140,190,Red Onion
2023-06-08,140,180,Red Onion
2023-06-09,140,180,Red Onion
2023-06-12,140,190,Red Onion
2023-06-13,140,180,Red Onion
2023-06-14,140,180,Red Onion
2023-06-15,140,180,Red Onion
2023-06-16,150,180,Red Onion
2023-06-19,150,180,Red Onion
2023-06-20,150,180,Red Onion
2023-06-21,140,180,Red Onion
2023-06-22,140,180,Red Onion
2023-06-23,150,180,Red Onion
2023-06-26,140,180,Red Onion
2023-06-27,140,200,Red Onion
2023-06-28,150,200,Red Onion
2023-06-29,130,200,Red Onion
2023-06-30,130,200,Red Onion
2023-07-03,130,180,Red Onion
2023-07-04,140,180,Red Onion
2023-07-05,140,180,Red Onion
2023-07-06,140,180,Red Onion
2023-07-07,140,180,Red Onion
2023-07-10,150,180,Red Onion
2023-07-11,150,180,Red Onion
2023-07-12,150,180,Red Onion
2023-07-13,150,180,Red Onion
2023-07-14,140,180,Red Onion
2023-07-17,140,180,Red Onion
2023-07-18,140,180,Red Onion
2023-07-19,130,200,Red Onion
2023-07-20,130,180,Red Onion
2023-07-21,130,180,Red Onion
2023-07-24,140,200,Red Onion
2023-07-25,140,200,Red Onion
2023-07-26,140,200,Red Onion
2023-07-27,140,200,Red Onion
2023-07-28,140,200,Red Onion
2023-07-31,140,180,Red Onion
2023-08-01,140,200,Red Onion
2023-08-02,140,200,Red Onion
2023-08-03,140,200,Red Onion
2023-08-04,140,200,Red Onion
2023-08-07,140,190,Red Onion
2023-08-08,140,190,Red Onion
2023-08-09,140,190,Red Onion
2023-08-10,140,190,Red Onion
2023-08-11,140,190,Red Onion
2023-08-14,140,190,Red Onion
2023-08-15,140,190,Red Onion
2023-08-16,140,190,Red Onion
2023-08-17,140,190,Red Onion
2023-08-18,140,190,Red Onion
2023-08-21,140,180,Red Onion
2023-08-22,140,190,Red Onion
2023-08-23,130,190,Red Onion
2023-08-24,140,180,Red Onion
2023-08-25,120,190,Red Onion
2023-08-28,120,190,Red Onion
2023-08-29,120,190,Red Onion
2023-08-30,120,190,Red Onion
2023-08-31,120,190,Red Onion
2023-09-01,130,190,Red Onion
2023-09-04,120,190,Red Onion
2023-09-05,120,190,Red Onion
2023-09-06,120,190,Red Onion
2023-09-07,120,190,Red Onion
2023-09-08,120,190,Red Onion
2023-09-11,120,190,Red Onion
2023-09-12,120,190,Red Onion
2023-09-13,120,190,Red Onion
2023-09-14,120,190,Red Onion
2023-09-15,120,190,Red Onion
2023-09-18,120,190,Red Onion
2023-09-19,120,190,Red Onion
2023-09-20,110,190,Red Onion
2023-09-21,110,190,Red Onion
2023-09-22,110,190,Red Onion
2023-09-25,120,190,Red Onion
2023-09-26,120,190,Red Onion
2023-09-27,110,190,Red Onion
2023-09-28,110,190,Red Onion
2023-09-29,110,190,Red Onion
2023-10-02,120,190,Red Onion
2023-10-03,120,190,Red Onion
2023-10-04,120,190,Red Onion
2023-10-05,120,190,Red Onion
2023-10-06,120,190,Red Onion
2023-10-09,110,190,Red Onion
2023-10-10,110,190,Red Onion
2023-10-11,110,190,Red Onion
2023-10-12,120,190,Red Onion
2023-10-13,120,190,Red Onion
2023-10-16,120,190,Red Onion
2023-10-17,120,190,Red Onion
2023-10-18,120,190,Red Onion
2023-10-19,120,190,Red Onion
2023-10-20,120,190,Red Onion
2023-10-23,120,140,Red Onion
2023-10-24,120,190,Red Onion
2023-10-25,90,190,Red Onion
2023-10-26,110,190,Red Onion
2023-10-27,110,190,Red Onion
2023-10-30,120,190,Red Onion
2023-10-31,120,190,Red Onion
2023-11-02,100,190,Red Onion
2023-11-03,100,190,Red Onion
2023-11-06,80,220,Red Onion
2023-11-07,80,220,Red Onion
2023-11-08,90,220,Red Onion
2023-11-09,100,240,Red Onion
2023-11-10,90,200,Red Onion
2023-11-13,100,200,Red Onion
2023-11-14,120,200,Red Onion
2023-11-15,100,200,Red Onion
2023-11-16,100,200,Red Onion
2023-11-17,100,200,Red Onion
2023-11-20,120,220,Red Onion
2023-11-21,120,220,Red Onion
2023-11-22,120,220,Red Onion
2023-11-23,120,220,Red Onion
2023-11-24,120,220,Red Onion
2023-11-27,130,220,Red Onion
2023-11-28,120,220,Red Onion
2023-11-29,130,220,Red Onion
2023-11-30,150,220,Red Onion
2023-12-01,130,220,Red Onion
2023-12-04,120,220,Red Onion
2023-12-05,120,220,Red Onion
2023-12-06,120,220,Red Onion
2023-12-07,120,220,Red Onion
