Date,High,Low,Commodity
2024-01-04,140,80,Ampalaya
2024-01-09,140,120,Ampalaya
2024-01-10,150,100,Ampalaya
2024-01-11,160,100,Ampalaya
2024-01-12,160,90,Ampalaya
2024-01-15,150,100,Ampalaya
2024-01-16,160,100,Ampalaya
2024-01-17,140,110,Ampalaya
2024-01-18,150,110,Ampalaya
2024-01-19,150,120,Ampalaya
2024-01-23,150,100,Ampalaya
2024-02-27,140,90,Ampalaya
2024-02-28,140,90,Ampalaya
2024-03-07,150,80,Ampalaya
2024-03-18,110,,Ampalaya
2024-03-19,110,80,Ampalaya
2024-03-21,150,90,Ampalaya
2024-03-22,140,80,Ampalaya
2024-03-25,140,80,Ampalaya
2024-03-27,130,80,Ampalaya
2024-04-01,130,100,Ampalaya
2024-04-02,160,80,Ampalaya
2024-04-03,160,80,Ampalaya
2024-04-09,140,80,Ampalaya
2024-04-11,140,90,Ampalaya
2024-04-25,130,100,Ampalaya
2024-04-26,120,90,Ampalaya
2024-04-30,130,80,Ampalaya
2024-05-02,140,90,Ampalaya
2024-05-03,130,80,Ampalaya
2024-05-06,140,80,Ampalaya
2024-05-07,150,80,Ampalaya
2024-05-08,160,130,Ampalaya
2024-05-09,140,130,Ampalaya
2024-05-10,150,110,Ampalaya
2024-05-13,150,120,Ampalaya
2024-05-16,160,100,Ampalaya
2024-05-20,140,130,Ampalaya
2024-05-24,160,100,Ampalaya
2024-05-25,160,100,Ampalaya
2024-05-27,170,90,Ampalaya
2024-05-28,160,100,Ampalaya
2024-05-29,160,100,Ampalaya
2024-05-30,160,90,Ampalaya
2024-05-31,150,80,Ampalaya
2024-06-03,170,120,Ampalaya
2024-06-04,180,120,Ampalaya
2024-06-05,170,120,Ampalaya
2024-06-06,180,110,Ampalaya
2024-06-07,170,100,Ampalaya
2024-06-08,180,100,Ampalaya
2024-06-10,160,100,Ampalaya
2024-06-11,180,100,Ampalaya
2024-06-12,160,120,Ampalaya
2024-06-13,170,30,Ampalaya
2024-06-14,170,100,Ampalaya
2024-06-17,150,120,Ampalaya
2024-06-18,180,100,Ampalaya
2024-06-19,180,100,Ampalaya
2024-06-20,180,90,Ampalaya
2024-06-21,160,100,Ampalaya
2024-06-22,160,80,Ampalaya
2024-06-26,160,100,Ampalaya
2024-06-27,150,8,Ampalaya
2024-06-28,150,90,Ampalaya
2024-06-29,150,80,Ampalaya
2024-07-01,150,80,Ampalaya
2024-07-02,140,75,Ampalaya
2024-07-03,140,75,Ampalaya
2024-07-05,130,90,Ampalaya
2024-07-08,160,70,Ampalaya
2024-07-09,140,70,Ampalaya
2024-07-12,150,70,Ampalaya
2024-07-15,150,80,Ampalaya
2024-07-16,140,65,Ampalaya
2024-07-17,130,70,Ampalaya
2024-07-19,130,50,Ampalaya
2024-07-22,120,50,Ampalaya
2024-07-23,120,50,Ampalaya
2024-07-24,120,60,Ampalaya
2024-07-25,130,60,Ampalaya
2024-07-26,150,60,Ampalaya
2024-07-27,160,50,Ampalaya
2024-07-29,160,60,Ampalaya
2024-07-30,160,80,Ampalaya
2024-07-31,160,70,Ampalaya
2024-08-01,140,90,Ampalaya
2024-08-02,160,70,Ampalaya
2024-08-03,150,100,Ampalaya
2024-08-05,150,70,Ampalaya
2024-08-06,150,70,Ampalaya
2024-08-07,150,70,Ampalaya
2024-08-08,150,55,Ampalaya
2024-08-09,150,60,Ampalaya
2024-08-10,140,80,Ampalaya
2024-08-12,140,60,Ampalaya
2024-08-13,140,60,Ampalaya
2024-08-14,140,60,Ampalaya
2024-08-15,140,60,Ampalaya
2024-08-16,140,60,Ampalaya
2024-08-17,140,70,Ampalaya
2024-08-20,100,70,Ampalaya
2024-08-21,100,80,Ampalaya
2024-08-29,100,40,Ampalaya
2024-08-30,100,40,Ampalaya
