Date,Low,High,Commodity,High 
2023-01-02,100,140,Cabbage,
2023-01-03,90,140,Cabbage,
2023-01-04,90,140,Cabbage,
2023-01-05,80,130,Cabbage,
2023-01-06,80,130,Cabbage,
2023-01-09,80,140,Cabbage,
2023-01-10,70,140,Cabbage,
2023-01-11,70,120,Cabbage,
2023-01-12,70,120,Cabbage,
2023-01-13,70,120,Cabbage,
2023-01-16,70,100,Cabbage,
2023-01-17,70,100,Cabbage,
2023-01-18,70,100,Cabbage,
2023-01-19,70,100,Cabbage,
2023-01-20,70,100,Cabbage,
2023-01-23,70,100,Cabbage,
2023-01-24,70,100,Cabbage,
2023-01-25,70,100,Cabbage,
2023-01-26,70,100,Cabbage,
2023-01-27,60,100,Cabbage,
2023-01-30,50,110,Cabbage,
2023-01-31,50,120,Cabbage,
2023-02-01,70,110,Cabbage,
2023-02-02,70,120,Cabbage,
2023-02-03,60,120,Cabbage,
2023-02-06,60,100,Cabbage,
2023-02-07,60,100,Cabbage,
2023-02-08,60,100,Cabbage,
2023-02-09,60,100,Cabbage,
2023-02-10,70,100,Cabbage,
2023-02-13,60,100,Cabbage,
2023-02-14,70,90,Cabbage,
2023-02-15,60,100,Cabbage,
2023-02-16,60,90,Cabbage,
2023-02-17,60,100,Cabbage,
2023-02-20,60,100,Cabbage,
2023-02-21,60,100,Cabbage,
2023-02-22,60,100,Cabbage,
2023-02-23,60,100,Cabbage,
2023-02-24,60,100,Cabbage,
2023-02-27,60,100,Cabbage,
2023-02-28,60,100,Cabbage,
2023-03-01,60,100,Cabbage,
2023-03-02,60,90,Cabbage,
2023-03-03,60,90,Cabbage,
2023-03-06,60,90,Cabbage,
2023-03-07,55,90,Cabbage,
2023-03-08,50,100,Cabbage,
2023-03-09,55,100,Cabbage,
2023-03-10,50,100,Cabbage,
2023-03-13,60,100,Cabbage,
2023-03-14,60,100,Cabbage,
2023-03-15,60,100,Cabbage,
2023-03-16,50,100,Cabbage,
2023-03-17,60,90,Cabbage,
2023-03-20,60,80,Cabbage,
2023-03-21,60,80,Cabbage,
2023-03-22,60,80,Cabbage,
2023-03-23,60,80,Cabbage,
2023-03-24,60,80,Cabbage,
2023-03-27,60,90,Cabbage,
2023-03-28,50,90,Cabbage,
2023-03-29,50,80,Cabbage,
2023-03-30,50,80,Cabbage,
2023-03-31,50,80,Cabbage,
2023-04-03,50,90,Cabbage,
2023-04-04,60,90,Cabbage,
2023-04-05,55,90,Cabbage,
2023-04-06,60,100,Cabbage,
2023-04-07,60,100,Cabbage,
