Date,High,Low,Commodity
2024-01-04,100,60,Pechay (Native)
2024-01-09,80,50,Pechay (Native)
2024-01-10,100,50,Pechay (Native)
2024-01-11,100,40,Pechay (Native)
2024-01-12,100,50,Pechay (Native)
2024-01-15,95,50,Pechay (Native)
2024-01-16,100,50,Pechay (Native)
2024-01-17,80,60,Pechay (Native)
2024-01-18,90,60,Pechay (Native)
2024-01-19,90,60,Pechay (Native)
2024-01-23,95,50,Pechay (Native)
2024-02-27,70,50,Pechay (Native)
2024-02-28,70,50,Pechay (Native)
2024-03-07,60,40,Pechay (Native)
2024-03-18,80,45,Pechay (Native)
2024-03-19,60,,Pechay (Native)
2024-03-21,70,40,Pechay (Native)
2024-03-22,90,40,Pechay (Native)
2024-03-25,100,50,Pechay (Native)
2024-03-27,80,50,Pechay (Native)
2024-04-01,100,50,Pechay (Native)
2024-04-02,100,55,Pechay (Native)
2024-04-03,140,55,Pechay (Native)
2024-04-09,100,60,Pechay (Native)
2024-04-11,80,60,Pechay (Native)
2024-04-25,100,50,Pechay (Native)
2024-04-26,80,50,Pechay (Native)
2024-04-30,100,50,Pechay (Native)
2024-05-02,80,60,Pechay (Native)
2024-05-03,100,40,Pechay (Native)
2024-05-06,80,60,Pechay (Native)
2024-05-07,80,60,Pechay (Native)
2024-05-08,100,8,Pechay (Native)
2024-05-10,110,55,Pechay (Native)
2024-05-13,80,70,Pechay (Native)
2024-05-16,110,60,Pechay (Native)
2024-05-20,120,80,Pechay (Native)
2024-05-24,140,70,Pechay (Native)
2024-05-25,120,70,Pechay (Native)
2024-05-27,200,14,Pechay (Native)
2024-05-28,150,100,Pechay (Native)
2024-05-29,200,110,Pechay (Native)
2024-05-30,200,120,Pechay (Native)
2024-05-31,200,130,Pechay (Native)
2024-06-03,250,160,Pechay (Native)
2024-06-04,240,120,Pechay (Native)
2024-06-05,200,120,Pechay (Native)
2024-06-06,240,130,Pechay (Native)
2024-06-07,240,130,Pechay (Native)
2024-06-08,180,130,Pechay (Native)
2024-06-10,200,130,Pechay (Native)
2024-06-11,200,130,Pechay (Native)
2024-06-12,200,140,Pechay (Native)
2024-06-13,200,130,Pechay (Native)
2024-06-14,200,120,Pechay (Native)
2024-06-17,200,140,Pechay (Native)
2024-06-18,200,140,Pechay (Native)
2024-06-19,180,140,Pechay (Native)
2024-06-20,200,120,Pechay (Native)
2024-06-21,200,120,Pechay (Native)
2024-06-22,180,130,Pechay (Native)
2024-06-26,160,80,Pechay (Native)
2024-06-27,180,100,Pechay (Native)
2024-06-28,180,90,Pechay (Native)
2024-06-29,140,70,Pechay (Native)
2024-07-01,150,80,Pechay (Native)
2024-07-02,120,60,Pechay (Native)
2024-07-03,120,60,Pechay (Native)
2024-07-05,110,80,Pechay (Native)
2024-07-08,100,45,Pechay (Native)
2024-07-09,100,40,Pechay (Native)
2024-07-12,100,40,Pechay (Native)
2024-07-15,100,40,Pechay (Native)
2024-07-16,100,40,Pechay (Native)
2024-07-17,90,50,Pechay (Native)
2024-07-19,90,40,Pechay (Native)
2024-07-22,100,40,Pechay (Native)
2024-07-23,100,40,Pechay (Native)
2024-07-24,90,50,Pechay (Native)
2024-07-25,180,70,Pechay (Native)
2024-07-26,170,50,Pechay (Native)
2024-07-27,170,50,Pechay (Native)
2024-07-29,180,90,Pechay (Native)
2024-07-30,180,80,Pechay (Native)
2024-07-31,180,80,Pechay (Native)
2024-08-01,140,120,Pechay (Native)
2024-08-02,180,100,Pechay (Native)
2024-08-03,150,120,Pechay (Native)
2024-08-05,180,100,Pechay (Native)
2024-08-06,180,100,Pechay (Native)
2024-08-07,200,100,Pechay (Native)
2024-08-08,180,80,Pechay (Native)
2024-08-09,180,70,Pechay (Native)
2024-08-10,140,80,Pechay (Native)
2024-08-12,160,80,Pechay (Native)
2024-08-13,140,50,Pechay (Native)
2024-08-14,150,50,Pechay (Native)
2024-08-15,140,60,Pechay (Native)
2024-08-16,140,60,Pechay (Native)
2024-08-17,120,60,Pechay (Native)
2024-08-20,100,70,Pechay (Native)
2024-08-21,120,80,Pechay (Native)
2024-08-29,120,60,Pechay (Native)
2024-08-30,120,60,Pechay (Native)
