Date,High,Low,Commodity
2024-01-04,150,,Sitao
2024-01-09,120,,Sitao
2024-01-10,150,80,Sitao
2024-01-11,150,90,Sitao
2024-01-12,140,90,Sitao
2024-01-15,160,80,Sitao
2024-01-16,150,80,Sitao
2024-01-17,150,80,Sitao
2024-01-18,140,80,Sitao
2024-01-19,150,80,Sitao
2024-01-23,140,80,Sitao
2024-02-27,140,,Sitao
2024-02-28,140,90,Sitao
2024-03-07,140,90,Sitao
2024-03-18,130,90,Sitao
2024-03-19,120,110,Sitao
2024-03-21,130,90,Sitao
2024-03-22,150,90,Sitao
2024-03-25,140,90,Sitao
2024-03-27,120,70,Sitao
2024-04-01,150,80,Sitao
2024-04-02,130,80,Sitao
2024-04-03,150,80,Sitao
2024-04-09,120,80,Sitao
2024-04-11,120,80,Sitao
2024-04-25,140,100,Sitao
2024-04-26,120,90,Sitao
2024-04-30,140,90,Sitao
2024-05-02,120,90,Sitao
2024-05-03,130,90,Sitao
2024-05-06,120,90,Sitao
2024-05-07,120,90,Sitao
2024-05-08,160,,Sitao
2024-05-09,160,120,Sitao
2024-05-10,160,100,Sitao
2024-05-13,120,,Sitao
2024-05-16,180,100,Sitao
2024-05-20,180,140,Sitao
2024-05-24,160,80,Sitao
2024-05-25,130,80,Sitao
2024-05-27,160,90,Sitao
2024-05-28,160,80,Sitao
2024-05-29,160,80,Sitao
2024-05-30,160,90,Sitao
2024-05-31,140,90,Sitao
2024-06-03,160,90,Sitao
2024-06-04,150,100,Sitao
2024-06-05,150,100,Sitao
2024-06-06,150,80,Sitao
2024-06-07,160,100,Sitao
2024-06-08,150,100,Sitao
2024-06-10,150,100,Sitao
2024-06-11,160,100,Sitao
2024-06-12,150,100,Sitao
2024-06-13,150,100,Sitao
2024-06-14,160,90,Sitao
2024-06-17,140,90,Sitao
2024-06-18,150,90,Sitao
2024-06-19,145,100,Sitao
2024-06-20,160,80,Sitao
2024-06-21,140,80,Sitao
2024-06-22,140,80,Sitao
2024-06-26,140,70,Sitao
2024-06-27,160,80,Sitao
2024-06-28,160,80,Sitao
2024-06-29,150,100,Sitao
2024-07-01,160,80,Sitao
2024-07-02,160,80,Sitao
2024-07-03,150,80,Sitao
2024-07-05,150,110,Sitao
2024-07-08,160,70,Sitao
2024-07-09,160,70,Sitao
2024-07-12,160,70,Sitao
2024-07-15,140,90,Sitao
2024-07-16,160,60,Sitao
2024-07-17,130,90,Sitao
2024-07-19,160,40,Sitao
2024-07-22,130,40,Sitao
2024-07-23,160,40,Sitao
2024-07-24,160,50,Sitao
2024-07-25,160,50,Sitao
2024-07-26,160,60,Sitao
2024-07-27,150,70,Sitao
2024-07-29,160,80,Sitao
2024-07-30,160,80,Sitao
2024-07-31,160,60,Sitao
2024-08-01,130,80,Sitao
2024-08-02,160,80,Sitao
2024-08-03,120,80,Sitao
2024-08-05,150,80,Sitao
2024-08-06,150,65,Sitao
2024-08-07,140,70,Sitao
2024-08-08,150,60,Sitao
2024-08-09,150,60,Sitao
2024-08-10,140,70,Sitao
2024-08-12,150,60,Sitao
2024-08-13,140,50,Sitao
2024-08-14,150,45,Sitao
2024-08-15,150,60,Sitao
2024-08-16,150,50,Sitao
2024-08-17,150,60,Sitao
2024-08-20,90,40,Sitao
2024-08-21,100,80,Sitao
2024-08-29,120,50,Sitao
2024-08-30,120,50,Sitao
