Date,High,Low,Commodity
2024-01-04,65,,Papaya
2024-01-09,80,,Papaya
2024-01-10,80,40,Papaya
2024-01-11,80,40,Papaya
2024-01-12,80,50,Papaya
2024-01-15,80,40,Papaya
2024-01-16,80,50,Papaya
2024-01-17,80,50,Papaya
2024-01-18,80,50,Papaya
2024-01-19,80,,Papaya
2024-01-23,80,50,Papaya
2024-02-27,60,,Papaya
2024-02-28,80,55,Papaya
2024-03-07,60,,Papaya
2024-03-18,80,55,Papaya
2024-03-19,60,,Papaya
2024-03-21,60,55,Papaya
2024-03-22,80,55,Papaya
2024-03-25,80,55,Papaya
2024-03-27,60,55,Papaya
2024-04-01,70,55,Papaya
2024-04-02,60,55,Papaya
2024-04-03,70,55,Papaya
2024-04-09,170,55,Papaya
2024-04-11,60,,Papaya
2024-04-25,80,70,Papaya
2024-04-26,60,,Papaya
2024-04-30,60,,Papaya
2024-05-02,70,,Papaya
2024-05-03,80,70,Papaya
2024-05-06,60,,Papaya
2024-05-07,60,,Papaya
2024-05-08,80,,Papaya
2024-05-10,80,60,Papaya
2024-05-13,60,,Papaya
2024-05-16,80,70,Papaya
2024-05-20,70,,Papaya
2024-05-24,70,,Papaya
2024-05-25,60,60,Papaya
2024-05-27,70,60,Papaya
2024-05-28,70,50,Papaya
2024-05-29,70,60,Papaya
2024-05-30,80,70,Papaya
2024-05-31,60,,Papaya
2024-06-03,70,50,Papaya
2024-06-04,80,60,Papaya
2024-06-05,80,70,Papaya
2024-06-06,80,70,Papaya
2024-06-07,80,70,Papaya
2024-06-08,80,70,Papaya
2024-06-10,80,70,Papaya
2024-06-11,80,50,Papaya
2024-06-12,80,70,Papaya
2024-06-13,80,70,Papaya
2024-06-14,80,50,Papaya
2024-06-17,60,,Papaya
2024-06-18,80,,Papaya
2024-06-19,65,,Papaya
2024-06-20,80,50,Papaya
2024-06-21,80,70,Papaya
2024-06-22,70,,Papaya
2024-06-26,70,,Papaya
2024-06-27,70,,Papaya
2024-06-28,80,70,Papaya
2024-06-29,80,70,Papaya
2024-07-01,80,,Papaya
2024-07-02,80,70,Papaya
2024-07-03,80,70,Papaya
2024-07-05,60,,Papaya
2024-07-08,80,60,Papaya
2024-07-09,70,60,Papaya
2024-07-12,80,60,Papaya
2024-07-15,70,,Papaya
2024-07-16,80,50,Papaya
2024-07-17,80,70,Papaya
2024-07-19,70,,Papaya
2024-07-22,80,70,Papaya
2024-07-23,80,60,Papaya
2024-07-24,80,60,Papaya
2024-07-25,80,60,Papaya
2024-07-26,80,70,Papaya
2024-07-27,70,70,Papaya
2024-07-29,80,70,Papaya
2024-07-30,80,70,Papaya
2024-07-31,80,70,Papaya
2024-08-01,50,,Papaya
2024-08-02,80,60,Papaya
2024-08-03,60,,Papaya
2024-08-05,80,70,Papaya
2024-08-06,80,70,Papaya
2024-08-07,80,70,Papaya
2024-08-08,80,70,Papaya
2024-08-09,80,70,Papaya
2024-08-10,80,,Papaya
2024-08-12,80,60,Papaya
2024-08-13,80,,Papaya
2024-08-14,80,60,Papaya
2024-08-15,80,60,Papaya
2024-08-16,80,60,Papaya
2024-08-17,80,,Papaya
2024-08-20,50,,Papaya
2024-08-21,70,70,Papaya
2024-08-29,100,70,Papaya
2024-08-30,100,70,Papaya
