Date,High,Low,Commodity
2024-01-04,360,,Alumahan
2024-01-10,360,,Alumahan
2024-01-11,450,,Alumahan
2024-01-12,360,280,Alumahan
2024-01-15,360,,Alumahan
2024-01-16,360,,Alumahan
2024-01-17,360,,Alumahan
2024-01-18,380,,Alumahan
2024-01-19,380,,Alumahan
2024-01-23,370,,Alumahan
2024-02-27,320,,Alumahan
2024-02-28,360,320,Alumahan
2024-03-07,320,,Alumahan
2024-03-18,380,,Alumahan
2024-03-21,300,,Alumahan
2024-03-22,350,320,Alumahan
2024-03-25,380,,Alumahan
2024-03-27,360,,Alumahan
2024-04-01,380,,Alumahan
2024-04-03,360,260,Alumahan
2024-04-09,330,,Alumahan
2024-04-11,300,,Alumahan
2024-04-25,340,,Alumahan
2024-04-26,300,,Alumahan
2024-04-30,300,,Alumahan
2024-05-02,320,,Alumahan
2024-05-03,340,,Alumahan
2024-05-06,300,,Alumahan
2024-05-07,300,30,Alumahan
2024-05-08,240,,Alumahan
2024-05-09,320,,Alumahan
2024-05-10,340,,Alumahan
2024-05-13,320,,Alumahan
2024-05-16,340,,Alumahan
2024-05-20,350,,Alumahan
2024-05-24,300,250,Alumahan
2024-05-25,300,,Alumahan
2024-05-27,360,,Alumahan
2024-05-28,360,,Alumahan
2024-05-29,360,,Alumahan
2024-05-30,360,300,Alumahan
2024-05-31,300,,Alumahan
2024-06-03,380,,Alumahan
2024-06-04,360,,Alumahan
2024-06-05,340,,Alumahan
2024-06-06,340,260,Alumahan
2024-06-07,340,260,Alumahan
2024-06-08,330,,Alumahan
2024-06-10,340,260,Alumahan
2024-06-11,320,240,Alumahan
2024-06-12,350,,Alumahan
2024-06-13,340,260,Alumahan
2024-06-14,360,,Alumahan
2024-06-17,300,,Alumahan
2024-06-18,360,,Alumahan
2024-06-19,320,,Alumahan
2024-06-20,350,220,Alumahan
2024-06-21,360,,Alumahan
2024-06-22,360,,Alumahan
2024-06-26,350,,Alumahan
2024-06-27,340,,Alumahan
2024-06-28,360,260,Alumahan
2024-06-29,360,,Alumahan
2024-07-01,360,,Alumahan
2024-07-02,360,,Alumahan
2024-07-03,360,260,Alumahan
2024-07-05,320,,Alumahan
2024-07-08,360,,Alumahan
2024-07-09,360,240,Alumahan
2024-07-12,350,220,Alumahan
2024-07-15,300,260,Alumahan
2024-07-16,350,220,Alumahan
2024-07-17,360,,Alumahan
2024-07-19,360,260,Alumahan
2024-07-22,350,260,Alumahan
2024-07-23,360,280,Alumahan
2024-07-24,360,280,Alumahan
2024-07-25,360,,Alumahan
2024-07-26,440,,Alumahan
2024-07-27,440,,Alumahan
2024-07-29,380,,Alumahan
2024-07-30,380,,Alumahan
2024-07-31,380,,Alumahan
2024-08-01,340,,Alumahan
2024-08-02,360,240,Alumahan
2024-08-03,350,,Alumahan
2024-08-05,360,,Alumahan
2024-08-06,360,240,Alumahan
2024-08-07,360,,Alumahan
2024-08-08,360,,Alumahan
2024-08-09,360,250,Alumahan
2024-08-10,360,,Alumahan
2024-08-12,360,260,Alumahan
2024-08-13,300,,Alumahan
2024-08-14,360,240,Alumahan
2024-08-15,360,240,Alumahan
2024-08-16,360,240,Alumahan
2024-08-17,320,240,Alumahan
2024-08-20,350,,Alumahan
2024-08-21,300,,Alumahan
2024-08-29,360,,Alumahan
2024-08-30,380,,Alumahan
