Date,High,Low,Commodity
2024-01-04,140,120,Tilapia
2024-01-09,160,120,Tilapia
2024-01-10,240,110,Tilapia
2024-01-11,250,110,Tilapia
2024-01-12,160,120,Tilapia
2024-01-15,160,120,Tilapia
2024-01-16,160,110,Tilapia
2024-01-18,160,120,Tilapia
2024-01-19,160,120,Tilapia
2024-01-23,170,110,Tilapia
2024-02-27,160,130,Tilapia
2024-02-28,160,120,Tilapia
2024-03-07,160,120,Tilapia
2024-03-19,140,120,Tilapia
2024-03-21,150,120,Tilapia
2024-03-22,160,105,Tilapia
2024-03-25,220,120,Tilapia
2024-03-27,160,120,Tilapia
2024-04-01,160,110,Tilapia
2024-04-02,140,120,Tilapia
2024-04-03,160,100,Tilapia
2024-04-09,160,100,Tilapia
2024-04-11,120,100,Tilapia
2024-04-26,120,100,Tilapia
2024-04-30,150,100,Tilapia
2024-05-03,160,100,Tilapia
2024-05-06,150,100,Tilapia
2024-05-07,140,100,Tilapia
2024-05-08,160,100,Tilapia
2024-05-09,150,120,Tilapia
2024-05-10,160,100,Tilapia
2024-05-13,140,140,Tilapia
2024-05-16,150,100,Tilapia
2024-05-20,150,140,Tilapia
2024-05-24,160,100,Tilapia
2024-05-25,160,120,Tilapia
2024-05-27,160,120,Tilapia
2024-05-28,160,110,Tilapia
2024-05-29,150,120,Tilapia
2024-05-30,160,110,Tilapia
2024-05-31,150,110,Tilapia
2024-06-03,160,110,Tilapia
2024-06-04,160,100,Tilapia
2024-06-05,150,110,Tilapia
2024-06-06,160,100,Tilapia
2024-06-07,150,100,Tilapia
2024-06-08,150,100,Tilapia
2024-06-10,160,100,Tilapia
2024-06-11,160,110,Tilapia
2024-06-12,160,105,Tilapia
2024-06-13,160,105,Tilapia
2024-06-14,160,110,Tilapia
2024-06-17,150,110,Tilapia
2024-06-18,160,110,Tilapia
2024-06-19,150,110,Tilapia
2024-06-20,160,110,Tilapia
2024-06-21,160,105,Tilapia
2024-06-22,160,110,Tilapia
2024-06-26,160,110,Tilapia
2024-06-27,160,110,Tilapia
2024-06-28,160,105,Tilapia
2024-06-29,160,105,Tilapia
2024-07-01,160,110,Tilapia
2024-07-02,160,110,Tilapia
2024-07-03,150,110,Tilapia
2024-07-05,160,110,Tilapia
2024-07-08,160,105,Tilapia
2024-07-09,160,110,Tilapia
2024-07-12,160,110,Tilapia
2024-07-15,160,110,Tilapia
2024-07-16,160,110,Tilapia
2024-07-17,150,14,Tilapia
2024-07-19,160,110,Tilapia
2024-07-22,160,105,Tilapia
2024-07-23,160,105,Tilapia
2024-07-24,160,110,Tilapia
2024-07-25,160,120,Tilapia
2024-07-26,160,105,Tilapia
2024-07-27,160,105,Tilapia
2024-07-29,180,105,Tilapia
2024-07-30,160,105,Tilapia
2024-07-31,160,105,Tilapia
2024-08-01,140,120,Tilapia
2024-08-02,160,105,Tilapia
2024-08-03,140,120,Tilapia
2024-08-05,160,105,Tilapia
2024-08-06,160,105,Tilapia
2024-08-07,160,105,Tilapia
2024-08-08,160,105,Tilapia
2024-08-09,160,105,Tilapia
2024-08-10,160,120,Tilapia
2024-08-12,160,105,Tilapia
2024-08-13,160,120,Tilapia
2024-08-14,160,110,Tilapia
2024-08-15,160,110,Tilapia
2024-08-16,160,110,Tilapia
2024-08-17,160,120,Tilapia
2024-08-20,140,120,Tilapia
2024-08-21,150,130,Tilapia
2024-08-29,160,110,Tilapia
2024-08-30,160,110,Tilapia
