Date,High,Low,Commodity,,
2024-01-04,66,54,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-01-09,63,57,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-01-10,68,54,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-01-11,68,54,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-01-12,65,54,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-01-15,65,54,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-01-17,65,54,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-01-18,70,57,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-01-19,68,60,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-01-23,66,54,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-02-27,68,54,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-02-28,65,54,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-03-07,61,54,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-03-18,68,54,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-03-19,57,56,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-03-22,68,54,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-03-25,68,56,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-03-27,68,56,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-04-01,65,56,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-04-02,65,60,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-04-03,66,54,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-04-09,67,54,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-04-11,626,60,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-04-25,67,54,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-04-26,65,58,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-04-30,65,60,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-05-02,65,54,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-05-03,65,57,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-05-06,65,60,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-05-07,65,52,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-05-08,66,64,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-05-09,60,60,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-05-10,65,58,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-05-13,58,54,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-05-16,65,54,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-05-20,65,60,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-05-24,65,57,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-05-25,65,58,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-05-27,65,55,COMMERCIAL (LOCAL) Special (Blue tagged),,
