Date,High,Low,Commodity,
2024-01-09,53,51,COMMERCIAL (LOCAL) Well Milled,
2024-01-10,55,50,COMMERCIAL (LOCAL) Well Milled,
2024-01-11,55,52,COMMERCIAL (LOCAL) Well Milled,
2024-01-12,55,53,COMMERCIAL (LOCAL) Well Milled,
2024-01-15,55,52,COMMERCIAL (LOCAL) Well Milled,
2024-01-16,55,52,COMMERCIAL (LOCAL) Well Milled,
2024-01-18,53,52,COMMERCIAL (LOCAL) Well Milled,
2024-01-19,55,52,COMMERCIAL (LOCAL) Well Milled,
2024-01-23,55,52,COMMERCIAL (LOCAL) Well Milled,
2024-02-27,58,53,COMMERCIAL (LOCAL) Well Milled,
2024-03-07,53,52,COMMERCIAL (LOCAL) Well Milled,
2024-03-18,58,43,COMMERCIAL (LOCAL) Well Milled,
2024-03-21,54,52,COMMERCIAL (LOCAL) Well Milled,
2024-03-22,58,43,COMMERCIAL (LOCAL) Well Milled,
2024-03-25,58,52,COMMERCIAL (LOCAL) Well Milled,
2024-03-27,58,53,COMMERCIAL (LOCAL) Well Milled,
2024-04-01,55,43,COMMERCIAL (LOCAL) Well Milled,
2024-04-03,55,50,COMMERCIAL (LOCAL) Well Milled,
2024-04-25,55,49,COMMERCIAL (LOCAL) Well Milled,
2024-05-08,52,52,COMMERCIAL (LOCAL) Well Milled,
2024-05-10,55,48,COMMERCIAL (LOCAL) Well Milled,
2024-05-16,55,48,COMMERCIAL (LOCAL) Well Milled,
2024-05-24,55,49,COMMERCIAL (LOCAL) Well Milled,
2024-05-27,55,50,COMMERCIAL (LOCAL) Well Milled,
2024-05-28,55,40,COMMERCIAL (LOCAL) Well Milled,
2024-05-29,55,49,COMMERCIAL (LOCAL) Well Milled,
2024-05-30,55,40,COMMERCIAL (LOCAL) Well Milled,
2024-06-03,54,40,COMMERCIAL (LOCAL) Well Milled,
2024-06-04,55,48,COMMERCIAL (LOCAL) Well Milled,
2024-06-06,55,48,COMMERCIAL (LOCAL) Well Milled,
2024-06-07,55,48,COMMERCIAL (LOCAL) Well Milled,
2024-06-08,54,48,COMMERCIAL (LOCAL) Well Milled,
2024-06-10,55,48,COMMERCIAL (LOCAL) Well Milled,
2024-06-11,55,49,COMMERCIAL (LOCAL) Well Milled,
2024-06-12,55,48,COMMERCIAL (LOCAL) Well Milled,
2024-06-13,55,48,COMMERCIAL (LOCAL) Well Milled,
2024-06-14,58,49,COMMERCIAL (LOCAL) Well Milled,
2024-06-17,53,50,COMMERCIAL (LOCAL) Well Milled,
2024-06-18,60,50,COMMERCIAL (LOCAL) Well Milled,
2024-06-20,55,49,COMMERCIAL (LOCAL) Well Milled,
2024-06-21,55,48,COMMERCIAL (LOCAL) Well Milled,
2024-06-22,52,50,COMMERCIAL (LOCAL) Well Milled,
2024-06-26,53,50,COMMERCIAL (LOCAL) Well Milled,
2024-06-27,55,48,COMMERCIAL (LOCAL) Well Milled,
2024-06-28,55,48,COMMERCIAL (LOCAL) Well Milled,
2024-06-29,55,48,COMMERCIAL (LOCAL) Well Milled,
2024-07-01,55,50,COMMERCIAL (LOCAL) Well Milled,
2024-07-02,55,48,COMMERCIAL (LOCAL) Well Milled,
2024-07-03,55,48,COMMERCIAL (LOCAL) Well Milled,
