Date,High,Low,Commodity
4 01 2024,66,54,COMMERCIAL (LOCAL) Special (Blue tagged)
9 01 2024,63,57,COMMERCIAL (LOCAL) Special (Blue tagged)
10 01 2024,68,54,COMMERCIAL (LOCAL) Special (Blue tagged)
11 01 2024,68,54,COMMERCIAL (LOCAL) Special (Blue tagged)
12 01 2024,65,54,COMMERCIAL (LOCAL) Special (Blue tagged)
15 01 2024,65,54,COMMERCIAL (LOCAL) Special (Blue tagged)
17 01 2024,65,54,COMMERCIAL (LOCAL) Special (Blue tagged)
18 01 2024,70,57,COMMERCIAL (LOCAL) Special (Blue tagged)
19 01 2024,68,60,COMMERCIAL (LOCAL) Special (Blue tagged)
23 01 2024,66,54,COMMERCIAL (LOCAL) Special (Blue tagged)
27 02 2024,68,54,COMMERCIAL (LOCAL) Special (Blue tagged)
28 02 2024,65,54,COMMERCIAL (LOCAL) Special (Blue tagged)
7 03 2024,61,54,COMMERCIAL (LOCAL) Special (Blue tagged)
18 03 2024,68,54,COMMERCIAL (LOCAL) Special (Blue tagged)
19 03 2024,57,56,COMMERCIAL (LOCAL) Special (Blue tagged)
22 03 2024,68,54,COMMERCIAL (LOCAL) Special (Blue tagged)
25 03 2024,68,56,COMMERCIAL (LOCAL) Special (Blue tagged)
27 03 2024,68,56,COMMERCIAL (LOCAL) Special (Blue tagged)
1 04 2024,65,56,COMMERCIAL (LOCAL) Special (Blue tagged)
2 04 2024,65,60,COMMERCIAL (LOCAL) Special (Blue tagged)
3 04 2024,66,54,COMMERCIAL (LOCAL) Special (Blue tagged)
9 04 2024,67,54,COMMERCIAL (LOCAL) Special (Blue tagged)
11 04 2024,62,60,COMMERCIAL (LOCAL) Special (Blue tagged)
25 04 2024,67,54,COMMERCIAL (LOCAL) Special (Blue tagged)
26 04 2024,65,58,COMMERCIAL (LOCAL) Special (Blue tagged)
30 04 2024,65,60,COMMERCIAL (LOCAL) Special (Blue tagged)
2 05 2024,65,54,COMMERCIAL (LOCAL) Special (Blue tagged)
3 05 2024,65,57,COMMERCIAL (LOCAL) Special (Blue tagged)
6 05 2024,65,60,COMMERCIAL (LOCAL) Special (Blue tagged)
7 05 2024,65,52,COMMERCIAL (LOCAL) Special (Blue tagged)
8 05 2024,66,64,COMMERCIAL (LOCAL) Special (Blue tagged)
9 05 2024,60,60,COMMERCIAL (LOCAL) Special (Blue tagged)
10 05 2024,65,58,COMMERCIAL (LOCAL) Special (Blue tagged)
13 05 2024,58,54,COMMERCIAL (LOCAL) Special (Blue tagged)
16 05 2024,65,54,COMMERCIAL (LOCAL) Special (Blue tagged)
20 05 2024,65,60,COMMERCIAL (LOCAL) Special (Blue tagged)
24 05 2024,65,57,COMMERCIAL (LOCAL) Special (Blue tagged)
25 05 2024,65,58,COMMERCIAL (LOCAL) Special (Blue tagged)
27 05 2024,65,55,COMMERCIAL (LOCAL) Special (Blue tagged)
28 05 2024,65,58,COMMERCIAL (LOCAL) Special (Blue tagged)
29 05 2024,66,54,COMMERCIAL (LOCAL) Special (Blue tagged)
30 05 2024,65,54,COMMERCIAL (LOCAL) Special (Blue tagged)
31 05 2024,65,58,COMMERCIAL (LOCAL) Special (Blue tagged)
4 06 2024,65,54,COMMERCIAL (LOCAL) Special (Blue tagged)
5 06 2024,65,58,COMMERCIAL (LOCAL) Special (Blue tagged)
6 06 2024,65,54,COMMERCIAL (LOCAL) Special (Blue tagged)
7 06 2024,65,54,COMMERCIAL (LOCAL) Special (Blue tagged)
8 06 2024,65,58,COMMERCIAL (LOCAL) Special (Blue tagged)
10 06 2024,65,54,COMMERCIAL (LOCAL) Special (Blue tagged)
11 06 2024,65,58,COMMERCIAL (LOCAL) Special (Blue tagged)
12 06 2024,65,65,COMMERCIAL (LOCAL) Special (Blue tagged)
13 06 2024,65,65,COMMERCIAL (LOCAL) Special (Blue tagged)
14 06 2024,65,54,COMMERCIAL (LOCAL) Special (Blue tagged)
17 06 2024,65,57,COMMERCIAL (LOCAL) Special (Blue tagged)
18 06 2024,65,54,COMMERCIAL (LOCAL) Special (Blue tagged)
19 06 2024,65,54,COMMERCIAL (LOCAL) Special (Blue tagged)
20 06 2024,65,54,COMMERCIAL (LOCAL) Special (Blue tagged)
21 06 2024,65,54,COMMERCIAL (LOCAL) Special (Blue tagged)
22 06 2024,65,54,COMMERCIAL (LOCAL) Special (Blue tagged)
26 06 2024,65,57,COMMERCIAL (LOCAL) Special (Blue tagged)
27 06 2024,65,55,COMMERCIAL (LOCAL) Special (Blue tagged)
28 06 2024,65,55,COMMERCIAL (LOCAL) Special (Blue tagged)
29 06 2024,65,57,COMMERCIAL (LOCAL) Special (Blue tagged)
1 07 2024,65,58,COMMERCIAL (LOCAL) Special (Blue tagged)
2 07 2024,65,55,COMMERCIAL (LOCAL) Special (Blue tagged)
3 07 2024,65,57,COMMERCIAL (LOCAL) Special (Blue tagged)
5 07 2024,65,60,COMMERCIAL (LOCAL) Special (Blue tagged)
6 07 2024,60,57,COMMERCIAL (LOCAL) Special (Blue tagged)
8 07 2024,65,55,COMMERCIAL (LOCAL) Special (Blue tagged)
