Date,High,Low,Commodity
9 01 2024,53,51,COMMERCIAL (LOCAL) Well Milled
10 01 2024,55,50,COMMERCIAL (LOCAL) Well Milled
11 01 2024,55,52,COMMERCIAL (LOCAL) Well Milled
12 01 2024,55,53,COMMERCIAL (LOCAL) Well Milled
15 01 2024,55,52,COMMERCIAL (LOCAL) Well Milled
16 01 2024,55,52,COMMERCIAL (LOCAL) Well Milled
18 01 2024,53,52,COMMERCIAL (LOCAL) Well Milled
19 01 2024,55,52,COMMERCIAL (LOCAL) Well Milled
23 01 2024,55,52,COMMERCIAL (LOCAL) Well Milled
27 02 2024,58,53,COMMERCIAL (LOCAL) Well Milled
7 03 2024,53,52,COMMERCIAL (LOCAL) Well Milled
18 03 2024,58,43,COMMERCIAL (LOCAL) Well Milled
21 03 2024,54,52,COMMERCIAL (LOCAL) Well Milled
22 03 2024,58,43,COMMERCIAL (LOCAL) Well Milled
25 03 2024,58,52,COMMERCIAL (LOCAL) Well Milled
27 03 2024,58,53,COMMERCIAL (LOCAL) Well Milled
1 04 2024,55,43,COMMERCIAL (LOCAL) Well Milled
3 04 2024,55,50,COMMERCIAL (LOCAL) Well Milled
25 04 2024,55,49,COMMERCIAL (LOCAL) Well Milled
8 05 2024,52,52,COMMERCIAL (LOCAL) Well Milled
10 05 2024,55,48,COMMERCIAL (LOCAL) Well Milled
16 05 2024,55,48,COMMERCIAL (LOCAL) Well Milled
24 05 2024,55,49,COMMERCIAL (LOCAL) Well Milled
27 05 2024,55,50,COMMERCIAL (LOCAL) Well Milled
28 05 2024,55,40,COMMERCIAL (LOCAL) Well Milled
29 05 2024,55,49,COMMERCIAL (LOCAL) Well Milled
30 05 2024,55,40,COMMERCIAL (LOCAL) Well Milled
3 06 2024,54,40,COMMERCIAL (LOCAL) Well Milled
4 06 2024,55,48,COMMERCIAL (LOCAL) Well Milled
6 06 2024,55,48,COMMERCIAL (LOCAL) Well Milled
7 06 2024,55,48,COMMERCIAL (LOCAL) Well Milled
8 06 2024,54,48,COMMERCIAL (LOCAL) Well Milled
10 06 2024,55,48,COMMERCIAL (LOCAL) Well Milled
11 06 2024,55,49,COMMERCIAL (LOCAL) Well Milled
12 06 2024,55,48,COMMERCIAL (LOCAL) Well Milled
13 06 2024,55,48,COMMERCIAL (LOCAL) Well Milled
14 06 2024,58,49,COMMERCIAL (LOCAL) Well Milled
17 06 2024,53,50,COMMERCIAL (LOCAL) Well Milled
18 06 2024,60,50,COMMERCIAL (LOCAL) Well Milled
20 06 2024,55,49,COMMERCIAL (LOCAL) Well Milled
21 06 2024,55,48,COMMERCIAL (LOCAL) Well Milled
22 06 2024,52,50,COMMERCIAL (LOCAL) Well Milled
26 06 2024,53,50,COMMERCIAL (LOCAL) Well Milled
27 06 2024,55,48,COMMERCIAL (LOCAL) Well Milled
28 06 2024,55,48,COMMERCIAL (LOCAL) Well Milled
29 06 2024,55,48,COMMERCIAL (LOCAL) Well Milled
1 07 2024,55,50,COMMERCIAL (LOCAL) Well Milled
2 07 2024,55,48,COMMERCIAL (LOCAL) Well Milled
3 07 2024,55,48,COMMERCIAL (LOCAL) Well Milled
5 07 2024,49,49,COMMERCIAL (LOCAL) Well Milled
8 07 2024,55,48,COMMERCIAL (LOCAL) Well Milled
9 07 2024,54,48,COMMERCIAL (LOCAL) Well Milled
12 07 2024,55,50,COMMERCIAL (LOCAL) Well Milled
15 07 2024,55,50,COMMERCIAL (LOCAL) Well Milled
16 07 2024,55,50,COMMERCIAL (LOCAL) Well Milled
17 07 2024,55,45,COMMERCIAL (LOCAL) Well Milled
19 07 2024,55,45,COMMERCIAL (LOCAL) Well Milled
22 07 2024,55,45,COMMERCIAL (LOCAL) Well Milled
23 07 2024,55,45,COMMERCIAL (LOCAL) Well Milled
24 07 2024,54,45,COMMERCIAL (LOCAL) Well Milled
25 07 2024,55,48,COMMERCIAL (LOCAL) Well Milled
26 07 2024,55,49,COMMERCIAL (LOCAL) Well Milled
27 07 2024,55,45,COMMERCIAL (LOCAL) Well Milled
29 07 2024,55,45,COMMERCIAL (LOCAL) Well Milled
30 07 2024,55,45,COMMERCIAL (LOCAL) Well Milled
31 07 2024,55,48,COMMERCIAL (LOCAL) Well Milled
1 08 2024,55,52,COMMERCIAL (LOCAL) Well Milled
2 08 2024,55,48,COMMERCIAL (LOCAL) Well Milled
3 08 2024,53,47,COMMERCIAL (LOCAL) Well Milled
5 08 2024,55,47,COMMERCIAL (LOCAL) Well Milled
6 08 2024,55,47,COMMERCIAL (LOCAL) Well Milled
7 08 2024,54,47,COMMERCIAL (LOCAL) Well Milled
8 08 2024,55,47,COMMERCIAL (LOCAL) Well Milled
9 08 2024,55,47,COMMERCIAL (LOCAL) Well Milled
10 08 2024,53,48,COMMERCIAL (LOCAL) Well Milled
12 08 2024,54,48,COMMERCIAL (LOCAL) Well Milled
13 08 2024,52,48,COMMERCIAL (LOCAL) Well Milled
14 08 2024,54,48,COMMERCIAL (LOCAL) Well Milled
15 08 2024,54,45,COMMERCIAL (LOCAL) Well Milled
16 08 2024,54,45,COMMERCIAL (LOCAL) Well Milled
17 08 2024,54,48,COMMERCIAL (LOCAL) Well Milled
20 08 2024,53,45,COMMERCIAL (LOCAL) Well Milled
21 08 2024,54,54,COMMERCIAL (LOCAL) Well Milled
29 08 2024,55,45,COMMERCIAL (LOCAL) Well Milled
30 08 2024,55,45,COMMERCIAL (LOCAL) Well Milled
