Date,High,Low,Commodity
2024-01-04,80,60,Tomato
2024-01-09,80,40,Tomato
2024-01-10,90,40,Tomato
2024-01-11,100,40,Tomato
2024-01-12,100,45,Tomato
2024-01-15,90,45,Tomato
2024-01-16,90,40,Tomato
2024-01-17,120,50,Tomato
2024-01-18,110,50,Tomato
2024-01-19,105,80,Tomato
2024-01-23,140,90,Tomato
2024-02-27,120,100,Tomato
2024-02-28,110,60,Tomato
2024-03-07,120,45,Tomato
2024-03-18,90,30,Tomato
2024-03-19,50,40,Tomato
2024-03-21,80,30,Tomato
2024-03-22,90,30,Tomato
2024-03-25,100,20,Tomato
2024-03-27,80,30,Tomato
2024-04-01,90,50,Tomato
2024-04-02,100,30,Tomato
2024-04-03,100,30,Tomato
2024-04-09,80,40,Tomato
2024-04-11,60,30,Tomato
2024-04-25,80,8,Tomato
2024-04-26,60,30,Tomato
2024-04-30,75,30,Tomato
2024-05-02,80,30,Tomato
2024-05-03,75,30,Tomato
2024-05-06,70,30,Tomato
2024-05-07,80,30,Tomato
2024-05-08,90,60,Tomato
2024-05-09,60,7,Tomato
2024-05-10,80,40,Tomato
2024-05-13,70,50,Tomato
2024-05-16,80,35,Tomato
2024-05-20,80,60,Tomato
2024-05-24,80,50,Tomato
2024-05-25,100,55,Tomato
2024-05-27,120,50,Tomato
2024-05-28,90,40,Tomato
2024-05-29,100,50,Tomato
2024-05-30,85,40,Tomato
2024-05-31,80,40,Tomato
2024-06-03,80,40,Tomato
2024-06-04,90,40,Tomato
2024-06-05,80,40,Tomato
2024-06-06,100,40,Tomato
2024-06-07,95,40,Tomato
2024-06-08,100,60,Tomato
2024-06-10,95,40,Tomato
2024-06-11,100,50,Tomato
2024-06-12,120,60,Tomato
2024-06-13,120,50,Tomato
2024-06-14,120,50,Tomato
2024-06-17,120,50,Tomato
2024-06-18,135,60,Tomato
2024-06-19,140,80,Tomato
2024-06-20,130,80,Tomato
2024-06-21,150,100,Tomato
2024-06-22,120,80,Tomato
2024-06-26,160,80,Tomato
2024-06-27,160,80,Tomato
2024-06-29,180,90,Tomato
2024-07-01,180,120,Tomato
2024-07-02,170,110,Tomato
2024-07-03,180,130,Tomato
2024-07-05,180,150,Tomato
2024-07-08,200,135,Tomato
2024-07-09,200,140,Tomato
2024-07-12,200,130,Tomato
2024-07-15,220,140,Tomato
2024-07-16,240,140,Tomato
2024-07-17,220,150,Tomato
2024-07-19,220,140,Tomato
2024-07-22,200,120,Tomato
2024-07-23,220,120,Tomato
2024-07-24,220,140,Tomato
2024-07-25,220,130,Tomato
2024-07-26,210,130,Tomato
2024-07-27,240,130,Tomato
2024-07-29,240,160,Tomato
2024-07-30,250,140,Tomato
2024-07-31,250,140,Tomato
2024-08-01,170,100,Tomato
2024-08-02,200,100,Tomato
2024-08-03,200,150,Tomato
2024-08-05,180,90,Tomato
2024-08-06,170,80,Tomato
2024-08-07,160,85,Tomato
2024-08-08,160,80,Tomato
2024-08-09,160,80,Tomato
2024-08-10,150,100,Tomato
2024-08-12,130,60,Tomato
2024-08-13,120,50,Tomato
2024-08-14,120,40,Tomato
2024-08-15,120,40,Tomato
2024-08-16,110,40,Tomato
2024-08-17,100,40,Tomato
2024-08-20,100,70,Tomato
2024-08-21,100,80,Tomato
2024-08-29,100,45,Tomato
2024-08-30,100,45,Tomato
